name,position,team,opponent_team,price,condition,xTotPoints,total_points
Nick Pope,GK,Newcastle United,Southampton,5.0,1.0,6.66,9
Alisson Ramses Becker,GK,Liverpool,Ipswich Town,5.5,1.0,7.04,7
Noussair Mazraoui,DEF,Manchester United,Fulham,4.5,1.0,7.92,8
Pedro Porro,DEF,Tottenham Hotspur,Leicester City,5.5,1.0,8.05,9
Trent Alexander-Arnold,DEF,Liverpool,Ipswich Town,7.0,1.0,7.62,8
Mateo Kovačić,MID,Manchester City,Chelsea,5.5,0.75,9.22,11
Mohamed Salah,MID,Liverpool,Ipswich Town,12.6,1.0,12.82,14
Bukayo Saka,MID,Arsenal,Wolverhampton Wanderers,10.0,1.0,10.25,12
Joelinton Cássio Apolinário de Lira,MID,Newcastle United,Southampton,6.0,1.0,10.24,11
Amadou Onana,MID,Aston Villa,West Ham United,5.0,1.0,9.91,10
Chris Wood,FWD,Nottingham Forest,Bournemouth,6.1,1.0,8.96,9
Kai Havertz,FWD,Arsenal,Wolverhampton Wanderers,8.1,1.0,10.16,12
Yoane Wissa,FWD,Brentford,Crystal Palace,6.1,1.0,8.02,11
Joshua Zirkzee,FWD,Manchester United,Fulham,7.1,1.0,8.02,8
Danny Welbeck,FWD,Brighton & Hove Albion,Everton,5.6,1.0,9.38,12
