name,web_name,position,team,element,kickoff_time,opponent_team,total_points,value,was_home,team_last_5_points_h2h,team_last_5_points_vs_all,tot_assists_last_5_h2h,tot_assists_last_5,tot_bonus_last_5_h2h,tot_bonus_last_5,tot_bps_last_5_h2h,tot_bps_last_5,tot_clean_sheets_last_5_h2h,tot_clean_sheets_last_5,tot_goals_conceded_last_5_h2h,tot_goals_conceded_last_5,tot_goals_scored_last_5_h2h,tot_goals_scored_last_5,tot_own_goals_last_5_h2h,tot_own_goals_last_5,tot_penalties_missed_last_5_h2h,tot_penalties_missed_last_5,tot_penalties_saved_last_5_h2h,tot_penalties_saved_last_5,tot_red_cards_last_5_h2h,tot_red_cards_last_5,tot_yellow_cards_last_5_h2h,tot_yellow_cards_last_5,tot_saves_last_5_h2h,tot_saves_last_5,tot_total_points_last_5_h2h,tot_total_points_last_5,tot_team_points_last_5_h2h,tot_team_points_last_5,avg_ict_index_last_5_h2h,avg_ict_index_last_5,avg_influence_last_5_h2h,avg_influence_last_5,avg_creativity_last_5_h2h,avg_creativity_last_5,avg_threat_last_5_h2h,avg_threat_last_5,avg_selected_last_5_h2h,avg_selected_last_5,avg_minutes_last_5_h2h,avg_minutes_last_5
Alex Scott,Scott,MID,Bournemouth,77,2024-12-22T14:00:00Z,Crystal Palace,0.0,47,True,14,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,12,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,2208.0,3313.0,15.0,0.0
Carlos Miguel dos Santos Pereira,C.Miguel,GK,Nott'm Forest,427,2024-12-21T15:00:00Z,Brentford,0.0,42,False,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18775.0,18877.0,0.0,0.0
Tomiyasu Takehiro,Tomiyasu,DEF,Arsenal,22,2024-12-21T17:30:00Z,Ipswich Town,0.0,48,True,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3870.0,3858.0,0.0,0.0
Malcolm Ebiowei,Ebiowei,MID,Crystal Palace,197,2024-12-21T17:30:00Z,Bournemouth,0.0,45,False,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15136.0,267.0,0.0,0.0
Ben Brereton Díaz,Brereton Díaz,MID,Southampton,584,2024-12-22T14:00:00Z,West Ham United,0.6,49,True,0,4,0,0,0,0,2,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18709.0,18528.0,8.0,9.0
Pau Torres,Pau,DEF,Aston Villa,52,2024-12-21T12:30:00Z,Newcastle United,2.0,44,False,1,13,0,0,0,0,22,54,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,10,1.0,3.0,5.0,13.0,1.0,2.0,3.0,10.0,272056.0,161448.0,44.0,68.0
Joel Ward,Ward,DEF,Crystal Palace,215,2024-12-21T17:30:00Z,Bournemouth,0.0,43,False,4,3,0,0,1,0,78,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,7,8,2.0,0.0,12.0,0.0,8.0,0.0,2.0,0.0,27108.0,9935.0,68.0,0.0
Will Lankshear,Lankshear,FWD,Spurs,609,2024-12-22T16:30:00Z,Liverpool,0.4,45,True,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184917.0,181868.0,1.0,2.0
Hwang Hee-chan,Hee Chan,MID,Wolverhampton Wanderers,550,2024-12-22T14:00:00Z,Manchester United,0.8,61,True,0,12,0,0,0,0,15,14,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,2.0,0.0,3.0,1.0,5.0,1.0,8.0,0.0,97478.0,28013.0,35.0,16.0
Mikey Moore,Moore,MID,Spurs,610,2024-12-22T16:30:00Z,Liverpool,0.0,45,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16967.0,26087.0,0.0,0.0
Hákon Valdimarsson,Valdimarsson,GK,Brentford,109,2024-12-21T15:00:00Z,Brighton & Hove Albion,0.0,39,False,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157436.0,314048.0,0.0,0.0
Alex Paulsen,Paulsen,GK,Bournemouth,75,2024-12-22T14:00:00Z,Crystal Palace,0.0,40,True,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735.0,2716.0,0.0,0.0
João Victor Gomes da Silva,J.Gomes,MID,Wolverhampton Wanderers,553,2024-12-22T14:00:00Z,Manchester United,1.6,49,True,1,10,0,0,0,0,28,26,0,1,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,7,0,3,2.0,3.0,7.0,7.0,9.0,11.0,5.0,9.0,28887.0,98351.0,41.0,63.0
Cole Palmer,Palmer,MID,Chelsea,182,2024-12-22T14:00:00Z,Fulham,9.0,112,True,14,6,1,1,4,5,82,173,2,1,0,4,1,3,0,0,0,0,0,0,0,0,2,0,0,0,24,40,14,12,5.0,14.0,18.0,41.0,19.0,47.0,17.0,48.0,2072869.0,6655568.0,51.0,87.0
Mitoma Kaoru,Mitoma,MID,Brighton & Hove Albion,136,2024-12-21T15:00:00Z,Brentford,3.6,66,True,4,4,0,0,0,0,16,67,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,2,7.0,6.0,19.0,14.0,29.0,27.0,23.0,22.0,924983.0,960209.0,88.0,88.0
Boubakary Soumaré,B.Soumaré,MID,Leicester City,285,2024-12-22T14:00:00Z,Liverpool,1.0,44,False,0,0,0,0,0,0,33,41,1,0,8,8,0,0,0,0,0,0,0,0,0,0,1,3,0,0,8,4,3,4,1.0,2.0,7.0,11.0,3.0,11.0,2.0,1.0,30092.0,49913.0,79.0,67.0
Chris Wood,Wood,FWD,Nott'm Forest,447,2024-12-21T15:00:00Z,Brentford,4.6,66,False,13,13,0,0,3,3,53,63,1,1,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,18,6,11,4.0,4.0,15.0,13.0,10.0,1.0,18.0,25.0,1104501.0,2514541.0,54.0,80.0
Joe Worrall,Worrall,DEF,Nott'm Forest,448,2024-12-21T15:00:00Z,Brentford,0.0,45,False,13,13,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,11,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7721.0,2461.0,18.0,0.0
Jeffrey Schlupp,Schlupp,MID,Crystal Palace,214,2024-12-21T17:30:00Z,Bournemouth,0.4,47,False,5,4,0,0,0,0,19,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,8,1.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,11648.0,7352.0,36.0,2.0
Milos Kerkez,Kerkez,DEF,Bournemouth,70,2024-12-22T14:00:00Z,Crystal Palace,5.0,47,True,13,13,0,0,0,2,43,94,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23,8,12,3.0,4.0,14.0,16.0,9.0,19.0,6.0,5.0,183800.0,493733.0,69.0,90.0
Adrian Mazilu,Mazilu,MID,Brighton & Hove Albion,133,2024-12-21T15:00:00Z,Brentford,0.0,45,True,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.0,1480.0,0.0,0.0
Jason Steele,Steele,GK,Brighton & Hove Albion,142,2024-12-21T15:00:00Z,Brentford,0.0,42,True,3,3,1,0,0,0,31,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,5,2,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,191999.0,122563.0,36.0,0.0
Arijanet Muric,Muric,GK,Ipswich,568,2024-12-21T15:00:00Z,Newcastle United,2.6,44,True,0,0,0,0,3,2,52,52,0,0,9,9,0,0,0,0,0,0,1,0,0,0,0,0,13,17,13,12,0,3,3.0,3.0,26.0,28.0,4.0,0.0,0.0,0.0,59338.0,123247.0,54.0,90.0
Carl Rushworth,Rushworth,GK,Brighton & Hove Albion,615,2024-12-21T15:00:00Z,Brentford,0.0,40,True,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5323.0,5284.0,0.0,0.0
