name,position,team,opponent_team,price,condition,xTotPoints,total_points
Robert Sánchez,GK,Chelsea,Nottingham Forest,4.7,1.0,5.86,4
Dean Henderson,GK,Crystal Palace,Liverpool,4.5,1.0,4.46,3
Ola Aina,DEF,Nottingham Forest,Chelsea,4.5,1.0,3.85,2
Ibrahima Konaté,DEF,Liverpool,Crystal Palace,5.2,1.0,4.74,6
Diogo Dalot Teixeira,DEF,Manchester United,Aston Villa,5.1,1.0,5.23,6
Cole Palmer,MID,Chelsea,Nottingham Forest,10.7,1.0,10.99,6
Mario Lemina,MID,Wolverhampton Wanderers,Brentford,5.0,1.0,5.55,2
Jack Hinshelwood,MID,Brighton & Hove Albion,Tottenham Hotspur,5.0,1.0,5.97,2
Dwight McNeil,MID,Everton,Newcastle United,5.6,1.0,8.07,2
Luis Díaz,MID,Liverpool,Crystal Palace,8.1,1.0,11.27,1
Harvey Barnes,MID,Newcastle United,Everton,6.5,1.0,7.22,3
Brennan Johnson,MID,Tottenham Hotspur,Brighton & Hove Albion,6.4,1.0,6.59,7
Nicolas Jackson,FWD,Chelsea,Nottingham Forest,7.9,1.0,7.27,2
Erling Haaland,FWD,Manchester City,Fulham,15.3,1.0,11.61,2
João Pedro Junqueira de Jesus,FWD,Brighton & Hove Albion,Tottenham Hotspur,5.5,1.0,5.08,0
