name,position,team,opponent_team,price,condition,xTotPoints,total_points
Mark Flekken,GK,Brentford,Manchester City,4.5,1.0,4.15,2
Alisson Ramses Becker,GK,Liverpool,Nottingham Forest,5.5,1.0,4.82,2
Micky van de Ven,DEF,Tottenham Hotspur,Arsenal,4.5,0.75,4.08,1
Lucas Digne,DEF,Aston Villa,Everton,4.5,1.0,5.16,4
Ibrahima Konaté,DEF,Liverpool,Nottingham Forest,5.0,1.0,5.42,2
Cristian Romero,DEF,Tottenham Hotspur,Arsenal,5.1,1.0,5.79,2
Thomas Partey,MID,Arsenal,Tottenham Hotspur,5.0,1.0,5.27,3
Mohamed Salah,MID,Liverpool,Nottingham Forest,12.6,1.0,9.46,2
Bukayo Saka,MID,Arsenal,Tottenham Hotspur,10.1,1.0,7.38,7
Bryan Mbeumo,MID,Brentford,Manchester City,7.1,1.0,7.73,2
Son Heung-min,MID,Tottenham Hotspur,Arsenal,10.0,1.0,6.63,2
Amadou Onana,MID,Aston Villa,Everton,5.1,1.0,4.49,1
Alexander Isak,FWD,Newcastle United,Wolverhampton Wanderers,8.5,1.0,6.16,1
Jhon Durán,FWD,Aston Villa,Everton,6.0,1.0,6.04,6
Yoane Wissa,FWD,Brentford,Manchester City,6.1,1.0,5.67,7
