name,position,team,opponent_team,price,condition,xTotPoints,total_points
Robert Sánchez,GK,Chelsea,Nottingham Forest,4.7,1.0,6.33,4
André Onana,GK,Manchester United,Aston Villa,5.0,1.0,4.39,6
Ola Aina,DEF,Nottingham Forest,Chelsea,4.5,1.0,4.52,2
Lucas Digne,DEF,Aston Villa,Manchester United,4.6,1.0,4.49,8
Diogo Dalot Teixeira,DEF,Manchester United,Aston Villa,5.1,1.0,7.88,6
Cole Palmer,MID,Chelsea,Nottingham Forest,10.7,1.0,11.31,6
Jack Hinshelwood,MID,Brighton & Hove Albion,Tottenham Hotspur,5.0,1.0,7.19,2
Dwight McNeil,MID,Everton,Newcastle United,5.6,1.0,8.16,2
Luis Díaz,MID,Liverpool,Crystal Palace,8.1,1.0,10.27,1
Elliot Anderson,MID,Nottingham Forest,Chelsea,5.0,1.0,7.43,2
Harvey Barnes,MID,Newcastle United,Everton,6.5,1.0,5.85,3
Brennan Johnson,MID,Tottenham Hotspur,Brighton & Hove Albion,6.4,1.0,6.57,7
Nicolas Jackson,FWD,Chelsea,Nottingham Forest,7.9,1.0,7.12,2
Erling Haaland,FWD,Manchester City,Fulham,15.3,1.0,13.7,2
Raúl Jiménez,FWD,Fulham,Manchester City,5.5,1.0,6.26,5
