name,web_name,position,team,element,kickoff_time,opponent_team,total_points,value,was_home,team_last_5_points_h2h,team_last_5_points_vs_all,tot_assists_last_5_h2h,tot_assists_last_5,tot_bonus_last_5_h2h,tot_bonus_last_5,tot_bps_last_5_h2h,tot_bps_last_5,tot_clean_sheets_last_5_h2h,tot_clean_sheets_last_5,tot_goals_conceded_last_5_h2h,tot_goals_conceded_last_5,tot_goals_scored_last_5_h2h,tot_goals_scored_last_5,tot_own_goals_last_5_h2h,tot_own_goals_last_5,tot_penalties_missed_last_5_h2h,tot_penalties_missed_last_5,tot_penalties_saved_last_5_h2h,tot_penalties_saved_last_5,tot_red_cards_last_5_h2h,tot_red_cards_last_5,tot_yellow_cards_last_5_h2h,tot_yellow_cards_last_5,tot_saves_last_5_h2h,tot_saves_last_5,tot_total_points_last_5_h2h,tot_total_points_last_5,tot_team_points_last_5_h2h,tot_team_points_last_5,avg_ict_index_last_5_h2h,avg_ict_index_last_5,avg_influence_last_5_h2h,avg_influence_last_5,avg_creativity_last_5_h2h,avg_creativity_last_5,avg_threat_last_5_h2h,avg_threat_last_5,avg_selected_last_5_h2h,avg_selected_last_5,avg_minutes_last_5_h2h,avg_minutes_last_5
Alex Scott,Scott,MID,Bournemouth,77,2024-11-30T15:00:00Z,Tottenham Hotspur,0.0,48,True,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3983.0,3822.0,0.0,0.0
Carlos Miguel dos Santos Pereira,C.Miguel,GK,Nott'm Forest,427,2024-11-30T15:00:00Z,Ipswich,0.0,42,True,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19676.0,19779.0,0.0,0.0
Tomiyasu Takehiro,Tomiyasu,DEF,Arsenal,22,2024-11-30T17:30:00Z,Manchester United,0.0,48,True,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4065.0,4018.0,0.0,0.0
Malcolm Ebiowei,Ebiowei,MID,Crystal Palace,197,2024-11-30T15:00:00Z,Ipswich Town,0.0,45,False,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,287.0,0.0,0.0
Ben Brereton Díaz,Brereton Díaz,MID,Southampton,584,2024-11-29T20:00:00Z,Chelsea,0.4,50,True,12,4,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,21530.0,20986.0,4.0,4.0
Pau Torres,Pau,DEF,Aston Villa,52,2024-12-01T13:30:00Z,Brentford,1.0,44,True,4,0,0,0,0,0,37,29,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,3.0,2.0,15.0,16.0,13.0,2.0,3.0,5.0,427875.0,181069.0,87.0,90.0
Joel Ward,Ward,DEF,Crystal Palace,215,2024-11-30T15:00:00Z,Ipswich Town,0.0,43,False,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10515.0,10371.0,0.0,0.0
Will Lankshear,Lankshear,FWD,Spurs,609,2024-12-01T13:30:00Z,Fulham,0.2,45,True,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169994.0,173915.0,1.0,0.0
Hwang Hee-chan,Hee Chan,MID,Wolverhampton Wanderers,550,2024-11-30T15:00:00Z,Everton,0.4,61,False,13,1,1,0,3,0,39,6,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,11,8,3.0,0.0,12.0,0.0,4.0,0.0,17.0,0.0,256225.0,27728.0,54.0,2.0
Mikey Moore,Moore,MID,Spurs,610,2024-12-01T13:30:00Z,Fulham,0.4,45,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32032.0,34161.0,6.0,2.0
Hákon Valdimarsson,Valdimarsson,GK,Brentford,109,2024-11-30T15:00:00Z,Aston Villa,0.0,40,False,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167923.0,331625.0,0.0,0.0
