name,position,team,opponent_team,price,condition,xTotPoints,total_points
Ederson Santana de Moraes,GK,Manchester City,Ipswich Town,5.5,1.0,6.7,2
Bernd Leno,GK,Fulham,Leicester City,5.0,1.0,6.32,3
Noussair Mazraoui,DEF,Manchester United,Brighton & Hove Albion,4.5,1.0,7.59,4
Diogo Dalot Teixeira,DEF,Manchester United,Brighton & Hove Albion,5.0,1.0,6.97,1
Rico Lewis,DEF,Manchester City,Ipswich Town,4.6,1.0,6.0,2
Mitoma Kaoru,MID,Brighton & Hove Albion,Manchester United,6.6,1.0,7.69,6
Mateo Kovačić,MID,Manchester City,Ipswich Town,5.5,0.75,7.11,1
Mohamed Salah,MID,Liverpool,Brentford,12.6,1.0,11.43,10
Bukayo Saka,MID,Arsenal,Aston Villa,10.0,1.0,7.32,6
Bryan Mbeumo,MID,Brentford,Liverpool,7.0,1.0,10.02,1
Abdul Fatawu,MID,Leicester City,Fulham,5.5,1.0,8.01,2
Alexander Isak,FWD,Newcastle United,Bournemouth,8.5,1.0,9.09,2
Yoane Wissa,FWD,Brentford,Liverpool,6.1,1.0,10.44,2
Joshua Zirkzee,FWD,Manchester United,Brighton & Hove Albion,7.1,1.0,7.93,1
Danny Welbeck,FWD,Brighton & Hove Albion,Manchester United,5.6,1.0,11.26,9
