name,position,team,opponent_team,price,condition,xTotPoints,total_points
David Raya Martin,GK,Arsenal,Manchester City,5.5,1.0,5.23,4
Matz Sels,GK,Nottingham Forest,Brighton & Hove Albion,4.5,1.0,4.35,1
Ola Aina,DEF,Nottingham Forest,Brighton & Hove Albion,4.5,1.0,6.2,0
Gabriel dos Santos Magalhães,DEF,Arsenal,Manchester City,6.0,1.0,6.05,7
Cristian Romero,DEF,Tottenham Hotspur,Brentford,5.1,1.0,6.25,2
Joël Veltman,DEF,Brighton & Hove Albion,Nottingham Forest,4.5,1.0,4.76,1
Emil Krafth,DEF,Newcastle United,Fulham,4.5,1.0,4.06,0
Noni Madueke,MID,Chelsea,West Ham United,6.6,1.0,5.84,3
Luis Díaz,MID,Liverpool,Bournemouth,7.8,1.0,8.35,16
Elliot Anderson,MID,Nottingham Forest,Brighton & Hove Albion,5.0,1.0,5.41,1
Bryan Mbeumo,MID,Brentford,Tottenham Hotspur,7.1,1.0,6.74,8
Son Heung-min,MID,Tottenham Hotspur,Brentford,10.0,1.0,7.58,10
Nicolas Jackson,FWD,Chelsea,West Ham United,7.6,1.0,7.9,16
Erling Haaland,FWD,Manchester City,Arsenal,15.3,1.0,13.66,9
João Pedro Junqueira de Jesus,FWD,Brighton & Hove Albion,Nottingham Forest,5.7,0.75,6.39,1
