name,position,team,opponent_team,price,condition,xTotPoints,total_points
Alex Scott,MID,Bournemouth,Crystal Palace,4.7,0.0,-0.0,0
Tomiyasu Takehiro,DEF,Arsenal,Ipswich Town,4.8,0.0,-0.0,0
Ben Brereton Díaz,MID,Southampton,West Ham United,4.9,1.0,0.19,0
Pau Torres,DEF,Aston Villa,Newcastle United,4.4,1.0,0.86,1
Joel Ward,DEF,Crystal Palace,Bournemouth,4.3,1.0,-0.0,0
Hwang Hee-chan,MID,Wolverhampton Wanderers,Manchester United,6.1,1.0,0.56,6
Hákon Valdimarsson,GK,Brentford,Brighton & Hove Albion,3.9,1.0,-0.0,1
João Victor Gomes da Silva,MID,Wolverhampton Wanderers,Manchester United,4.9,1.0,1.08,2
Cole Palmer,MID,Chelsea,Fulham,11.3,1.0,8.02,10
Mitoma Kaoru,MID,Brighton & Hove Albion,Brentford,6.5,1.0,2.61,3
Boubakary Soumaré,MID,Leicester City,Liverpool,4.4,1.0,1.4,2
Jeffrey Schlupp,MID,Crystal Palace,Bournemouth,4.7,1.0,0.15,0
Milos Kerkez,DEF,Bournemouth,Crystal Palace,4.7,1.0,5.09,6
Jason Steele,GK,Brighton & Hove Albion,Brentford,4.2,1.0,-0.0,0
Conor Coady,DEF,Leicester City,Liverpool,4.0,1.0,0.96,1
Armando Broja,FWD,Everton,Manchester City,5.4,1.0,0.44,1
Armando Broja,FWD,Everton,Manchester City,5.4,1.0,0.44,1
Adam Webster,DEF,Brighton & Hove Albion,Brentford,4.3,0.75,-0.0,0
Thomas Partey,MID,Arsenal,Ipswich Town,5.0,1.0,1.53,1
Harry Wilson,MID,Fulham,Chelsea,5.2,1.0,1.34,6
Kasey McAteer,MID,Leicester City,Liverpool,4.7,1.0,1.12,0
Curtis Jones,MID,Liverpool,Leicester City,5.3,1.0,3.4,8
Gustavo Nunes Fernandes Gomes,MID,Brentford,Brighton & Hove Albion,4.9,0.0,-0.0,0
Yunus Emre Konak,MID,Brentford,Brighton & Hove Albion,4.5,1.0,0.0,0
Alex Murphy,DEF,Newcastle United,Aston Villa,4.0,1.0,-0.0,0
Sávio 'Savinho' Moreira de Oliveira,MID,Manchester City,Everton,6.4,1.0,1.02,3
Abdoulaye Doucouré,MID,Everton,Manchester City,5.1,1.0,2.45,2
José Malheiro de Sá,GK,Wolverhampton Wanderers,Manchester United,4.3,1.0,1.39,8
Alexander Isak,FWD,Newcastle United,Aston Villa,9.0,1.0,10.88,8
Philip Billing,MID,Bournemouth,Crystal Palace,4.8,1.0,1.23,1
Gonçalo Manuel Ganchinho Guedes,MID,Wolverhampton Wanderers,Manchester United,5.3,1.0,1.21,3
Brajan Gruda,MID,Brighton & Hove Albion,Brentford,5.4,1.0,0.04,3
Rodrigo 'Rodri' Hernandez,MID,Manchester City,Everton,6.3,0.0,-0.0,0
Justin Devenny,MID,Crystal Palace,Bournemouth,4.5,1.0,0.98,1
Craig Dawson,DEF,Wolverhampton Wanderers,Manchester United,4.4,1.0,0.76,1
Jordan Ayew,MID,Leicester City,Liverpool,5.2,1.0,1.24,7
Marcos Senesi,DEF,Bournemouth,Crystal Palace,4.7,0.0,0.05,0
Kiernan Dewsbury-Hall,MID,Chelsea,Fulham,5.5,1.0,0.94,0
Maxwel Cornet,MID,Southampton,West Ham United,4.7,0.0,-0.0,0
Jefferson Lerma Solís,MID,Crystal Palace,Bournemouth,4.8,1.0,2.04,3
Jannik Vestergaard,DEF,Leicester City,Liverpool,4.0,1.0,-0.26,0
Luke Thomas,DEF,Leicester City,Liverpool,3.9,1.0,0.01,0
Bruno Borges Fernandes,MID,Manchester United,Wolverhampton Wanderers,8.4,1.0,4.86,-2
Adam Smith,DEF,Bournemouth,Crystal Palace,4.5,1.0,4.54,0
Rasmus Højlund,FWD,Manchester United,Wolverhampton Wanderers,6.9,1.0,2.52,2
Callum Wilson,FWD,Newcastle United,Aston Villa,6.9,0.0,0.27,0
Callum Wilson,FWD,Newcastle United,Aston Villa,6.9,0.0,0.27,0
Oliver Skipp,MID,Leicester City,Liverpool,4.8,1.0,0.64,1
Taylor Harwood-Bellis,DEF,Southampton,West Ham United,4.1,1.0,1.97,2
Lisandro Martínez,DEF,Manchester United,Wolverhampton Wanderers,4.4,1.0,0.8,1
Joško Gvardiol,DEF,Manchester City,Everton,6.0,1.0,1.98,2
Joachim Andersen,DEF,Fulham,Chelsea,4.2,1.0,-0.0,1
Moisés Caicedo Corozo,MID,Chelsea,Fulham,4.9,1.0,4.44,2
Carlos Henrique Casimiro,MID,Manchester United,Wolverhampton Wanderers,4.8,1.0,-0.08,1
Roman Dixon,DEF,Everton,Manchester City,4.0,1.0,-0.0,0
Jhon Durán,FWD,Aston Villa,Newcastle United,5.9,1.0,1.05,-2
Jacob Murphy,MID,Newcastle United,Aston Villa,5.0,1.0,5.53,6
Sean Longstaff,MID,Newcastle United,Aston Villa,4.7,1.0,1.35,0
Trevoh Chalobah,DEF,Crystal Palace,Bournemouth,4.4,1.0,2.8,6
Ryan Manning,DEF,Southampton,West Ham United,4.3,1.0,0.0,1
Vitalii Mykolenko,DEF,Everton,Manchester City,4.3,1.0,3.07,1
Ryan Christie,MID,Bournemouth,Crystal Palace,4.9,1.0,3.3,3
Kepa Arrizabalaga,GK,Bournemouth,Crystal Palace,4.5,1.0,8.36,8
Youssef Ramalho Chermiti,FWD,Everton,Manchester City,4.9,1.0,-0.0,0
Youssef Ramalho Chermiti,FWD,Everton,Manchester City,4.9,1.0,-0.0,0
Noni Madueke,MID,Chelsea,Fulham,6.3,1.0,3.07,0
Nélson Cabral Semedo,DEF,Wolverhampton Wanderers,Manchester United,4.5,1.0,3.96,6
Tommy Doyle,MID,Wolverhampton Wanderers,Manchester United,4.8,1.0,0.88,1
Tom Heaton,GK,Manchester United,Wolverhampton Wanderers,4.0,1.0,-0.0,0
Lesley Ugochukwu,MID,Southampton,West Ham United,4.5,1.0,-0.0,2
Evan Ferguson,FWD,Brighton & Hove Albion,Brentford,5.5,1.0,0.77,0
Evan Ferguson,FWD,Brighton & Hove Albion,Brentford,5.5,1.0,0.77,0
Christian Eriksen,MID,Manchester United,Wolverhampton Wanderers,5.3,1.0,0.0,1
Jean-Ricner Bellegarde,MID,Wolverhampton Wanderers,Manchester United,5.0,1.0,1.2,1
Benoît Badiashile,DEF,Chelsea,Fulham,4.3,0.0,0.15,0
Jack Stephens,DEF,Southampton,West Ham United,4.0,1.0,0.04,0
Mateo Kovačić,MID,Manchester City,Everton,5.4,1.0,0.26,2
Phil Foden,MID,Manchester City,Everton,9.1,1.0,1.87,2
Mason Mount,MID,Manchester United,Wolverhampton Wanderers,6.3,0.0,0.25,0
Gabriel Martinelli Silva,MID,Arsenal,Ipswich Town,6.7,1.0,1.28,3
Yasin Ayari,MID,Brighton & Hove Albion,Brentford,5.0,1.0,0.7,1
Mikel Merino,MID,Arsenal,Ipswich Town,6.0,1.0,1.0,1
Facundo Buonanotte,MID,Leicester City,Liverpool,4.9,1.0,0.82,1
Caoimhin Kelleher,GK,Liverpool,Leicester City,4.4,1.0,1.15,0
Kai Havertz,FWD,Arsenal,Ipswich Town,7.9,1.0,3.26,7
Scott Carson,GK,Manchester City,Everton,4.0,1.0,-0.0,0
Ethan Brierley,MID,Brentford,Brighton & Hove Albion,4.4,1.0,-0.0,0
Rico Henry,DEF,Brentford,Brighton & Hove Albion,4.3,0.0,-0.0,0
Yoane Wissa,FWD,Brentford,Brighton & Hove Albion,6.3,1.0,2.66,2
Daniel Iversen,GK,Leicester City,Liverpool,3.9,1.0,-0.0,0
Mads Hermansen,GK,Leicester City,Liverpool,4.5,0.75,1.0,0
Rob Holding,DEF,Crystal Palace,Bournemouth,4.3,1.0,-0.0,0
Ismaïla Sarr,MID,Crystal Palace,Bournemouth,5.8,1.0,5.65,3
Ryan Sessegnon,DEF,Fulham,Chelsea,4.2,1.0,-0.0,1
Josh Dasilva,MID,Brentford,Brighton & Hove Albion,4.8,0.0,-0.0,0
Jadon Sancho,MID,Chelsea,Fulham,6.2,1.0,4.06,2
Sam Johnstone,GK,Wolverhampton Wanderers,Manchester United,4.3,1.0,0.37,0
Jonny Evans,DEF,Manchester United,Wolverhampton Wanderers,4.4,1.0,-0.0,0
Mohamed Salah,MID,Liverpool,Leicester City,13.5,1.0,8.9,9
Federico Chiesa,MID,Liverpool,Leicester City,6.8,1.0,-0.0,0
Timothy Castagne,DEF,Fulham,Chelsea,4.2,1.0,2.31,5
Tariq Lamptey,DEF,Brighton & Hove Albion,Brentford,4.4,1.0,0.87,0
Leandro Trossard,MID,Arsenal,Ipswich Town,6.8,1.0,1.49,6
Séamus Coleman,DEF,Everton,Manchester City,4.3,1.0,0.13,1
Fabian Schär,DEF,Newcastle United,Aston Villa,5.4,1.0,5.88,6
Nicolas Jackson,FWD,Chelsea,Fulham,8.3,1.0,0.82,2
Jamie Vardy,FWD,Leicester City,Liverpool,5.6,1.0,2.14,0
Miguel Almirón Rejala,MID,Newcastle United,Aston Villa,5.5,1.0,0.23,0
James Garner,MID,Everton,Manchester City,4.9,0.0,-0.0,0
Marcus Tavernier,MID,Bournemouth,Crystal Palace,5.4,0.0,1.77,0
Omari Kellyman,MID,Chelsea,Fulham,4.4,0.0,-0.0,0
Martial Godo,MID,Fulham,Chelsea,4.5,1.0,0.16,0
Harrison Reed,MID,Fulham,Chelsea,4.7,0.0,-0.0,0
Will Alves,MID,Leicester City,Liverpool,4.5,1.0,-0.0,0
Carlos Baleba,MID,Brighton & Hove Albion,Brentford,5.0,1.0,2.61,3
James Hill,DEF,Bournemouth,Crystal Palace,3.9,1.0,0.18,0
Ryan Fraser,MID,Southampton,West Ham United,4.8,1.0,0.25,0
Nathan Patterson,DEF,Everton,Manchester City,4.4,1.0,0.35,1
Robin Olsen,GK,Aston Villa,Newcastle United,4.5,1.0,0.02,0
Mathias Jensen,MID,Brentford,Brighton & Hove Albion,5.3,0.0,0.04,0
Bart Verbruggen,GK,Brighton & Hove Albion,Brentford,4.5,1.0,1.49,9
Dango Ouattara,MID,Bournemouth,Crystal Palace,5.0,1.0,3.96,3
Yehor Yarmoliuk,MID,Brentford,Brighton & Hove Albion,4.4,1.0,1.11,0
Tyler Dibling,MID,Southampton,West Ham United,4.5,1.0,1.03,1
Paul Onuachu,FWD,Southampton,West Ham United,4.9,1.0,0.0,2
Paul Onuachu,FWD,Southampton,West Ham United,4.9,1.0,0.0,2
Kieran Tierney,DEF,Arsenal,Ipswich Town,4.3,1.0,-0.0,0
Orel Mangala,MID,Everton,Manchester City,5.0,1.0,2.91,1
Darwin Núñez Ribeiro,FWD,Liverpool,Leicester City,7.1,1.0,1.64,2
Sugawara Yukinari,DEF,Southampton,West Ham United,4.3,1.0,1.07,2
Bobby De Cordova-Reid,MID,Leicester City,Liverpool,5.2,1.0,2.13,1
Manuel Ugarte,MID,Manchester United,Wolverhampton Wanderers,4.9,1.0,1.03,1
Matheus Luiz Nunes,MID,Manchester City,Everton,4.9,0.75,1.36,0
Jake O'Brien,DEF,Everton,Manchester City,4.6,1.0,0.17,0
Cameron Peupion,MID,Brighton & Hove Albion,Brentford,4.4,1.0,-0.0,0
Kosta Nedeljković,DEF,Aston Villa,Newcastle United,3.9,1.0,-0.0,1
Sepp van den Berg,DEF,Brentford,Brighton & Hove Albion,4.1,0.0,0.25,0
Jarrad Branthwaite,DEF,Everton,Manchester City,4.8,1.0,2.52,1
Ferdi Kadioglu,DEF,Brighton & Hove Albion,Brentford,4.5,0.25,-0.0,0
Mats Wieffer,MID,Brighton & Hove Albion,Brentford,4.7,0.75,2.04,0
Kyle Walker,DEF,Manchester City,Everton,5.2,1.0,0.54,0
Robert Sánchez,GK,Chelsea,Fulham,4.8,1.0,3.03,2
Asmir Begovic,GK,Everton,Manchester City,4.0,1.0,-0.0,0
Ricardo Barbosa Pereira,DEF,Leicester City,Liverpool,4.1,0.0,-0.0,0
Harvey Elliott,MID,Liverpool,Leicester City,5.2,1.0,0.66,1
Garang Kuol,MID,Newcastle United,Aston Villa,4.4,1.0,-0.0,0
Rúben Gato Alves Dias,DEF,Manchester City,Everton,5.4,0.0,1.06,0
Ben Chilwell,DEF,Chelsea,Fulham,4.7,1.0,0.0,0
Tyrick Mitchell,DEF,Crystal Palace,Bournemouth,4.8,1.0,7.39,7
Nico O'Reilly,MID,Manchester City,Everton,4.9,1.0,-0.0,0
Aaron Ramsdale,GK,Southampton,West Ham United,4.4,1.0,0.79,2
Igor Thiago Nascimento Rodrigues,FWD,Brentford,Brighton & Hove Albion,5.9,0.0,0.32,0
Igor Thiago Nascimento Rodrigues,FWD,Brentford,Brighton & Hove Albion,5.9,0.0,0.32,0
Kaden Rodney,MID,Crystal Palace,Bournemouth,4.5,1.0,-0.0,0
Armel Bella-Kotchap,DEF,Southampton,West Ham United,3.9,1.0,0.0,0
Rodrigo Martins Gomes,MID,Wolverhampton Wanderers,Manchester United,5.2,1.0,1.37,1
Lamare Bogarde,DEF,Aston Villa,Newcastle United,4.0,1.0,-0.0,0
Noussair Mazraoui,DEF,Manchester United,Wolverhampton Wanderers,4.6,1.0,1.03,1
