name,web_name,position,team,element,kickoff_time,opponent_team,total_points,value,was_home,team_last_5_points_h2h,team_last_5_points_vs_all,tot_assists_last_5_h2h,tot_assists_last_5,tot_bonus_last_5_h2h,tot_bonus_last_5,tot_bps_last_5_h2h,tot_bps_last_5,tot_clean_sheets_last_5_h2h,tot_clean_sheets_last_5,tot_goals_conceded_last_5_h2h,tot_goals_conceded_last_5,tot_goals_scored_last_5_h2h,tot_goals_scored_last_5,tot_own_goals_last_5_h2h,tot_own_goals_last_5,tot_penalties_missed_last_5_h2h,tot_penalties_missed_last_5,tot_penalties_saved_last_5_h2h,tot_penalties_saved_last_5,tot_red_cards_last_5_h2h,tot_red_cards_last_5,tot_yellow_cards_last_5_h2h,tot_yellow_cards_last_5,tot_saves_last_5_h2h,tot_saves_last_5,tot_total_points_last_5_h2h,tot_total_points_last_5,tot_team_points_last_5_h2h,tot_team_points_last_5,avg_ict_index_last_5_h2h,avg_ict_index_last_5,avg_influence_last_5_h2h,avg_influence_last_5,avg_creativity_last_5_h2h,avg_creativity_last_5,avg_threat_last_5_h2h,avg_threat_last_5,avg_selected_last_5_h2h,avg_selected_last_5,avg_minutes_last_5_h2h,avg_minutes_last_5
Alex Scott,Scott,MID,Bournemouth,77,2024-11-02T15:00:00Z,Brentford,1.0,48,False,2,14,0,0,0,0,12,29,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,9,1.0,2.0,3.0,5.0,7.0,11.0,1.0,2.0,2516.0,4565.0,10.0,22.0
Carlos Miguel dos Santos Pereira,C.Miguel,GK,Nott'm Forest,427,2024-11-02T15:00:00Z,West Ham,0.0,43,True,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20381.0,20545.0,0.0,0.0
Tomiyasu Takehiro,Tomiyasu,DEF,Arsenal,22,2024-11-02T12:30:00Z,Chelsea,0.2,48,False,13,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4075.0,4151.0,1.0,1.0
Malcolm Ebiowei,Ebiowei,MID,Crystal Palace,197,2024-11-02T17:30:00Z,Fulham,0.0,45,True,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14696.0,308.0,0.0,0.0
Ben Brereton Díaz,Brereton Díaz,MID,Southampton,584,2024-11-02T15:00:00Z,Wolverhampton Wanderers,0.2,51,False,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,27609.0,26038.0,9.0,2.0
Pau Torres,Pau,DEF,Aston Villa,52,2024-11-03T14:00:00Z,Liverpool,2.2,45,False,5,1,0,0,0,0,36,55,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,2,6,2.0,2.0,12.0,10.0,2.0,2.0,10.0,6.0,251057.0,208727.0,90.0,90.0
Joel Ward,Ward,DEF,Crystal Palace,215,2024-11-02T17:30:00Z,Fulham,0.0,43,True,4,4,0,0,0,0,46,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,4,3.0,0.0,15.0,0.0,1.0,0.0,11.0,0.0,26740.0,11241.0,41.0,0.0
Will Lankshear,Lankshear,FWD,Spurs,609,2024-11-03T14:00:00Z,Aston Villa,0.0,45,True,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175585.0,177524.0,0.0,0.0
Hwang Hee-chan,Hee Chan,MID,Wolverhampton Wanderers,550,2024-11-02T17:30:00Z,Southampton,0.4,61,True,12,4,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25231.0,33937.0,6.0,9.0
Mikey Moore,Moore,MID,Spurs,610,2024-11-03T14:00:00Z,Aston Villa,0.8,45,True,12,12,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,36493.0,34544.0,8.0,16.0
Hákon Valdimarsson,Valdimarsson,GK,Brentford,109,2024-11-04T20:00:00Z,Bournemouth,0.0,40,True,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179418.0,355577.0,0.0,0.0
Alex Paulsen,Paulsen,GK,Bournemouth,75,2024-11-02T15:00:00Z,Brentford,0.0,40,False,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3213.0,3180.0,0.0,0.0
João Victor Gomes da Silva,J.Gomes,MID,Wolverhampton Wanderers,553,2024-11-02T17:30:00Z,Southampton,3.4,49,True,9,3,0,0,2,3,38,83,0,0,2,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,11,18,3,2,5.0,4.0,26.0,19.0,7.0,15.0,12.0,7.0,5859.0,11329.0,54.0,86.0
Cole Palmer,Palmer,MID,Chelsea,182,2024-11-03T16:30:00Z,Arsenal,9.2,110,True,1,5,0,1,1,7,55,139,0,0,2,6,2,2,0,0,0,0,0,0,0,0,1,1,0,0,15,30,8,6,4.0,9.0,16.0,28.0,11.0,37.0,17.0,29.0,2064934.0,5501453.0,35.0,90.0
Mitoma Kaoru,Mitoma,MID,Brighton & Hove Albion,136,2024-11-02T15:00:00Z,Manchester City,2.4,65,True,1,1,0,1,0,0,13,60,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,8,7.0,7.0,14.0,14.0,24.0,23.0,28.0,30.0,729409.0,697208.0,77.0,74.0
Boubakary Soumaré,B.Soumaré,MID,Leicester City,285,2024-11-02T15:00:00Z,Manchester United,0.2,44,False,1,5,0,0,0,0,30,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,5,8,1.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,26946.0,21227.0,44.0,9.0
Chris Wood,Wood,FWD,Nott'm Forest,447,2024-11-02T15:00:00Z,West Ham,7.4,64,True,13,13,0,0,2,8,75,191,1,2,3,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,17,42,8,12,3.0,9.0,15.0,41.0,5.0,9.0,14.0,36.0,729794.0,1506697.0,50.0,81.0
Joe Worrall,Worrall,DEF,Nott'm Forest,448,2024-11-02T15:00:00Z,West Ham,0.0,45,True,12,12,0,0,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7627.0,2824.0,18.0,0.0
Jeffrey Schlupp,Schlupp,MID,Crystal Palace,214,2024-11-02T17:30:00Z,Fulham,0.6,47,True,4,4,0,0,3,0,39,10,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,4,2.0,1.0,12.0,2.0,5.0,0.0,3.0,4.0,11484.0,7532.0,35.0,5.0
Milos Kerkez,Kerkez,DEF,Bournemouth,70,2024-11-02T15:00:00Z,Brentford,4.4,44,False,6,12,0,2,0,3,27,101,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,3,9,2.0,5.0,11.0,21.0,11.0,20.0,2.0,4.0,35668.0,48242.0,57.0,81.0
Adrian Mazilu,Mazilu,MID,Brighton & Hove Albion,133,2024-11-02T15:00:00Z,Manchester City,0.0,45,True,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,1846.0,0.0,0.0
Jason Steele,Steele,GK,Brighton & Hove Albion,142,2024-11-02T15:00:00Z,Manchester City,0.0,43,True,4,4,0,0,0,0,49,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,2,8,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,275660.0,156935.0,54.0,0.0
Arijanet Muric,Muric,GK,Ipswich,568,2024-11-02T15:00:00Z,Leicester City,2.0,44,True,4,4,0,0,0,0,15,44,0,0,3,13,0,0,0,0,0,0,0,0,0,0,1,1,9,30,4,11,4,1,2.0,4.0,15.0,41.0,0.0,0.0,0.0,0.0,62626.0,124187.0,45.0,90.0
