name,web_name,position,team,element,kickoff_time,opponent_team,total_points,value,was_home,team_last_5_points_h2h,team_last_5_points_vs_all,tot_assists_last_5_h2h,tot_assists_last_5,tot_bonus_last_5_h2h,tot_bonus_last_5,tot_bps_last_5_h2h,tot_bps_last_5,tot_clean_sheets_last_5_h2h,tot_clean_sheets_last_5,tot_goals_conceded_last_5_h2h,tot_goals_conceded_last_5,tot_goals_scored_last_5_h2h,tot_goals_scored_last_5,tot_own_goals_last_5_h2h,tot_own_goals_last_5,tot_penalties_missed_last_5_h2h,tot_penalties_missed_last_5,tot_penalties_saved_last_5_h2h,tot_penalties_saved_last_5,tot_red_cards_last_5_h2h,tot_red_cards_last_5,tot_yellow_cards_last_5_h2h,tot_yellow_cards_last_5,tot_saves_last_5_h2h,tot_saves_last_5,tot_total_points_last_5_h2h,tot_total_points_last_5,tot_team_points_last_5_h2h,tot_team_points_last_5,avg_ict_index_last_5_h2h,avg_ict_index_last_5,avg_influence_last_5_h2h,avg_influence_last_5,avg_creativity_last_5_h2h,avg_creativity_last_5,avg_threat_last_5_h2h,avg_threat_last_5,avg_selected_last_5_h2h,avg_selected_last_5,avg_minutes_last_5_h2h,avg_minutes_last_5
Carl Rushworth,Rushworth,GK,Brighton & Hove Albion,615,2024-11-02T15:00:00Z,Manchester City,0.0,40,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6216.0,6138.0,0.0,0.0
Ibrahim Sangaré,Sangaré,MID,Nott'm Forest,442,2024-11-02T15:00:00Z,West Ham,0.0,44,True,11,11,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,12,1.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,62243.0,126737.0,22.0,0.0
Hannibal Mejbri,Hannibal,MID,Manchester United,373,2024-11-03T16:30:00Z,Leicester City,0.0,45,True,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818.0,5179.0,0.0,0.0
Brandon Austin,Austin,GK,Spurs,479,2024-11-03T14:00:00Z,Aston Villa,0.0,40,True,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37075.0,56156.0,0.0,0.0
Conor Coady,Coady,DEF,Leicester City,288,2024-11-02T15:00:00Z,Manchester United,0.0,40,False,2,5,0,0,0,0,47,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,8,2.0,0.0,7.0,0.0,2.0,0.0,6.0,0.0,422120.0,31892.0,53.0,0.0
Wes Foderingham,Foderingham,GK,West Ham,522,2024-11-02T15:00:00Z,Nott'm Forest,0.0,44,False,1,1,0,0,0,0,24,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,7,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,23928.0,15699.0,45.0,0.0
Armando Broja,Broja,FWD,Everton,156,2024-11-02T15:00:00Z,West Ham United,0.0,54,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6166.0,6009.0,0.0,0.0
Adam Webster,Webster,DEF,Brighton & Hove Albion,147,2024-11-02T15:00:00Z,Manchester City,0.0,43,True,7,7,0,0,0,0,13,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,42838.0,8878.0,21.0,4.0
Thomas Partey,Thomas,MID,Arsenal,20,2024-11-02T12:30:00Z,Chelsea,2.0,50,False,11,2,0,0,0,0,47,86,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,5,2.0,3.0,8.0,17.0,9.0,13.0,4.0,4.0,55834.0,134591.0,50.0,87.0
Harry Wilson,Wilson,MID,Fulham,259,2024-11-04T20:00:00Z,Crystal Palace,3.0,52,False,5,13,1,0,0,3,39,61,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,11,18,7,5,2.0,3.0,5.0,16.0,4.0,1.0,9.0,9.0,15408.0,11854.0,22.0,7.0
Kasey McAteer,McAteer,MID,Leicester City,299,2024-11-02T15:00:00Z,Manchester United,0.2,48,False,4,6,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1305.0,3661.0,1.0,5.0
Curtis Jones,Jones,MID,Liverpool,324,2024-11-02T15:00:00Z,Aston Villa,4.6,53,True,6,14,0,2,0,3,35,111,1,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,26,10,12,2.0,6.0,9.0,24.0,4.0,16.0,9.0,19.0,13490.0,17322.0,40.0,68.0
Wes Burns,Burns,MID,Ipswich,264,2024-11-02T15:00:00Z,Leicester City,1.4,49,True,3,3,0,0,0,0,11,37,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,1,1.0,1.0,3.0,4.0,3.0,7.0,2.0,3.0,4146.0,4145.0,26.0,48.0
Gustavo Nunes Fernandes Gomes,G.Nunes,MID,Brentford,634,2024-11-04T20:00:00Z,Bournemouth,0.0,49,True,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,286.0,0.0,0.0
Yunus Emre Konak,Konak,MID,Brentford,97,2024-11-04T20:00:00Z,Bournemouth,0.4,45,True,10,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8080.0,8287.0,1.0,0.0
Max Kilman,Kilman,DEF,West Ham,524,2024-11-02T15:00:00Z,Nott'm Forest,1.2,45,False,2,2,0,0,0,0,57,33,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,7,3.0,3.0,24.0,24.0,7.0,4.0,3.0,3.0,227947.0,254740.0,90.0,90.0
Deniz Undav,Undav,FWD,Brighton & Hove Albion,143,2024-11-02T15:00:00Z,Manchester City,0.0,55,True,7,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,29201.0,562.0,5.0,0.0
Alex Murphy,A.Murphy,DEF,Newcastle United,390,2024-11-02T12:30:00Z,Nottingham Forest,0.0,40,False,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99667.0,99647.0,0.0,0.0
George Edmundson,Edmundson,DEF,Ipswich,269,2024-11-02T15:00:00Z,Leicester City,0.0,40,True,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9480.0,9718.0,0.0,0.0
Sávio 'Savinho' Moreira de Oliveira,Sávio,MID,Manchester City,571,2024-11-02T15:00:00Z,Brighton & Hove Albion,1.6,65,False,14,2,0,0,0,3,10,53,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,2,11,5.0,6.0,11.0,11.0,29.0,32.0,15.0,17.0,187561.0,182302.0,34.0,39.0
Emerson Palmieri dos Santos,Emerson,DEF,West Ham,520,2024-11-02T15:00:00Z,Nott'm Forest,0.8,44,False,4,4,0,0,0,0,29,30,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,7,7,2.0,4.0,11.0,20.0,7.0,16.0,3.0,8.0,129196.0,59692.0,65.0,83.0
Abdoulaye Doucouré,A.Doucoure,MID,Everton,217,2024-11-02T15:00:00Z,West Ham United,2.0,52,False,3,3,0,0,0,0,8,43,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,6,3.0,3.0,10.0,10.0,16.0,17.0,4.0,5.0,24905.0,24775.0,70.0,66.0
José Malheiro de Sá,José Sá,GK,Wolverhampton Wanderers,554,2024-11-02T17:30:00Z,Southampton,1.2,43,True,7,3,1,0,5,0,123,36,2,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,19,15,30,7,12,2,4.0,2.0,32.0,20.0,4.0,0.0,0.0,0.0,395862.0,164339.0,83.0,65.0
Alexander Isak,Isak,FWD,Newcastle United,401,2024-11-02T12:30:00Z,Nottingham Forest,3.4,83,False,2,11,0,0,0,3,13,80,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,20,1,5,6.0,7.0,17.0,21.0,8.0,10.0,32.0,38.0,1551189.0,1429893.0,54.0,65.0
Yves Bissouma,Bissouma,MID,Spurs,482,2024-11-03T14:00:00Z,Aston Villa,2.8,49,True,10,10,0,0,0,3,42,79,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,16,7,7,1.0,3.0,10.0,20.0,3.0,4.0,1.0,4.0,38347.0,41824.0,39.0,51.0
Conor Gallagher,Gallagher,MID,Chelsea,169,2024-11-03T16:30:00Z,Arsenal,0.0,59,True,3,6,1,0,1,0,33,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,2,6,3.0,0.0,11.0,0.0,14.0,0.0,4.0,0.0,48549.0,17034.0,45.0,0.0
Philip Billing,Philip,MID,Bournemouth,76,2024-11-02T15:00:00Z,Brentford,0.0,48,False,8,11,0,0,0,0,30,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,9,3.0,0.0,9.0,0.0,15.0,0.0,7.0,0.0,38641.0,5838.0,54.0,0.0
Gonçalo Manuel Ganchinho Guedes,Guedes,MID,Wolverhampton Wanderers,548,2024-11-02T17:30:00Z,Southampton,1.2,53,True,4,2,0,1,0,0,2,28,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,6,2,2.0,2.0,2.0,9.0,3.0,9.0,10.0,3.0,31134.0,6977.0,19.0,15.0
Brajan Gruda,Gruda,MID,Brighton & Hove Albion,595,2024-11-02T15:00:00Z,Manchester City,0.6,54,True,7,7,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2221.0,2218.0,7.0,8.0
Rodrigo 'Rodri' Hernandez,Rodrigo,MID,Manchester City,360,2024-11-02T15:00:00Z,Brighton & Hove Albion,0.0,63,False,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111851.0,106467.0,0.0,0.0
Đorđe Petrović,Petrović,GK,Chelsea,183,2024-11-03T16:30:00Z,Arsenal,0.0,44,True,4,6,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,6,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,84460.0,25543.0,30.0,0.0
Justin Devenny,Devenny,MID,Crystal Palace,645,2024-11-02T17:30:00Z,Fulham,0.0,45,True,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970.0,1001.0,0.0,0.0
Craig Dawson,Dawson,DEF,Wolverhampton Wanderers,542,2024-11-02T17:30:00Z,Southampton,1.0,44,True,2,2,1,1,1,0,73,22,1,0,6,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,6,5,2,4.0,3.0,23.0,23.0,5.0,1.0,12.0,9.0,28647.0,17691.0,68.0,86.0
Jordan Ayew,J.Ayew,MID,Leicester City,192,2024-11-02T15:00:00Z,Manchester United,3.2,52,False,5,6,0,0,0,1,33,63,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,10,18,8,8,2.0,4.0,9.0,17.0,7.0,5.0,5.0,19.0,31342.0,22521.0,43.0,33.0
Marcos Senesi,Senesi,DEF,Bournemouth,79,2024-11-02T15:00:00Z,Brentford,3.2,48,False,10,10,2,0,4,3,106,72,1,1,6,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,21,17,4,9,4.0,3.0,24.0,21.0,15.0,7.0,1.0,3.0,72979.0,63151.0,87.0,90.0
Kiernan Dewsbury-Hall,Dewsbury-Hall,MID,Chelsea,166,2024-11-03T16:30:00Z,Arsenal,0.0,56,True,6,7,0,0,0,0,39,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,6,2.0,0.0,7.0,0.0,6.0,0.0,6.0,0.0,55679.0,13671.0,54.0,0.0
Kaine Kesler-Hayden,Kesler-Hayden,DEF,Aston Villa,43,2024-11-03T14:00:00Z,Liverpool,0.0,40,False,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.0,1210.0,0.0,0.0
João Cavaco Cancelo,João Cancelo,DEF,Manchester City,353,2024-11-02T15:00:00Z,Brighton & Hove Albion,0.0,53,False,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26186.0,25768.0,0.0,0.0
Maxwel Cornet,Cornet,MID,Southampton,515,2024-11-02T15:00:00Z,Wolverhampton Wanderers,0.2,48,False,4,10,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6388.0,2924.0,8.0,2.0
Jefferson Lerma Solís,Lerma,MID,Crystal Palace,206,2024-11-02T17:30:00Z,Fulham,1.0,48,True,4,4,0,0,0,0,35,27,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,9,4,6,4,3.0,1.0,13.0,7.0,6.0,4.0,10.0,2.0,27827.0,5917.0,48.0,52.0
Jannik Vestergaard,Vestergaard,DEF,Leicester City,307,2024-11-02T15:00:00Z,Manchester United,0.4,40,False,7,7,0,0,0,0,5,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,0.0,1.0,1.0,7.0,0.0,3.0,0.0,0.0,332418.0,228912.0,4.0,22.0
Luke Thomas,Thomas,DEF,Leicester City,305,2024-11-02T15:00:00Z,Manchester United,0.0,39,False,7,7,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,8,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,21265.0,75994.0,36.0,0.0
Bruno Borges Fernandes,B.Fernandes,MID,Manchester United,366,2024-11-03T16:30:00Z,Leicester City,3.6,82,True,11,5,2,1,3,3,81,116,2,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,23,7,6,11.0,8.0,37.0,28.0,61.0,32.0,16.0,20.0,754052.0,732169.0,87.0,88.0
Adam Smith,Smith,DEF,Bournemouth,81,2024-11-02T15:00:00Z,Brentford,1.6,45,False,10,10,0,0,2,0,54,18,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,7,4,9,1.0,2.0,6.0,8.0,5.0,7.0,0.0,1.0,23097.0,21835.0,48.0,65.0
Miodrag Pivaš,Pivas,DEF,Newcastle United,574,2024-11-02T12:30:00Z,Nottingham Forest,0.0,40,False,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9279.0,9070.0,0.0,0.0
Billy Gilmour,Gilmour,MID,Brighton & Hove Albion,124,2024-11-02T15:00:00Z,Manchester City,0.0,50,True,7,7,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,8,1.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,38147.0,4681.0,16.0,0.0
Rasmus Højlund,Højlund,FWD,Manchester United,375,2024-11-03T16:30:00Z,Leicester City,3.6,69,True,9,5,0,1,0,2,13,76,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,20,1,6,3.0,4.0,10.0,12.0,12.0,14.0,12.0,14.0,85953.0,94086.0,65.0,75.0
Callum Wilson,Wilson,FWD,Newcastle United,421,2024-11-02T12:30:00Z,Nottingham Forest,0.0,69,False,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3880.0,3861.0,0.0,0.0
Crysencio Summerville,Summerville,MID,West Ham,587,2024-11-02T15:00:00Z,Nott'm Forest,2.2,57,False,5,5,0,0,0,2,8,44,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,12,4,7,2.0,3.0,6.0,13.0,8.0,11.0,3.0,10.0,58620.0,46736.0,30.0,31.0
Jesurun Rak-Sakyi,Rak-Sakyi,MID,Crystal Palace,213,2024-11-02T17:30:00Z,Fulham,0.0,45,True,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.0,5335.0,0.0,0.0
Oliver Skipp,Skipp,MID,Leicester City,501,2024-11-02T15:00:00Z,Manchester United,1.0,49,False,7,7,0,0,0,0,26,21,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,8,1.0,1.0,3.0,6.0,7.0,4.0,1.0,0.0,11862.0,4837.0,44.0,36.0
Tomáš Souček,Souček,MID,West Ham,530,2024-11-02T15:00:00Z,Nott'm Forest,2.8,50,False,7,7,0,0,0,0,36,28,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,6,4,7,4.0,2.0,19.0,11.0,7.0,6.0,17.0,8.0,202347.0,294919.0,38.0,50.0
