name,position,team,opponent_team,price,condition,xTotPoints,total_points
André Onana, GK, Manchester United, Nottingham Forest, 5.2, 1.0, 4.04, 1
Dean Henderson, GK, Crystal Palace, Manchester City, 4.4, 1.0, 3.01, 1
Milos Kerkez, DEF, Bournemouth, Ipswich Town, 4.6, 1.0, 3.78, 2
Trevoh Chalobah, DEF, Crystal Palace, Manchester City, 4.4, 1.0, 3.43, 1
William Saliba, DEF, Arsenal, Fulham, 6.1, 1.0, 5.51, 9
Gabriel dos Santos Magalhães, DEF, Arsenal, Fulham, 6.2, 1.0, 4.53, 0
Antonee Robinson, DEF, Fulham, Arsenal, 4.7, 1.0, 3.32, 1
João Victor Gomes da Silva, MID, Wolverhampton Wanderers, West Ham United, 4.9, 1.0, 5.23, 1
Bruno Borges Fernandes, MID, Manchester United, Nottingham Forest, 8.5, 1.0, 7.34, 9
Bukayo Saka, MID, Arsenal, Fulham, 10.5, 1.0, 9.07, 2
Enzo Fernández, MID, Chelsea, Tottenham Hotspur, 4.9, 1.0, 4.87, 9
Amad Diallo, MID, Manchester United, Nottingham Forest, 5, 1.0, 5, 5
Alexander Isak, FWD, Newcastle United, Brentford, 8.5, 1.0, 7.38, 8
Yoane Wissa, FWD, Brentford, Newcastle United, 6.2, 1.0, 7.57, 7
Matheus Santos Carneiro Da Cunha, FWD, Wolverhampton Wanderers, West Ham United, 7.1, 1.0, 7.33, 1
