name,position,team,opponent_team,price,condition,xTotPoints,total_points
David Raya Martin,GK,Arsenal,Everton,5.6,1.0,3.91,6
Mark Flekken,GK,Brentford,Chelsea,4.5,1.0,3.73,3
William Saliba,DEF,Arsenal,Everton,6.2,1.0,6.17,6
Antonee Robinson,DEF,Fulham,Liverpool,4.7,1.0,4.29,6
Pervis Estupiñán,DEF,Brighton & Hove Albion,Crystal Palace,5.1,1.0,4.65,1
Cole Palmer,MID,Chelsea,Brentford,11.1,1.0,7.77,3
Bruno Borges Fernandes,MID,Manchester United,Manchester City,8.4,1.0,6.04,9
Bukayo Saka,MID,Arsenal,Everton,10.6,1.0,7.65,3
Enzo Fernández,MID,Chelsea,Brentford,5.0,1.0,7.76,5
Marcus Rashford,MID,Manchester United,Manchester City,6.9,1.0,7.53,0
Bryan Mbeumo,MID,Brentford,Chelsea,7.6,1.0,6.93,9
Amad Diallo,MID,Manchester United,Manchester City,5.1,1.0,5.91,13
Yoane Wissa,FWD,Brentford,Chelsea,6.2,1.0,6.22,2
João Pedro Junqueira de Jesus,FWD,Brighton & Hove Albion,Crystal Palace,5.9,1.0,7.88,2
Matheus Santos Carneiro Da Cunha,FWD,Wolverhampton Wanderers,Ipswich Town,7.1,1.0,6.0,9
