name,position,team,opponent_team,price,condition,xTotPoints,total_points
Alex Scott,MID,Bournemouth,West Ham United,4.7,0.0,0.0,0
Tomiyasu Takehiro,DEF,Arsenal,Everton,4.8,0.0,0.0,0
Ben Brereton Díaz,MID,Southampton,Tottenham Hotspur,4.9,1.0,0.68,0
Pau Torres,DEF,Aston Villa,Nottingham Forest,4.4,1.0,1.45,1
Joel Ward,DEF,Crystal Palace,Brighton & Hove Albion,4.3,0.25,0.0,0
Hwang Hee-chan,MID,Wolverhampton Wanderers,Ipswich Town,6.1,1.0,0.61,1
Hákon Valdimarsson,GK,Brentford,Chelsea,3.9,1.0,0.0,0
João Victor Gomes da Silva,MID,Wolverhampton Wanderers,Ipswich Town,4.9,0.0,2.68,0
Cole Palmer,MID,Chelsea,Brentford,11.1,1.0,7.77,3
Mitoma Kaoru,MID,Brighton & Hove Albion,Crystal Palace,6.6,1.0,4.92,2
Boubakary Soumaré,MID,Leicester City,Newcastle United,4.4,0.0,1.41,0
Jeffrey Schlupp,MID,Crystal Palace,Brighton & Hove Albion,4.7,1.0,0.61,0
Milos Kerkez,DEF,Bournemouth,West Ham United,4.6,1.0,3.16,2
Jason Steele,GK,Brighton & Hove Albion,Crystal Palace,4.2,1.0,0.0,0
Conor Coady,DEF,Leicester City,Newcastle United,4.0,1.0,0.75,0
Adam Webster,DEF,Brighton & Hove Albion,Crystal Palace,4.3,0.25,0.0,0
Thomas Partey,MID,Arsenal,Everton,5.0,1.0,3.09,1
Harry Wilson,MID,Fulham,Liverpool,5.2,1.0,1.27,2
Kasey McAteer,MID,Leicester City,Newcastle United,4.7,1.0,1.63,2
Gustavo Nunes Fernandes Gomes,MID,Brentford,Chelsea,4.9,0.0,0.0,0
Yunus Emre Konak,MID,Brentford,Chelsea,4.5,1.0,0.07,0
Alex Murphy,DEF,Newcastle United,Leicester City,4.0,1.0,0.0,0
Sávio 'Savinho' Moreira de Oliveira,MID,Manchester City,Manchester United,6.5,1.0,1.15,1
José Malheiro de Sá,GK,Wolverhampton Wanderers,Ipswich Town,4.3,0.0,1.29,0
Alexander Isak,FWD,Newcastle United,Leicester City,8.6,1.0,5.89,11
Philip Billing,MID,Bournemouth,West Ham United,4.8,1.0,0.47,1
Gonçalo Manuel Ganchinho Guedes,MID,Wolverhampton Wanderers,Ipswich Town,5.3,1.0,2.21,4
Brajan Gruda,MID,Brighton & Hove Albion,Crystal Palace,5.4,1.0,0.3,1
Rodrigo 'Rodri' Hernandez,MID,Manchester City,Manchester United,6.3,0.0,0.0,0
Justin Devenny,MID,Crystal Palace,Brighton & Hove Albion,4.5,1.0,2.28,1
Craig Dawson,DEF,Wolverhampton Wanderers,Ipswich Town,4.4,1.0,0.22,0
Jordan Ayew,MID,Leicester City,Newcastle United,5.2,1.0,2.53,0
Marcos Senesi,DEF,Bournemouth,West Ham United,4.8,0.0,0.3,0
Kiernan Dewsbury-Hall,MID,Chelsea,Brentford,5.6,1.0,0.61,0
Maxwel Cornet,MID,Southampton,Tottenham Hotspur,4.7,1.0,0.0,0
Jefferson Lerma Solís,MID,Crystal Palace,Brighton & Hove Albion,4.8,1.0,1.47,2
Jannik Vestergaard,DEF,Leicester City,Newcastle United,4.0,1.0,0.37,-1
Luke Thomas,DEF,Leicester City,Newcastle United,3.9,1.0,-0.02,0
Bruno Borges Fernandes,MID,Manchester United,Manchester City,8.4,1.0,6.04,9
Adam Smith,DEF,Bournemouth,West Ham United,4.5,1.0,2.14,6
Rasmus Højlund,FWD,Manchester United,Manchester City,6.9,1.0,0.98,1
Callum Wilson,FWD,Newcastle United,Leicester City,6.9,0.0,0.46,0
Callum Wilson,FWD,Newcastle United,Leicester City,6.9,0.0,0.46,0
Oliver Skipp,MID,Leicester City,Newcastle United,4.8,1.0,0.64,1
Taylor Harwood-Bellis,DEF,Southampton,Tottenham Hotspur,4.1,1.0,0.4,0
Lisandro Martínez,DEF,Manchester United,Manchester City,4.4,1.0,1.31,6
Joško Gvardiol,DEF,Manchester City,Manchester United,6.1,1.0,1.41,7
Joachim Andersen,DEF,Fulham,Liverpool,4.2,0.0,1.23,0
Moisés Caicedo Corozo,MID,Chelsea,Brentford,4.9,1.0,2.23,2
Carlos Henrique Casimiro,MID,Manchester United,Manchester City,4.8,1.0,1.06,0
Jhon Durán,FWD,Aston Villa,Nottingham Forest,5.8,1.0,1.59,5
Jacob Murphy,MID,Newcastle United,Leicester City,4.9,1.0,1.36,13
Sean Longstaff,MID,Newcastle United,Leicester City,4.7,1.0,1.65,1
Trevoh Chalobah,DEF,Crystal Palace,Brighton & Hove Albion,4.4,1.0,1.66,9
Ryan Manning,DEF,Southampton,Tottenham Hotspur,4.3,1.0,1.01,0
Ryan Christie,MID,Bournemouth,West Ham United,4.9,1.0,1.49,3
Kepa Arrizabalaga,GK,Bournemouth,West Ham United,4.5,1.0,2.4,2
Noni Madueke,MID,Chelsea,Brentford,6.3,1.0,4.43,6
