name,position,team,opponent_team,price,condition,xTotPoints,total_points
Robert Sánchez,GK,Chelsea,Brighton & Hove Albion,4.6,1.0,4.89,2
André Onana,GK,Manchester United,Tottenham Hotspur,5.0,1.0,3.93,3
Trent Alexander-Arnold,DEF,Liverpool,Wolverhampton Wanderers,7.1,1.0,5.79,1
Ibrahima Konaté,DEF,Liverpool,Wolverhampton Wanderers,5.1,1.0,5.42,7
Gabriel dos Santos Magalhães,DEF,Arsenal,Leicester City,6.1,1.0,6.6,1
Dwight McNeil,MID,Everton,Crystal Palace,5.4,1.0,5.95,15
Emile Smith Rowe,MID,Fulham,Nottingham Forest,5.8,1.0,5.61,3
Alex Iwobi,MID,Fulham,Nottingham Forest,5.5,1.0,5.32,3
Luis Díaz,MID,Liverpool,Wolverhampton Wanderers,7.9,1.0,9.26,2
Bryan Mbeumo,MID,Brentford,West Ham United,7.2,1.0,7.26,9
Chris Wood,FWD,Nottingham Forest,Fulham,6.1,1.0,5.89,2
Nicolas Jackson,FWD,Chelsea,Brighton & Hove Albion,7.7,1.0,6.75,5
Erling Haaland,FWD,Manchester City,Newcastle United,15.3,1.0,10.94,2
Danny Welbeck,FWD,Brighton & Hove Albion,Chelsea,5.8,1.0,5.64,2
Raúl Jiménez,FWD,Fulham,Nottingham Forest,5.4,1.0,9.74,9
