name,position,team,opponent_team,price,condition,xTotPoints,total_points
David Raya Martin,GK,Arsenal,Brighton & Hove Albion,5.5,1.0,5.81,2
Ederson Santana de Moraes,GK,Manchester City,West Ham United,5.5,1.0,4.86,2
Ola Aina,DEF,Nottingham Forest,Wolverhampton Wanderers,4.4,1.0,4.8,2
Noussair Mazraoui,DEF,Manchester United,Liverpool,4.5,1.0,5.23,1
William Saliba,DEF,Arsenal,Brighton & Hove Albion,6.0,1.0,6.02,2
Wout Faes,DEF,Leicester City,Aston Villa,4.1,1.0,4.51,1
Mitoma Kaoru,MID,Brighton & Hove Albion,Arsenal,6.6,1.0,5.68,2
Mohamed Salah,MID,Liverpool,Manchester United,12.6,1.0,9.47,17
João Félix Sequeira,MID,Chelsea,Crystal Palace,6.5,1.0,5.59,1
Luis Díaz,MID,Liverpool,Manchester United,7.5,1.0,7.35,15
Bryan Mbeumo,MID,Brentford,Southampton,7.0,1.0,8.7,14
Son Heung-min,MID,Tottenham Hotspur,Newcastle United,10.0,1.0,6.82,3
Kai Havertz,FWD,Arsenal,Brighton & Hove Albion,8.1,1.0,9.7,8
Yoane Wissa,FWD,Brentford,Southampton,6.1,1.0,9.14,8
Danny Welbeck,FWD,Brighton & Hove Albion,Arsenal,5.6,1.0,5.95,2
