name,position,team,opponent_team,price,condition,xTotPoints,total_points
Nick Pope,GK,Newcastle United,Southampton,5.0,1.0,7.84,9
Ederson Santana de Moraes,GK,Manchester City,Chelsea,5.5,1.0,6.99,8
Noussair Mazraoui,DEF,Manchester United,Fulham,4.5,1.0,7.98,8
Tino Livramento,DEF,Newcastle United,Southampton,4.5,1.0,6.97,7
Joël Veltman,DEF,Brighton & Hove Albion,Everton,4.5,1.0,8.11,8
Mateo Kovačić,MID,Manchester City,Chelsea,5.5,0.75,10.17,11
Mohamed Salah,MID,Liverpool,Ipswich Town,12.6,1.0,14.01,14
Youri Tielemans,MID,Aston Villa,West Ham United,5.5,1.0,9.87,7
Joelinton Cássio Apolinário de Lira,MID,Newcastle United,Southampton,6.0,1.0,9.89,11
Amadou Onana,MID,Aston Villa,West Ham United,5.0,1.0,9.75,10
Chris Wood,FWD,Nottingham Forest,Bournemouth,6.1,1.0,9.03,9
Kai Havertz,FWD,Arsenal,Wolverhampton Wanderers,8.1,1.0,11.05,12
Yoane Wissa,FWD,Brentford,Crystal Palace,6.1,1.0,11.91,11
Erling Haaland,FWD,Manchester City,Chelsea,15.1,1.0,9.66,7
Danny Welbeck,FWD,Brighton & Hove Albion,Everton,5.6,1.0,11.43,12
