name,position,team,opponent_team,price,condition,xTotPoints
Robert Sánchez,GK,Chelsea,Bournemouth,4.8,1.0,4.26
Jordan Pickford,GK,Everton,Aston Villa,5.0,1.0,7.79
Milos Kerkez,DEF,Bournemouth,Chelsea,4.8,1.0,4.99
Illia Zabarnyi,DEF,Bournemouth,Chelsea,4.4,1.0,5.09
Lewis Hall,DEF,Newcastle United,Wolverhampton Wanderers,4.9,1.0,7.28
Dean Huijsen,DEF,Bournemouth,Chelsea,4.4,1.0,6.21
Jacob Murphy,MID,Newcastle United,Wolverhampton Wanderers,5.1,0.75,6.76
Phil Foden,MID,Manchester City,Brentford,9.2,1.0,6.68
Ismaïla Sarr,MID,Crystal Palace,Leicester City,5.9,1.0,5.54
Mohamed Salah,MID,Liverpool,Nottingham Forest,13.7,1.0,11.39
Bryan Mbeumo,MID,Brentford,Manchester City,7.8,1.0,6.82
Morgan Rogers,MID,Aston Villa,Everton,5.5,1.0,5.41
Alexander Isak,FWD,Newcastle United,Wolverhampton Wanderers,9.3,0.75,10.31
Cody Gakpo,FWD,Liverpool,Nottingham Forest,7.4,1.0,6.33
Jean-Philippe Mateta,FWD,Crystal Palace,Leicester City,7.2,1.0,6.35
