name,position,team,opponent_team,price,condition,xTotPoints
Alex Scott,MID,Bournemouth,Chelsea,4.7,0.0,0.0
Tomiyasu Takehiro,DEF,Arsenal,Tottenham Hotspur,4.8,0.0,0.0
Ben Brereton Díaz,MID,Southampton,Manchester United,4.9,1.0,0.0
Pau Torres,DEF,Aston Villa,Everton,4.3,0.0,0.96
Joel Ward,DEF,Crystal Palace,Leicester City,4.3,1.0,0.0
Hwang Hee-chan,MID,Wolverhampton Wanderers,Newcastle United,6.1,1.0,3.95
Hákon Valdimarsson,GK,Brentford,Manchester City,3.9,1.0,0.23
João Victor Gomes da Silva,MID,Wolverhampton Wanderers,Newcastle United,4.9,1.0,1.84
Cole Palmer,MID,Chelsea,Bournemouth,11.4,1.0,6.57
Mitoma Kaoru,MID,Brighton & Hove Albion,Ipswich Town,6.4,1.0,1.28
Boubakary Soumaré,MID,Leicester City,Crystal Palace,4.4,1.0,1.16
Jeffrey Schlupp,MID,Crystal Palace,Leicester City,4.6,1.0,0.16
Milos Kerkez,DEF,Bournemouth,Chelsea,4.8,1.0,4.99
Jason Steele,GK,Brighton & Hove Albion,Ipswich Town,4.1,1.0,0.0
Conor Coady,DEF,Leicester City,Crystal Palace,4.0,1.0,0.89
Armando Broja,FWD,Everton,Aston Villa,5.4,0.25,0.87
Adam Webster,DEF,Brighton & Hove Albion,Ipswich Town,4.3,1.0,0.19
Thomas Partey,MID,Arsenal,Tottenham Hotspur,5.0,1.0,1.72
Harry Wilson,MID,Fulham,West Ham United,5.2,1.0,2.68
Kasey McAteer,MID,Leicester City,Crystal Palace,4.7,1.0,0.01
Curtis Jones,MID,Liverpool,Nottingham Forest,5.3,1.0,1.77
Gustavo Nunes Fernandes Gomes,MID,Brentford,Manchester City,4.9,0.0,0.0
Yunus Emre Konak,MID,Brentford,Manchester City,4.5,1.0,0.07
Alex Murphy,DEF,Newcastle United,Wolverhampton Wanderers,4.0,1.0,0.0
Abdoulaye Doucouré,MID,Everton,Aston Villa,5.1,1.0,2.24
José Malheiro de Sá,GK,Wolverhampton Wanderers,Newcastle United,4.3,1.0,3.65
Alexander Isak,FWD,Newcastle United,Wolverhampton Wanderers,9.3,0.75,10.31
Philip Billing,MID,Bournemouth,Chelsea,4.8,1.0,1.08
Gonçalo Manuel Ganchinho Guedes,MID,Wolverhampton Wanderers,Newcastle United,5.3,1.0,3.87
Brajan Gruda,MID,Brighton & Hove Albion,Ipswich Town,5.4,1.0,1.24
Rodrigo 'Rodri' Hernandez,MID,Manchester City,Brentford,6.2,0.0,0.0
Justin Devenny,MID,Crystal Palace,Leicester City,4.5,1.0,0.38
Craig Dawson,DEF,Wolverhampton Wanderers,Newcastle United,4.3,1.0,0.81
Jordan Ayew,MID,Leicester City,Crystal Palace,5.2,1.0,2.62
Marcos Senesi,DEF,Bournemouth,Chelsea,4.7,0.0,-0.02
Kiernan Dewsbury-Hall,MID,Chelsea,Bournemouth,5.5,0.0,0.0
Maxwel Cornet,MID,Southampton,Manchester United,4.7,1.0,0.0
Jefferson Lerma Solís,MID,Crystal Palace,Leicester City,4.8,1.0,2.38
Jannik Vestergaard,DEF,Leicester City,Crystal Palace,4.0,0.75,0.07
Luke Thomas,DEF,Leicester City,Crystal Palace,3.9,1.0,0.36
Bruno Borges Fernandes,MID,Manchester United,Southampton,8.3,1.0,3.28
Adam Smith,DEF,Bournemouth,Chelsea,4.4,0.0,0.76
Rasmus Højlund,FWD,Manchester United,Southampton,6.9,1.0,0.96
Callum Wilson,FWD,Newcastle United,Wolverhampton Wanderers,6.9,0.0,0.0
Oliver Skipp,MID,Leicester City,Crystal Palace,4.7,1.0,0.65
Taylor Harwood-Bellis,DEF,Southampton,Manchester United,4.1,1.0,1.39
Lisandro Martínez,DEF,Manchester United,Southampton,4.4,1.0,3.5
Joško Gvardiol,DEF,Manchester City,Brentford,6.0,1.0,2.73
Joachim Andersen,DEF,Fulham,West Ham United,4.2,1.0,0.09
Moisés Caicedo Corozo,MID,Chelsea,Bournemouth,4.9,1.0,2.06
Carlos Henrique Casimiro,MID,Manchester United,Southampton,4.8,1.0,0.52
Roman Dixon,DEF,Everton,Aston Villa,4.0,1.0,0.0
Jhon Durán,FWD,Aston Villa,Everton,5.8,1.0,2.1
Jacob Murphy,MID,Newcastle United,Wolverhampton Wanderers,5.1,0.75,6.76
Sean Longstaff,MID,Newcastle United,Wolverhampton Wanderers,4.6,1.0,0.59
Trevoh Chalobah,DEF,Crystal Palace,Leicester City,4.4,1.0,4.18
Ryan Manning,DEF,Southampton,Manchester United,4.3,1.0,0.2
Vitalii Mykolenko,DEF,Everton,Aston Villa,4.3,1.0,3.94
Ryan Christie,MID,Bournemouth,Chelsea,4.9,0.75,3.8
Kepa Arrizabalaga,GK,Bournemouth,Chelsea,4.5,0.0,2.86
Youssef Ramalho Chermiti,FWD,Everton,Aston Villa,4.9,0.0,0.0
Noni Madueke,MID,Chelsea,Bournemouth,6.2,1.0,1.56
Nélson Cabral Semedo,DEF,Wolverhampton Wanderers,Newcastle United,4.5,1.0,2.8
Tommy Doyle,MID,Wolverhampton Wanderers,Newcastle United,4.8,1.0,0.76
Tom Heaton,GK,Manchester United,Southampton,4.0,1.0,0.0
Lesley Ugochukwu,MID,Southampton,Manchester United,4.4,1.0,1.1
Evan Ferguson,FWD,Brighton & Hove Albion,Ipswich Town,5.5,0.5,0.27
Christian Eriksen,MID,Manchester United,Southampton,5.3,1.0,0.6
Jean-Ricner Bellegarde,MID,Wolverhampton Wanderers,Newcastle United,4.9,1.0,1.02
Benoît Badiashile,DEF,Chelsea,Bournemouth,4.3,0.0,0.0
Jack Stephens,DEF,Southampton,Manchester United,4.0,0.0,-0.0
Mateo Kovačić,MID,Manchester City,Brentford,5.4,1.0,1.17
Phil Foden,MID,Manchester City,Brentford,9.2,1.0,6.68
Mason Mount,MID,Manchester United,Southampton,6.3,0.25,0.0
Gabriel Martinelli Silva,MID,Arsenal,Tottenham Hotspur,6.8,1.0,4.03
Yasin Ayari,MID,Brighton & Hove Albion,Ipswich Town,5.0,1.0,1.12
Mikel Merino,MID,Arsenal,Tottenham Hotspur,6.0,1.0,2.47
Facundo Buonanotte,MID,Leicester City,Crystal Palace,4.8,1.0,1.13
Caoimhin Kelleher,GK,Liverpool,Nottingham Forest,4.2,1.0,0.0
Kai Havertz,FWD,Arsenal,Tottenham Hotspur,7.8,1.0,1.66
Scott Carson,GK,Manchester City,Brentford,4.0,1.0,0.0
Ethan Brierley,MID,Brentford,Manchester City,4.4,1.0,0.03
Rico Henry,DEF,Brentford,Manchester City,4.3,1.0,0.0
Yoane Wissa,FWD,Brentford,Manchester City,6.2,1.0,5.43
Daniel Iversen,GK,Leicester City,Crystal Palace,3.9,1.0,0.0
Mads Hermansen,GK,Leicester City,Crystal Palace,4.5,0.0,0.01
Rob Holding,DEF,Crystal Palace,Leicester City,4.2,1.0,0.0
Ismaïla Sarr,MID,Crystal Palace,Leicester City,5.9,1.0,5.54
Ryan Sessegnon,DEF,Fulham,West Ham United,4.2,1.0,0.07
Josh Dasilva,MID,Brentford,Manchester City,4.8,0.0,0.0
Jadon Sancho,MID,Chelsea,Bournemouth,6.2,1.0,2.3
Sam Johnstone,GK,Wolverhampton Wanderers,Newcastle United,4.3,1.0,0.01
Jonny Evans,DEF,Manchester United,Southampton,4.4,0.25,0.0
Mohamed Salah,MID,Liverpool,Nottingham Forest,13.7,1.0,11.39
Federico Chiesa,MID,Liverpool,Nottingham Forest,6.8,1.0,0.0
Timothy Castagne,DEF,Fulham,West Ham United,4.2,1.0,2.32
Tariq Lamptey,DEF,Brighton & Hove Albion,Ipswich Town,4.4,0.75,1.23
Leandro Trossard,MID,Arsenal,Tottenham Hotspur,6.8,1.0,2.05
Séamus Coleman,DEF,Everton,Aston Villa,4.3,1.0,0.16
Fabian Schär,DEF,Newcastle United,Wolverhampton Wanderers,5.4,1.0,4.53
Nicolas Jackson,FWD,Chelsea,Bournemouth,8.1,1.0,2.73
Jamie Vardy,FWD,Leicester City,Crystal Palace,5.5,1.0,1.4
Miguel Almirón Rejala,MID,Newcastle United,Wolverhampton Wanderers,5.4,1.0,0.2
James Garner,MID,Everton,Aston Villa,4.9,0.25,0.0
Marcus Tavernier,MID,Bournemouth,Chelsea,5.4,0.0,0.0
Omari Kellyman,MID,Chelsea,Bournemouth,4.4,0.0,0.0
Martial Godo,MID,Fulham,West Ham United,4.4,1.0,0.15
Harrison Reed,MID,Fulham,West Ham United,4.7,1.0,0.0
Will Alves,MID,Leicester City,Crystal Palace,4.5,1.0,0.08
Carlos Baleba,MID,Brighton & Hove Albion,Ipswich Town,5.0,1.0,2.0
James Hill,DEF,Bournemouth,Chelsea,3.9,1.0,1.63
Ryan Fraser,MID,Southampton,Manchester United,4.8,1.0,0.0
Nathan Patterson,DEF,Everton,Aston Villa,4.4,1.0,0.29
Robin Olsen,GK,Aston Villa,Everton,4.5,1.0,0.0
Mathias Jensen,MID,Brentford,Manchester City,5.3,1.0,0.56
Bart Verbruggen,GK,Brighton & Hove Albion,Ipswich Town,4.5,1.0,2.93
Dango Ouattara,MID,Bournemouth,Chelsea,5.0,1.0,3.98
Yehor Yarmoliuk,MID,Brentford,Manchester City,4.4,1.0,0.85
Tyler Dibling,MID,Southampton,Manchester United,4.5,1.0,1.44
Paul Onuachu,FWD,Southampton,Manchester United,4.9,1.0,1.13
Kieran Tierney,DEF,Arsenal,Tottenham Hotspur,4.3,1.0,0.0
Orel Mangala,MID,Everton,Aston Villa,5.0,1.0,1.58
Darwin Núñez Ribeiro,FWD,Liverpool,Nottingham Forest,7.0,0.0,0.94
