name,position,team,opponent_team,price,condition,xTotPoints,total_points
Robert Sánchez,GK,Chelsea,Brighton & Hove Albion,4.6,1.0,5.57,2
David Raya Martin,GK,Arsenal,Leicester City,5.6,1.0,5.76,1
Ibrahima Konaté,DEF,Liverpool,Wolverhampton Wanderers,5.1,1.0,5.14,7
Gabriel dos Santos Magalhães,DEF,Arsenal,Leicester City,6.1,1.0,7.55,1
Diogo Dalot Teixeira,DEF,Manchester United,Tottenham Hotspur,5.0,1.0,5.49,0
Dwight McNeil,MID,Everton,Crystal Palace,5.4,1.0,5.5,15
Emile Smith Rowe,MID,Fulham,Nottingham Forest,5.8,1.0,6.26,3
Luis Díaz,MID,Liverpool,Wolverhampton Wanderers,7.9,1.0,9.08,2
Bryan Mbeumo,MID,Brentford,West Ham United,7.2,1.0,6.89,9
Harvey Barnes,MID,Newcastle United,Manchester City,6.5,1.0,6.23,2
Chris Wood,FWD,Nottingham Forest,Fulham,6.1,1.0,6.63,2
Nicolas Jackson,FWD,Chelsea,Brighton & Hove Albion,7.7,1.0,6.45,5
Erling Haaland,FWD,Manchester City,Newcastle United,15.3,1.0,11.89,2
Danny Welbeck,FWD,Brighton & Hove Albion,Chelsea,5.8,1.0,6.87,2
Raúl Jiménez,FWD,Fulham,Nottingham Forest,5.4,1.0,10.98,9
