name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
Bernd Leno,GK,248,Fulham,Crystal Palace,5.0,1.0,3.62,9
Jordan Pickford,GK,235,Everton,West Ham United,4.9,1.0,4.31,11
Marcos Senesi,DEF,79,Bournemouth,Brentford,4.8,1.0,4.44,0
Joško Gvardiol,DEF,350,Manchester City,Brighton & Hove Albion,6.3,1.0,5.79,1
Virgil van Dijk,DEF,339,Liverpool,Aston Villa,6.3,1.0,5.95,6
Rayan Aït-Nouri,DEF,533,Wolverhampton Wanderers,Southampton,4.7,1.0,4.46,6
Marc Guéhi,DEF,200,Crystal Palace,Fulham,4.5,1.0,4.6,1
João Victor Gomes da Silva,MID,553,Wolverhampton Wanderers,Southampton,4.9,1.0,5.87,3
Cole Palmer,MID,182,Chelsea,Arsenal,10.9,0.75,7.84,2
Mohamed Salah,MID,328,Liverpool,Aston Villa,12.9,1.0,9.6,14
Bukayo Saka,MID,17,Arsenal,Chelsea,10.1,0.75,5.71,2
Bryan Mbeumo,MID,99,Brentford,Bournemouth,7.9,0.75,8.12,5
Cameron Archer,FWD,27,Southampton,Wolverhampton Wanderers,5.0,1.0,4.85,2
Jørgen Strand Larsen,FWD,566,Wolverhampton Wanderers,Southampton,5.6,1.0,5.48,2
Francisco Evanilson de Lima Barbosa,FWD,617,Bournemouth,Brentford,6.0,1.0,5.95,8
