name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
Mark Flekken,GK,91,Brentford,Nottingham Forest,4.5,1.0,4.01,2
Jordan Pickford,GK,235,Everton,Chelsea,4.9,1.0,6.55,7
Adam Smith,DEF,81,Bournemouth,Manchester United,4.5,1.0,4.23,0
William Saliba,DEF,18,Arsenal,Crystal Palace,6.3,1.0,6.81,2
Gabriel dos Santos Magalhães,DEF,3,Arsenal,Crystal Palace,6.3,1.0,11.39,4
Cole Palmer,MID,182,Chelsea,Everton,11.2,1.0,11.3,3
Bruno Borges Fernandes,MID,366,Manchester United,Bournemouth,8.4,1.0,7.39,2
Ismaïla Sarr,MID,585,Crystal Palace,Arsenal,5.7,1.0,8.27,7
Mohamed Salah,MID,328,Liverpool,Tottenham Hotspur,13.5,1.0,12.23,21
Justin Kluivert,MID,71,Bournemouth,Manchester United,5.5,1.0,5.98,8
Enzo Fernández,MID,168,Chelsea,Everton,5.1,1.0,6.98,3
Amad Diallo,MID,364,Manchester United,Bournemouth,5.3,1.0,6.89,2
Jamie Vardy,FWD,306,Leicester City,Wolverhampton Wanderers,5.6,1.0,6.16,2
Matheus Santos Carneiro Da Cunha,FWD,541,Wolverhampton Wanderers,Leicester City,7.1,1.0,7.51,9
Raúl Jiménez,FWD,252,Fulham,Southampton,5.6,1.0,4.38,0
