name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
Tomiyasu Takehiro,DEF,22,Arsenal,Crystal Palace,4.8,0.0,-0.0,0
Pau Torres,DEF,52,Aston Villa,Manchester City,4.4,1.0,2.28,2
Joel Ward,DEF,215,Crystal Palace,Arsenal,4.3,1.0,-0.0,0
Milos Kerkez,DEF,70,Bournemouth,Manchester United,4.7,1.0,3.46,6
Conor Coady,DEF,288,Leicester City,Wolverhampton Wanderers,4.0,1.0,0.29,1
Adam Webster,DEF,147,Brighton & Hove Albion,West Ham United,4.3,1.0,-0.0,0
Alex Murphy,DEF,390,Newcastle United,Ipswich Town,4.0,1.0,-0.0,0
Craig Dawson,DEF,542,Wolverhampton Wanderers,Leicester City,4.4,1.0,0.01,1
Marcos Senesi,DEF,79,Bournemouth,Manchester United,4.7,0.0,0.68,0
Jannik Vestergaard,DEF,307,Leicester City,Wolverhampton Wanderers,4.0,1.0,0.49,-1
Luke Thomas,DEF,305,Leicester City,Wolverhampton Wanderers,3.9,1.0,0.1,0
Adam Smith,DEF,81,Bournemouth,Manchester United,4.5,1.0,4.23,0
Taylor Harwood-Bellis,DEF,461,Southampton,Fulham,4.1,1.0,0.36,8
Lisandro Martínez,DEF,380,Manchester United,Bournemouth,4.4,1.0,1.92,1
Joško Gvardiol,DEF,350,Manchester City,Aston Villa,6.1,1.0,2.62,0
Joachim Andersen,DEF,191,Fulham,Southampton,4.2,0.75,-0.0,0
Trevoh Chalobah,DEF,159,Crystal Palace,Arsenal,4.4,1.0,2.97,0
Ryan Manning,DEF,467,Southampton,Fulham,4.3,1.0,0.3,0
Nélson Cabral Semedo,DEF,559,Wolverhampton Wanderers,Leicester City,4.5,1.0,0.54,9
Benoît Badiashile,DEF,153,Chelsea,Everton,4.3,0.0,0.83,0
Jack Stephens,DEF,472,Southampton,Fulham,4.0,1.0,0.07,0
Rico Henry,DEF,92,Brentford,Nottingham Forest,4.3,0.0,-0.0,0
Rob Holding,DEF,202,Crystal Palace,Arsenal,4.3,1.0,-0.0,0
Ryan Sessegnon,DEF,579,Fulham,Southampton,4.2,1.0,0.38,0
Jonny Evans,DEF,371,Manchester United,Bournemouth,4.4,1.0,0.11,0
Timothy Castagne,DEF,244,Fulham,Southampton,4.2,1.0,1.08,6
Tariq Lamptey,DEF,131,Brighton & Hove Albion,West Ham United,4.4,1.0,1.87,1
Fabian Schär,DEF,415,Newcastle United,Ipswich Town,5.4,1.0,2.66,6
James Hill,DEF,68,Bournemouth,Manchester United,3.9,1.0,0.07,1
Kieran Tierney,DEF,21,Arsenal,Crystal Palace,4.3,1.0,-0.0,0
Sugawara Yukinari,DEF,474,Southampton,Fulham,4.3,1.0,0.52,5
Kosta Nedeljković,DEF,50,Aston Villa,Manchester City,3.9,1.0,-0.0,0
Sepp van den Berg,DEF,338,Brentford,Nottingham Forest,4.1,0.25,2.0,0
Ferdi Kadioglu,DEF,628,Brighton & Hove Albion,West Ham United,4.5,0.0,-0.0,0
Kyle Walker,DEF,363,Manchester City,Aston Villa,5.2,1.0,0.69,1
Ricardo Barbosa Pereira,DEF,302,Leicester City,Wolverhampton Wanderers,4.1,0.0,-0.0,0
Rúben Gato Alves Dias,DEF,361,Manchester City,Aston Villa,5.4,0.0,1.51,0
Ben Chilwell,DEF,160,Chelsea,Everton,4.7,1.0,-0.0,0
Tyrick Mitchell,DEF,210,Crystal Palace,Arsenal,4.8,1.0,3.26,3
Armel Bella-Kotchap,DEF,456,Southampton,Fulham,3.9,1.0,-0.0,0
Lamare Bogarde,DEF,598,Aston Villa,Manchester City,4.0,1.0,-0.0,0
Noussair Mazraoui,DEF,594,Manchester United,Bournemouth,4.6,1.0,1.1,1
Ezri Konsa Ngoyo,DEF,44,Aston Villa,Manchester City,4.4,1.0,3.88,2
Juan Larios López,DEF,464,Southampton,Fulham,4.0,0.0,-0.0,0
Ethan Pinnock,DEF,104,Brentford,Nottingham Forest,4.5,0.25,2.0,0
William Saliba,DEF,18,Arsenal,Crystal Palace,6.3,1.0,6.81,2
Chris Richards,DEF,194,Crystal Palace,Arsenal,4.4,1.0,0.13,0
Rayan Aït-Nouri,DEF,533,Wolverhampton Wanderers,Leicester City,4.8,1.0,0.39,0
James Justin,DEF,295,Leicester City,Wolverhampton Wanderers,4.3,1.0,0.6,0
Diego Carlos Santos Silva,DEF,35,Aston Villa,Manchester City,4.5,1.0,2.04,0
Riccardo Calafiori,DEF,578,Arsenal,Crystal Palace,5.8,1.0,0.97,4
Jan Bednarek,DEF,455,Southampton,Fulham,4.0,1.0,0.01,8
Wesley Fofana,DEF,189,Chelsea,Everton,4.4,0.0,0.49,0
Lucas Digne,DEF,36,Aston Villa,Manchester City,4.7,1.0,1.23,2
Matthijs de Ligt,DEF,593,Manchester United,Bournemouth,5.0,0.75,1.13,0
Kim Ji-soo,DEF,96,Brentford,Nottingham Forest,3.9,1.0,-0.0,0
Nathaniel Clyne,DEF,196,Crystal Palace,Arsenal,4.3,1.0,0.25,-1
Tyrell Malacia,DEF,379,Manchester United,Bournemouth,4.4,1.0,0.0,1
Lewis Dunk,DEF,120,Brighton & Hove Albion,West Ham United,4.4,1.0,0.24,5
Chadi Riad Dnanou,DEF,195,Crystal Palace,Arsenal,4.3,0.75,-0.0,0
Levi Colwill,DEF,162,Chelsea,Everton,4.6,1.0,1.75,6
Yerson Mosquera,DEF,558,Wolverhampton Wanderers,Leicester City,3.9,0.0,-0.0,0
Sil Swinkels,DEF,640,Aston Villa,Manchester City,4.0,1.0,-0.0,0
Gabriel dos Santos Magalhães,DEF,3,Arsenal,Crystal Palace,6.3,1.0,11.39,4
Manuel Akanji,DEF,340,Manchester City,Aston Villa,5.3,1.0,0.05,1
Matt Doherty,DEF,543,Wolverhampton Wanderers,Leicester City,4.3,1.0,1.27,10
Oleksandr Zinchenko,DEF,25,Arsenal,Crystal Palace,4.8,0.75,1.72,0
Diogo Dalot Teixeira,DEF,369,Manchester United,Bournemouth,5.2,1.0,1.87,1
Nathan Aké,DEF,341,Manchester City,Aston Villa,5.3,1.0,1.1,0
Jamaal Lascelles,DEF,407,Newcastle United,Ipswich Town,4.5,0.0,-0.0,0
Axel Disasi,DEF,167,Chelsea,Everton,4.2,1.0,0.62,5
Victor Kristiansen,DEF,296,Leicester City,Wolverhampton Wanderers,4.5,1.0,2.55,1
Kyle Walker-Peters,DEF,476,Southampton,Fulham,4.4,0.75,1.72,6
Antonee Robinson,DEF,255,Fulham,Southampton,4.9,1.0,3.28,6
Illia Zabarnyi,DEF,85,Bournemouth,Manchester United,4.4,1.0,2.69,6
Sven Botman,DEF,393,Newcastle United,Ipswich Town,4.4,0.0,-0.0,0
Ronnie Edwards,DEF,460,Southampton,Fulham,3.9,1.0,0.11,0
Ben Mee,DEF,100,Brentford,Nottingham Forest,4.2,1.0,0.16,0
Wout Faes,DEF,291,Leicester City,Wolverhampton Wanderers,4.0,1.0,0.6,1
Leny Yoro,DEF,572,Manchester United,Bournemouth,4.3,1.0,0.27,0
Ian Maatsen,DEF,45,Aston Villa,Manchester City,4.6,1.0,0.49,0
Mads Roerslev Rasmussen,DEF,105,Brentford,Nottingham Forest,4.3,0.75,0.49,1
Jurriën Timber,DEF,6,Arsenal,Crystal Palace,5.7,1.0,1.78,1
Ayden Heaven,DEF,658,Arsenal,Crystal Palace,4.0,1.0,-0.0,0
Marc Cucurella Saseta,DEF,163,Chelsea,Everton,5.2,1.0,4.39,0
Toti António Gomes,DEF,567,Wolverhampton Wanderers,Leicester City,4.3,1.0,0.84,6
Dan Burn,DEF,395,Newcastle United,Ipswich Town,4.4,1.0,2.04,6
Pervis Estupiñán,DEF,122,Brighton & Hove Albion,West Ham United,5.1,1.0,2.25,1
Luke Shaw,DEF,387,Manchester United,Bournemouth,4.9,0.0,0.32,0
Aaron Hickey,DEF,93,Brentford,Nottingham Forest,4.3,0.0,-0.0,0
Maxence Lacroix,DEF,650,Crystal Palace,Arsenal,4.5,1.0,3.0,0
Caleb Okoli,DEF,301,Leicester City,Wolverhampton Wanderers,4.0,1.0,0.17,0
Reece James,DEF,172,Chelsea,Everton,4.8,0.0,-0.0,0
Santiago Bueno,DEF,564,Wolverhampton Wanderers,Leicester City,4.3,1.0,0.23,6
Kenny Tete,DEF,257,Fulham,Southampton,4.5,0.0,2.31,0
Kortney Hause,DEF,40,Aston Villa,Manchester City,3.9,1.0,-0.0,0
Bastien Meupiyou,DEF,637,Wolverhampton Wanderers,Leicester City,4.0,1.0,-0.0,0
Tino Livramento,DEF,409,Newcastle United,Ipswich Town,4.5,1.0,1.94,6
Daniel Muñoz,DEF,211,Crystal Palace,Arsenal,4.7,1.0,2.98,0
Charlie Taylor,DEF,475,Southampton,Fulham,3.9,1.0,0.21,0
Matty Cash,DEF,32,Aston Villa,Manchester City,4.4,1.0,0.78,1
Issa Diop,DEF,245,Fulham,Southampton,4.4,1.0,1.37,6
Igor Julio dos Santos de Paulo,DEF,128,Brighton & Hove Albion,West Ham United,4.4,1.0,0.96,0
Pedro Cardoso de Lima,DEF,561,Wolverhampton Wanderers,Leicester City,3.9,1.0,-0.0,0
Nathan Collins,DEF,88,Brentford,Nottingham Forest,4.6,1.0,2.98,1
Marc Guéhi,DEF,200,Crystal Palace,Arsenal,4.5,1.0,1.5,-1
Kieran Trippier,DEF,418,Newcastle United,Ipswich Town,5.6,1.0,0.14,1
John Stones,DEF,362,Manchester City,Aston Villa,5.3,0.75,-0.0,1
Jayden Meghoma,DEF,649,Brentford,Nottingham Forest,4.0,1.0,0.14,0
Lewis Hall,DEF,399,Newcastle United,Ipswich Town,4.6,1.0,3.11,7
Calvin Bassey,DEF,241,Fulham,Southampton,4.5,1.0,0.05,6
Tosin Adarabioyo,DEF,187,Chelsea,Everton,4.2,1.0,0.91,9
Matt Targett,DEF,416,Newcastle United,Ipswich Town,4.0,1.0,-0.0,0
Jan Paul van Hecke,DEF,144,Brighton & Hove Albion,West Ham United,4.5,1.0,1.09,2
Jorge Cuenca Barreno,DEF,586,Fulham,Southampton,4.4,1.0,0.15,0
Rico Lewis,DEF,355,Manchester City,Aston Villa,4.6,1.0,0.57,0
Julián Araujo Zúñiga,DEF,592,Bournemouth,Manchester United,4.3,0.0,-0.0,0
Joël Veltman,DEF,145,Brighton & Hove Albion,West Ham United,4.5,1.0,0.17,1
Tyrone Mings,DEF,49,Aston Villa,Manchester City,4.4,1.0,0.48,0
Malo Gusto,DEF,171,Chelsea,Everton,4.9,1.0,2.17,6
Lloyd Kelly,DEF,404,Newcastle United,Ipswich Town,4.2,1.0,-0.0,0
Dean Huijsen,DEF,580,Bournemouth,Manchester United,4.3,1.0,2.06,14
Max Aarons,DEF,59,Bournemouth,Manchester United,4.3,1.0,0.16,0
Nathan Wood-Gordon,DEF,477,Southampton,Fulham,4.0,1.0,0.21,8
Benjamin White,DEF,24,Arsenal,Crystal Palace,6.1,0.0,-0.0,0
Harry Maguire,DEF,377,Manchester United,Bournemouth,4.9,1.0,1.01,1
Victor Lindelöf,DEF,376,Manchester United,Bournemouth,4.3,0.25,0.26,0
Maldini Kacurri,DEF,657,Arsenal,Crystal Palace,4.0,1.0,-0.0,0
Emil Krafth,DEF,405,Newcastle United,Ipswich Town,4.3,0.0,-0.0,0
Jakub Kiwior,DEF,8,Arsenal,Crystal Palace,4.8,1.0,1.42,0
Kristoffer Ajer,DEF,86,Brentford,Nottingham Forest,4.4,0.75,0.18,1
James Bree,DEF,457,Southampton,Fulham,3.9,0.75,0.13,1
Alex Scott,MID,77,Bournemouth,Manchester United,4.7,0.0,0.0,0
Ben Brereton Díaz,MID,584,Southampton,Fulham,4.9,1.0,0.48,0
Hwang Hee-chan,MID,550,Wolverhampton Wanderers,Leicester City,6.1,1.0,0.82,1
João Victor Gomes da Silva,MID,553,Wolverhampton Wanderers,Leicester City,4.9,1.0,1.96,3
Cole Palmer,MID,182,Chelsea,Everton,11.2,1.0,11.3,3
Mitoma Kaoru,MID,136,Brighton & Hove Albion,West Ham United,6.5,1.0,5.07,2
Boubakary Soumaré,MID,285,Leicester City,Wolverhampton Wanderers,4.4,1.0,0.91,1
Jeffrey Schlupp,MID,214,Crystal Palace,Arsenal,4.7,1.0,0.44,1
Thomas Partey,MID,20,Arsenal,Crystal Palace,5.0,1.0,2.72,5
