name,position,team,opponent_team,price,condition,xTotPoints,total_points
Mark Flekken,GK,Brentford,Nottingham Forest,4.5,1.0,3.77,2
Jordan Pickford,GK,Everton,Chelsea,4.9,1.0,6.5,7
Vitalii Mykolenko,DEF,Everton,Chelsea,4.3,1.0,5.29,7
William Saliba,DEF,Arsenal,Crystal Palace,6.3,1.0,7.21,2
Gabriel dos Santos Magalhães,DEF,Arsenal,Crystal Palace,6.3,1.0,6.72,4
Ashley Young,DEF,Everton,Chelsea,4.7,1.0,6.18,5
Cole Palmer,MID,Chelsea,Everton,11.2,1.0,11.79,3
Ismaïla Sarr,MID,Crystal Palace,Arsenal,5.7,1.0,9.59,7
Mohamed Salah,MID,Liverpool,Tottenham Hotspur,13.5,1.0,12.2,21
Justin Kluivert,MID,Bournemouth,Manchester United,5.5,1.0,6.34,8
Enzo Fernández,MID,Chelsea,Everton,5.1,1.0,7.49,3
Amad Diallo,MID,Manchester United,Bournemouth,5.3,1.0,7.34,2
Alexander Isak,FWD,Newcastle United,Ipswich Town,8.9,1.0,6.39,17
Jamie Vardy,FWD,Leicester City,Wolverhampton Wanderers,5.6,1.0,5.08,2
Matheus Santos Carneiro Da Cunha,FWD,Wolverhampton Wanderers,Leicester City,7.1,1.0,7.05,9
