name,team,price,condition,position,GW
Sels,Nottingham Forest,4.7,1.0,GK,11
Onana,Manchester United,5.1,1.0,GK,11
Sánchez,Chelsea,4.7,1.0,GK,11
Pope,Newcastle United,5.0,1.0,GK,11
Raya,Arsenal,5.6,1.0,GK,11
Pickford,Everton,4.9,1.0,GK,11
A.Becker,Liverpool,5.4,0.0,GK,11
Henderson,Crystal Palace,4.4,1.0,GK,11
Ederson M.,Manchester City,5.5,1.0,GK,11
Martinez,Aston Villa,5.0,1.0,GK,11
Leno,Fulham,5.0,1.0,GK,11
Flekken,Brentford,4.5,1.0,GK,11
Vicario,Tottenham Hotspur,5.0,1.0,GK,11
Hermansen,Leicester City,4.5,1.0,GK,11
Muric,Ipswich Town,4.4,1.0,GK,11
Ramsdale,Southampton,4.4,1.0,GK,11
Verbruggen,Brighton & Hove Albion,4.5,1.0,GK,11
Arrizabalaga,Bournemouth,4.5,0.75,GK,11
Kelleher,Liverpool,4.4,1.0,GK,11
Areola,West Ham United,4.4,1.0,GK,11
Travers,Bournemouth,4.4,1.0,GK,11
Johnstone,Wolverhampton Wanderers,4.4,1.0,GK,11
Steele,Brighton & Hove Albion,4.3,1.0,GK,11
Neto,Arsenal,4.3,1.0,GK,11
José Sá,Wolverhampton Wanderers,4.3,1.0,GK,11
McCarthy,Southampton,4.4,1.0,GK,11
Fabianski,West Ham United,4.0,1.0,GK,11
Walton,Ipswich Town,4.4,1.0,GK,11
Jaros,Liverpool,4.0,1.0,GK,11
Setford,Arsenal,4.5,1.0,GK,11
Gauci,Aston Villa,4.0,1.0,GK,11
Olsen,Aston Villa,4.5,1.0,GK,11
Zych,Aston Villa,4.0,1.0,GK,11
Dennis,Bournemouth,4.0,1.0,GK,11
Valdimarsson,Brentford,4.0,1.0,GK,11
Cahill,Brighton & Hove Albion,4.0,1.0,GK,11
Bergström,Chelsea,4.0,1.0,GK,11
Bettinelli,Chelsea,4.0,1.0,GK,11
Jørgensen,Chelsea,4.2,1.0,GK,11
Matthews,Crystal Palace,4.0,1.0,GK,11
Turner,Crystal Palace,4.0,1.0,GK,11
J.Virginia,Everton,4.0,1.0,GK,11
Begovic,Everton,4.0,1.0,GK,11
Benda,Fulham,4.0,1.0,GK,11
Slicker,Ipswich Town,4.0,1.0,GK,11
Iversen,Leicester City,4.0,1.0,GK,11
Stolarczyk,Leicester City,4.0,0.0,GK,11
Ward,Leicester City,4.0,1.0,GK,11
Davies,Liverpool,4.0,1.0,GK,11
Carson,Manchester City,4.0,1.0,GK,11
Ortega Moreno,Manchester City,5.3,1.0,GK,11
Bayindir,Manchester United,4.3,1.0,GK,11
Heaton,Manchester United,4.0,1.0,GK,11
Dúbravka,Newcastle United,4.3,1.0,GK,11
Odysseas,Newcastle United,4.3,1.0,GK,11
Ruddy,Newcastle United,4.0,1.0,GK,11
C.Miguel,Nottingham Forest,4.3,1.0,GK,11
Bazunu,Southampton,4.3,0.0,GK,11
Lumley,Southampton,4.0,1.0,GK,11
Austin,Tottenham Hotspur,4.0,1.0,GK,11
Forster,Tottenham Hotspur,4.4,1.0,GK,11
Whiteman,Tottenham Hotspur,4.0,1.0,GK,11
Foderingham,West Ham United,4.4,1.0,GK,11
Bentley,Wolverhampton Wanderers,4.0,1.0,GK,11
King,Wolverhampton Wanderers,4.0,1.0,GK,11
Virgil,Liverpool,6.2,1.0,DEF,11
Gvardiol,Manchester City,6.3,1.0,DEF,11
Aina,Nottingham Forest,4.7,1.0,DEF,11
Alexander-Arnold,Liverpool,7.0,1.0,DEF,11
Gabriel,Arsenal,6.2,1.0,DEF,11
Konaté,Liverpool,5.3,1.0,DEF,11
Dalot,Manchester United,5.1,1.0,DEF,11
Murillo,Nottingham Forest,4.5,1.0,DEF,11
Guéhi,Crystal Palace,4.5,1.0,DEF,11
Digne,Aston Villa,4.7,1.0,DEF,11
Milenković,Nottingham Forest,4.5,1.0,DEF,11
Robinson,Fulham,4.7,1.0,DEF,11
Romero,Tottenham Hotspur,5.1,0.75,DEF,11
Keane,Everton,4.3,1.0,DEF,11
Davis,Ipswich Town,4.5,1.0,DEF,11
Justin,Leicester City,4.6,1.0,DEF,11
Robertson,Liverpool,5.9,1.0,DEF,11
