name,team,price,condition,position,GW
Sels,Nottingham Forest,4.6,1.0,GK,10
Onana,Manchester United,5.0,1.0,GK,10
Pope,Newcastle United,5.0,1.0,GK,10
Raya,Arsenal,5.6,1.0,GK,10
Sánchez,Chelsea,4.7,1.0,GK,10
Pickford,Everton,4.9,1.0,GK,10
A.Becker,Liverpool,5.4,0.0,GK,10
Henderson,Crystal Palace,4.4,1.0,GK,10
Ederson M.,Manchester City,5.5,1.0,GK,10
Martinez,Aston Villa,5.0,1.0,GK,10
Leno,Fulham,5.0,1.0,GK,10
Hermansen,Leicester City,4.5,1.0,GK,10
Muric,Ipswich Town,4.4,1.0,GK,10
Vicario,Tottenham Hotspur,5.0,1.0,GK,10
Verbruggen,Brighton & Hove Albion,4.5,1.0,GK,10
Ramsdale,Southampton,4.4,1.0,GK,10
Flekken,Brentford,4.5,1.0,GK,10
Arrizabalaga,Bournemouth,4.5,0.0,GK,10
Kelleher,Liverpool,4.4,1.0,GK,10
Areola,West Ham United,4.4,1.0,GK,10
Travers,Bournemouth,4.4,1.0,GK,10
Johnstone,Wolverhampton Wanderers,4.4,1.0,GK,10
Steele,Brighton & Hove Albion,4.3,1.0,GK,10
Neto,Arsenal,4.3,1.0,GK,10
José Sá,Wolverhampton Wanderers,4.3,1.0,GK,10
McCarthy,Southampton,4.4,1.0,GK,10
Fabianski,West Ham United,4.0,1.0,GK,10
Walton,Ipswich Town,4.4,1.0,GK,10
Jaros,Liverpool,4.0,1.0,GK,10
Setford,Arsenal,4.5,1.0,GK,10
Gauci,Aston Villa,4.0,1.0,GK,10
Olsen,Aston Villa,4.5,1.0,GK,10
Zych,Aston Villa,4.0,1.0,GK,10
Dennis,Bournemouth,4.0,1.0,GK,10
Valdimarsson,Brentford,4.0,1.0,GK,10
Cahill,Brighton & Hove Albion,4.0,1.0,GK,10
Bergström,Chelsea,4.0,1.0,GK,10
Bettinelli,Chelsea,4.0,1.0,GK,10
Jørgensen,Chelsea,4.3,1.0,GK,10
Matthews,Crystal Palace,4.0,1.0,GK,10
Turner,Crystal Palace,4.0,1.0,GK,10
J.Virginia,Everton,4.0,1.0,GK,10
Begovic,Everton,4.0,1.0,GK,10
Benda,Fulham,4.0,1.0,GK,10
Slicker,Ipswich Town,4.0,1.0,GK,10
Iversen,Leicester City,4.0,1.0,GK,10
Stolarczyk,Leicester City,4.0,0.0,GK,10
Ward,Leicester City,4.0,1.0,GK,10
Davies,Liverpool,4.0,1.0,GK,10
Carson,Manchester City,4.0,1.0,GK,10
Ortega Moreno,Manchester City,5.3,1.0,GK,10
Bayindir,Manchester United,4.4,1.0,GK,10
Heaton,Manchester United,4.0,1.0,GK,10
Dúbravka,Newcastle United,4.3,1.0,GK,10
Odysseas,Newcastle United,4.3,1.0,GK,10
Ruddy,Newcastle United,4.0,1.0,GK,10
C.Miguel,Nottingham Forest,4.3,1.0,GK,10
Bazunu,Southampton,4.3,0.0,GK,10
Lumley,Southampton,4.0,1.0,GK,10
Austin,Tottenham Hotspur,4.0,1.0,GK,10
Forster,Tottenham Hotspur,4.4,1.0,GK,10
Whiteman,Tottenham Hotspur,4.0,1.0,GK,10
Foderingham,West Ham United,4.4,1.0,GK,10
Bentley,Wolverhampton Wanderers,4.0,1.0,GK,10
King,Wolverhampton Wanderers,4.0,1.0,GK,10
Virgil,Liverpool,6.2,1.0,DEF,10
Gvardiol,Manchester City,6.2,1.0,DEF,10
Aina,Nottingham Forest,4.6,1.0,DEF,10
Alexander-Arnold,Liverpool,7.0,1.0,DEF,10
Gabriel,Arsenal,6.2,1.0,DEF,10
Konaté,Liverpool,5.3,0.75,DEF,10
Dalot,Manchester United,5.1,1.0,DEF,10
Murillo,Nottingham Forest,4.5,1.0,DEF,10
Guéhi,Crystal Palace,4.4,1.0,DEF,10
Digne,Aston Villa,4.7,1.0,DEF,10
Milenković,Nottingham Forest,4.5,1.0,DEF,10
Keane,Everton,4.3,1.0,DEF,10
Romero,Tottenham Hotspur,5.1,0.75,DEF,10
Davis,Ipswich Town,4.5,1.0,DEF,10
Justin,Leicester City,4.6,1.0,DEF,10
Robertson,Liverpool,6.0,1.0,DEF,10
Veltman,Brighton & Hove Albion,4.5,1.0,DEF,10
Lewis,Manchester City,4.9,1.0,DEF,10
Hall,Newcastle United,4.3,1.0,DEF,10
Pedro Porro,Tottenham Hotspur,5.5,1.0,DEF,10
Aït-Nouri,Wolverhampton Wanderers,4.6,1.0,DEF,10
Young,Everton,4.5,1.0,DEF,10
Mazraoui,Manchester United,4.5,1.0,DEF,10
Kerkez,Bournemouth,4.4,1.0,DEF,10
Robinson,Fulham,4.7,1.0,DEF,10
Collins,Brentford,4.5,1.0,DEF,10
De Ligt,Manchester United,5.0,1.0,DEF,10
Van de Ven,Tottenham Hotspur,4.6,0.0,DEF,10
White,Arsenal,6.3,1.0,DEF,10
Burn,Newcastle United,4.4,1.0,DEF,10
Alex Moreno,Nottingham Forest,4.4,1.0,DEF,10
Mitchell,Crystal Palace,4.9,1.0,DEF,10
Livramento,Newcastle United,4.5,1.0,DEF,10
Muñoz,Crystal Palace,4.8,1.0,DEF,10
Akanji,Manchester City,5.5,1.0,DEF,10
Sugawara,Southampton,4.5,1.0,DEF,10
J.Timber,Arsenal,5.5,1.0,DEF,10
Zabarnyi,Bournemouth,4.4,1.0,DEF,10
Dunk,Brighton & Hove Albion,4.4,0.5,DEF,10
Van Hecke,Brighton & Hove Albion,4.5,1.0,DEF,10
Tarkowski,Everton,4.8,1.0,DEF,10
Faes,Leicester City,4.2,1.0,DEF,10
Martinez,Manchester United,4.4,1.0,DEF,10
Harwood-Bellis,Southampton,4.1,1.0,DEF,10
Saliba,Arsenal,6.0,1.0,DEF,10
Pinnock,Brentford,4.5,1.0,DEF,10
Colwill,Chelsea,4.6,1.0,DEF,10
Walker-Peters,Southampton,4.4,1.0,DEF,10
Kilman,West Ham United,4.5,1.0,DEF,10
Lacroix,Crystal Palace,4.5,1.0,DEF,10
Stones,Manchester City,5.3,0.5,DEF,10
Schär,Newcastle United,5.4,1.0,DEF,10
Udogie,Tottenham Hotspur,4.9,1.0,DEF,10
Konsa,Aston Villa,4.5,1.0,DEF,10
Senesi,Bournemouth,4.8,1.0,DEF,10
F.Kadıoğlu,Brighton & Hove Albion,4.5,1.0,DEF,10
Chalobah,Crystal Palace,4.4,1.0,DEF,10
Rúben,Manchester City,5.5,0.0,DEF,10
Pau,Aston Villa,4.5,1.0,DEF,10
Smith,Bournemouth,4.5,1.0,DEF,10
Tete,Fulham,4.5,1.0,DEF,10
Bassey,Fulham,4.5,1.0,DEF,10
Cucurella,Chelsea,5.0,1.0,DEF,10
Mykolenko,Everton,4.3,1.0,DEF,10
Bednarek,Southampton,4.0,1.0,DEF,10
Mavropanos,West Ham United,4.5,1.0,DEF,10
Calafiori,Arsenal,5.8,0.0,DEF,10
Kristiansen,Leicester City,4.5,1.0,DEF,10
Okoli,Leicester City,4.0,1.0,DEF,10
Tsimikas,Liverpool,4.6,1.0,DEF,10
Trippier,Newcastle United,5.6,0.0,DEF,10
N.Williams,Nottingham Forest,4.4,1.0,DEF,10
Emerson,West Ham United,4.4,1.0,DEF,10
Cash,Aston Villa,4.4,1.0,DEF,10
Roerslev,Brentford,4.4,1.0,DEF,10
W.Fofana,Chelsea,4.5,1.0,DEF,10
O'Shea,Ipswich Town,4.0,1.0,DEF,10
Evans,Manchester United,4.4,1.0,DEF,10
Wan-Bissaka,West Ham United,4.4,1.0,DEF,10
Diego Carlos,Aston Villa,4.5,1.0,DEF,10
Andersen,Fulham,4.3,1.0,DEF,10
Greaves,Ipswich Town,4.1,0.0,DEF,10
Tuanzebe,Ipswich Town,4.0,0.0,DEF,10
Dawson,Wolverhampton Wanderers,4.4,1.0,DEF,10
N.Semedo,Wolverhampton Wanderers,4.5,1.0,DEF,10
Clyne,Crystal Palace,4.4,1.0,DEF,10
Kelly,Newcastle United,4.3,1.0,DEF,10
Krafth,Newcastle United,4.4,1.0,DEF,10
Stephens,Southampton,4.0,1.0,DEF,10
Gusto,Chelsea,4.9,1.0,DEF,10
C.Richards,Crystal Palace,4.4,0.5,DEF,10
Coufal,West Ham United,4.3,1.0,DEF,10
Zinchenko,Arsenal,4.8,1.0,DEF,10
Maatsen,Aston Villa,4.7,1.0,DEF,10
Van den Berg,Brentford,4.0,1.0,DEF,10
Igor,Brighton & Hove Albion,4.4,1.0,DEF,10
Diop,Fulham,4.4,1.0,DEF,10
Maguire,Manchester United,4.9,0.25,DEF,10
Todibo,West Ham United,4.3,1.0,DEF,10
J.Araujo,Bournemouth,4.4,1.0,DEF,10
Ajer,Brentford,4.4,0.75,DEF,10
Disasi,Chelsea,4.3,1.0,DEF,10
Tosin,Chelsea,4.3,1.0,DEF,10
Walker,Manchester City,5.2,1.0,DEF,10
Manning,Southampton,4.3,1.0,DEF,10
Johnson,Ipswich Town,4.0,1.0,DEF,10
Toti,Wolverhampton Wanderers,4.3,1.0,DEF,10
Bradley,Liverpool,4.7,1.0,DEF,10
Morato,Nottingham Forest,4.5,1.0,DEF,10
Taylor,Southampton,3.9,1.0,DEF,10
Huijsen,Bournemouth,4.3,1.0,DEF,10
Estupiñan,Brighton & Hove Albion,5.0,1.0,DEF,10
Branthwaite,Everton,4.8,1.0,DEF,10
Woolfenden,Ipswich Town,4.0,1.0,DEF,10
Vestergaard,Leicester City,4.0,1.0,DEF,10
S.Bueno,Wolverhampton Wanderers,4.3,1.0,DEF,10
Kiwior,Arsenal,4.8,1.0,DEF,10
Nedeljkovic,Aston Villa,4.0,1.0,DEF,10
Lamptey,Brighton & Hove Albion,4.4,1.0,DEF,10
Burgess,Ipswich Town,3.9,1.0,DEF,10
Gomez,Liverpool,4.8,1.0,DEF,10
Boly,Nottingham Forest,4.3,1.0,DEF,10
Cresswell,West Ham United,4.0,1.0,DEF,10
Mosquera,Wolverhampton Wanderers,4.0,0.0,DEF,10
Bogarde,Aston Villa,4.0,1.0,DEF,10
James,Chelsea,4.9,1.0,DEF,10
Ricardo,Leicester City,4.2,1.0,DEF,10
Aké,Manchester City,5.3,1.0,DEF,10
Lindelof,Manchester United,4.3,1.0,DEF,10
Dragusin,Tottenham Hotspur,4.3,1.0,DEF,10
Spence,Tottenham Hotspur,4.4,0.75,DEF,10
Doherty,Wolverhampton Wanderers,4.3,1.0,DEF,10
Tomiyasu,Arsenal,4.8,0.0,DEF,10
