name,team,price,condition,position,GW
Onana,Manchester United,5.2,1.0,GK,16
Sels,Nottingham Forest,4.7,1.0,GK,16
Raya,Arsenal,5.6,1.0,GK,16
Pickford,Everton,4.9,1.0,GK,16
Henderson,Crystal Palace,4.4,1.0,GK,16
Sánchez,Chelsea,4.8,1.0,GK,16
Pope,Newcastle United,5.0,0.25,GK,16
Flekken,Brentford,4.5,1.0,GK,16
Leno,Fulham,5.0,1.0,GK,16
Martinez,Aston Villa,5.0,1.0,GK,16
Muric,Ipswich Town,4.4,1.0,GK,16
Kelleher,Liverpool,4.6,1.0,GK,16
Vicario,Tottenham Hotspur,4.9,0.0,GK,16
Hermansen,Leicester City,4.5,1.0,GK,16
Verbruggen,Brighton & Hove Albion,4.5,1.0,GK,16
A.Becker,Liverpool,5.4,1.0,GK,16
Ederson M.,Manchester City,5.4,1.0,GK,16
Arrizabalaga,Bournemouth,4.5,1.0,GK,16
Ramsdale,Southampton,4.4,0.0,GK,16
Fabianski,West Ham United,4.1,1.0,GK,16
Areola,West Ham United,4.2,1.0,GK,16
José Sá,Wolverhampton Wanderers,4.3,0.0,GK,16
Johnstone,Wolverhampton Wanderers,4.3,1.0,GK,16
Travers,Bournemouth,4.4,1.0,GK,16
Ortega Moreno,Manchester City,5.2,1.0,GK,16
Steele,Brighton & Hove Albion,4.2,1.0,GK,16
McCarthy,Southampton,4.3,1.0,GK,16
Lumley,Southampton,4.0,1.0,GK,16
Forster,Tottenham Hotspur,4.3,1.0,GK,16
Neto,Arsenal,4.2,1.0,GK,16
Jørgensen,Chelsea,4.2,1.0,GK,16
Walton,Ipswich Town,4.3,1.0,GK,16
Olsen,Aston Villa,4.5,1.0,GK,16
Jaros,Liverpool,4.0,1.0,GK,16
Setford,Arsenal,4.5,1.0,GK,16
Gauci,Aston Villa,4.0,1.0,GK,16
Zych,Aston Villa,4.0,1.0,GK,16
Dennis,Bournemouth,4.0,1.0,GK,16
Valdimarsson,Brentford,3.9,1.0,GK,16
Cahill,Brighton & Hove Albion,3.9,1.0,GK,16
Bergström,Chelsea,4.0,1.0,GK,16
Bettinelli,Chelsea,3.9,1.0,GK,16
Matthews,Crystal Palace,4.0,1.0,GK,16
