name,position,nationality,team,season
Robert Elliot,Goalkeeper,Ireland,Newcastle United,2019/20
Petr Cech,Goalkeeper,Czech Republic,Arsenal,2018/19
Bart Verbruggen,Goalkeeper,Netherlands,Brighton & Hove Albion,2024/25
Remi Matthews,Goalkeeper,England,Crystal Palace,2024/25
Max Aarons,Defender,England,Bournemouth,2024/25
Danny Ward,Goalkeeper,Wales,Leicester City,2024/25
Stefan Ortega,Goalkeeper,Germany,Manchester City,2024/25
Bernd Leno,Goalkeeper,Germany,Fulham,2024/25
William Saliba,Defender,France,Arsenal,2024/25
Alex McCarthy,Goalkeeper,England,Southampton,2024/25
Lukasz Fabianski,Goalkeeper,Poland,West Ham United,2024/25
Martin Dúbravka,Goalkeeper,Slovakia,Newcastle United,2024/25
Stefan Ortega,Goalkeeper,Germany,Manchester City,2023/24
Kepa Arrizabalaga,Goalkeeper,Spain,Chelsea,2023/24
Mark Travers,Goalkeeper,Ireland,Bournemouth,2023/24
Robert Sánchez,Goalkeeper,Spain,Brighton & Hove Albion,2023/24
Jordan Pickford,Goalkeeper,England,Everton,2023/24
Aaron Ramsdale,Goalkeeper,England,Arsenal,2023/24
Marcus Dewhurst,Goalkeeper,England,Sheffield United,2023/24
Martin Dúbravka,Goalkeeper,Slovakia,Newcastle United,2023/24
Alisson Becker,Goalkeeper,Brazil,Liverpool,2023/24
Freddie Woodman,Goalkeeper,England,Bournemouth,2022/23
Robert Sánchez,Goalkeeper,Spain,Brighton & Hove Albion,2022/23
Lukasz Fabianski,Goalkeeper,Poland,West Ham United,2023/24
Jack Butland,Goalkeeper,England,Crystal Palace,2022/23
Zack Steffen,Goalkeeper,United States,Manchester City,2022/23
Daniel Langley,Goalkeeper,England,Newcastle United,2022/23
Bernd Leno,Goalkeeper,Germany,Arsenal,2022/23
Alex McCarthy,Goalkeeper,England,Southampton,2022/23
Marek Rodák,Goalkeeper,Slovakia,Fulham,2022/23
Bernd Leno,Goalkeeper,Germany,Arsenal,2021/22
Kasper Schmeichel,Goalkeeper,Denmark,Leicester City,2022/23
Lukasz Fabianski,Goalkeeper,Poland,West Ham United,2022/23
Emiliano Martínez,Goalkeeper,Argentina,Aston Villa,2024/25
Mark Flekken,Goalkeeper,Netherlands,Brentford,2024/25
Marcus Bettinelli,Goalkeeper,England,Chelsea,2024/25
Jordan Pickford,Goalkeeper,England,Everton,2024/25
Christian Walton,Goalkeeper,England,Ipswich Town,2024/25
Alisson Becker,Goalkeeper,Brazil,Liverpool,2024/25
Tom Heaton,Goalkeeper,England,Manchester United,2024/25
Neco Williams,Defender,Wales,Nottingham Forest,2024/25
Guglielmo Vicario,Goalkeeper,Italy,Tottenham Hotspur,2024/25
José Sá,Goalkeeper,Portugal,Wolverhampton Wanderers,2024/25
Emiliano Martínez,Goalkeeper,Argentina,Aston Villa,2023/24
David Raya,Goalkeeper,Spain,Brentford,2023/24
Bailey Peacock-Farrell,Goalkeeper,Northern Ireland,Burnley,2023/24
Vicente Guaita,Goalkeeper,Spain,Crystal Palace,2023/24
Marek Rodák,Goalkeeper,Slovakia,Fulham,2023/24
James Shea,Goalkeeper,England,Luton Town,2023/24
Keylor Navas,Goalkeeper,Costa Rica,Nottingham Forest,2023/24
Hugo Lloris,Goalkeeper,France,Tottenham Hotspur,2023/24
David de Gea,Goalkeeper,Spain,Manchester United,2023/24
Jordan Pickford,Goalkeeper,England,Everton,2022/23
José Sá,Goalkeeper,Portugal,Wolverhampton Wanderers,2023/24
Emiliano Martínez,Goalkeeper,Argentina,Aston Villa,2022/23
Kepa Arrizabalaga,Goalkeeper,Spain,Chelsea,2022/23
David Raya,Goalkeeper,Spain,Brentford,2022/23
Alisson Becker,Goalkeeper,Brazil,Liverpool,2022/23
Illan Meslier,Goalkeeper,France,Leeds United,2022/23
Ethan Horvath,Goalkeeper,United States,Nottingham Forest,2022/23
Hugo Lloris,Goalkeeper,France,Tottenham Hotspur,2022/23
David de Gea,Goalkeeper,Spain,Manchester United,2022/23
Nick Pope,Goalkeeper,England,Burnley,2021/22
Kepa Arrizabalaga,Goalkeeper,Spain,Chelsea,2021/22
Matija Sarkic,Goalkeeper,Montenegro,Wolverhampton Wanderers,2022/23
David Raya,Goalkeeper,Spain,Brentford,2021/22
Jason Steele,Goalkeeper,England,Brighton & Hove Albion,2021/22
Jed Steer,Goalkeeper,England,Aston Villa,2021/22
Jack Butland,Goalkeeper,England,Crystal Palace,2021/22
Jordan Pickford,Goalkeeper,England,Everton,2021/22
Alisson Becker,Goalkeeper,Brazil,Liverpool,2021/22
Ederson Moraes,Goalkeeper,Brazil,Manchester City,2021/22
Illan Meslier,Goalkeeper,France,Leeds United,2021/22
Kasper Schmeichel,Goalkeeper,Denmark,Leicester City,2021/22
Tim Krul,Goalkeeper,Netherlands,Norwich City,2021/22
Alex McCarthy,Goalkeeper,England,Southampton,2021/22
David de Gea,Goalkeeper,Spain,Manchester United,2021/22
Martin Dúbravka,Goalkeeper,Slovakia,Newcastle United,2021/22
Hugo Lloris,Goalkeeper,France,Tottenham Hotspur,2021/22
Ben Foster,Goalkeeper,England,Watford,2021/22
Bernd Leno,Goalkeeper,Germany,Arsenal,2020/21
Tom Heaton,Goalkeeper,England,Aston Villa,2020/21
Nick Pope,Goalkeeper,England,Burnley,2020/21
Mathew Ryan,Goalkeeper,Australia,Brighton & Hove Albion,2020/21
Lukasz Fabianski,Goalkeeper,Poland,West Ham United,2021/22
Rui Patrício,Goalkeeper,Portugal,Wolverhampton Wanderers,2021/22
Jordan Pickford,Goalkeeper,England,Everton,2020/21
Marcus Bettinelli,Goalkeeper,England,Fulham,2020/21
Kiko Casilla,Goalkeeper,Spain,Leeds United,2020/21
Kasper Schmeichel,Goalkeeper,Denmark,Leicester City,2020/21
Loris Karius,Goalkeeper,Germany,Liverpool,2020/21
Claudio Bravo,Goalkeeper,Chile,Manchester City,2020/21
Kepa Arrizabalaga,Goalkeeper,Spain,Chelsea,2020/21
Wayne Hennessey,Goalkeeper,Wales,Crystal Palace,2020/21
David de Gea,Goalkeeper,Spain,Manchester United,2020/21
Mark Gillespie,Goalkeeper,England,Newcastle United,2020/21
Wes Foderingham,Goalkeeper,England,Sheffield United,2020/21
Alex McCarthy,Goalkeeper,England,Southampton,2020/21
Hugo Lloris,Goalkeeper,France,Tottenham Hotspur,2020/21
Sam Johnstone,Goalkeeper,England,West Bromwich Albion,2020/21
Lukasz Fabianski,Goalkeeper,Poland,West Ham United,2020/21
Matija Sarkic,Goalkeeper,Montenegro,Wolverhampton Wanderers,2020/21
Petr Cech,Goalkeeper,Czech Republic,Arsenal,2019/20
Ørjan Nyland,Goalkeeper,Norway,Aston Villa,2019/20
Tom Heaton,Goalkeeper,England,Burnley,2019/20
Kepa Arrizabalaga,Goalkeeper,Spain,Chelsea,2019/20
Artur Boruc,Goalkeeper,Poland,Bournemouth,2019/20
Mathew Ryan,Goalkeeper,Australia,Brighton & Hove Albion,2019/20
Julian Speroni,Goalkeeper,Argentina,Crystal Palace,2019/20
Jordan Pickford,Goalkeeper,England,Everton,2019/20
Kasper Schmeichel,Goalkeeper,Denmark,Leicester City,2019/20
Alisson Becker,Goalkeeper,Brazil,Liverpool,2019/20
Hugo Lloris,Goalkeeper,France,Tottenham Hotspur,2019/20
Heurelho Gomes,Goalkeeper,Brazil,Watford,2019/20
Claudio Bravo,Goalkeeper,Chile,Manchester City,2019/20
David de Gea,Goalkeeper,Spain,Manchester United,2019/20
Tim Krul,Goalkeeper,Netherlands,Norwich City,2019/20
Simon Moore,Goalkeeper,England,Sheffield United,2019/20
Alex McCarthy,Goalkeeper,England,Southampton,2019/20
Artur Boruc,Goalkeeper,Poland,Bournemouth,2018/19
Lukasz Fabianski,Goalkeeper,Poland,West Ham United,2019/20
Rui Patrício,Goalkeeper,Portugal,Wolverhampton Wanderers,2019/20
Marcus Bettinelli,Goalkeeper,England,Fulham,2018/19
Claudio Bravo,Goalkeeper,Chile,Manchester City,2018/19
Jonas Lössl,Goalkeeper,Denmark,Huddersfield Town,2018/19
David de Gea,Goalkeeper,Spain,Manchester United,2018/19
Mathew Ryan,Goalkeeper,Australia,Brighton & Hove Albion,2018/19
Tom Heaton,Goalkeeper,England,Burnley,2018/19
Julian Speroni,Goalkeeper,Argentina,Crystal Palace,2018/19
Jordan Pickford,Goalkeeper,England,Everton,2018/19
Neil Etheridge,Goalkeeper,Philippines,Cardiff City,2018/19
Willy Caballero,Goalkeeper,Argentina,Chelsea,2018/19
Kasper Schmeichel,Goalkeeper,Denmark,Leicester City,2018/19
Loris Karius,Goalkeeper,Germany,Liverpool,2018/19
Robert Elliot,Goalkeeper,Ireland,Newcastle United,2018/19
Alex McCarthy,Goalkeeper,England,Southampton,2018/19
Hugo Lloris,Goalkeeper,France,Tottenham Hotspur,2018/19
Heurelho Gomes,Goalkeeper,Brazil,Watford,2018/19
Adrián,Goalkeeper,Spain,West Ham United,2018/19
Carl Ikeme,Goalkeeper,Nigeria,Wolverhampton Wanderers,2018/19
Sead Kolasinac,Defender,Bosnia & Herzegovina,Arsenal,2017/18
Nathan Aké,Defender,Netherlands,Bournemouth,2017/18
Willy Caballero,Goalkeeper,Argentina,Chelsea,2017/18
Julian Speroni,Goalkeeper,Argentina,Crystal Palace,2017/18
Mathew Ryan,Goalkeeper,Australia,Brighton & Hove Albion,2017/18
Tom Heaton,Goalkeeper,England,Burnley,2017/18
Jordan Pickford,Goalkeeper,England,Everton,2017/18
Aaron Mooy,Midfielder,Australia,Huddersfield Town,2017/18
Christian Atsu,Midfielder,Ghana,Newcastle United,2017/18
Jan Bednarek,Defender,Poland,Southampton,2017/18
,,,Manchester City,2017/18
Victor Lindelöf,Defender,Sweden,Manchester United,2017/18
Darren Fletcher,Midfielder,Scotland,Stoke City,2017/18
Erwin Mulder,Goalkeeper,Netherlands,Swansea City,2017/18
Kazaiah Sterling,Forward,England,Tottenham Hotspur,2017/18
Daniel Bachmann,Goalkeeper,Austria,Watford,2017/18
Jay Rodriguez,Forward,England,West Bromwich Albion,2017/18
Pablo Zabaleta,Defender,Argentina,West Ham United,2017/18
Harry Maguire,Defender,England,Leicester City,2017/18
Mohamed Salah,Forward,Egypt,Liverpool,2017/18
Julian Speroni,Goalkeeper,Argentina,Crystal Palace,2016/17
Joel Robles,Goalkeeper,Spain,Everton,2016/17
Wojciech Szczesny,Goalkeeper,Poland,Arsenal,2016/17
Artur Boruc,Goalkeeper,Poland,Bournemouth,2016/17
Tom Heaton,Goalkeeper,England,Burnley,2016/17
Asmir Begovic,Goalkeeper,Bosnia & Herzegovina,Chelsea,2016/17
Allan McGregor,Goalkeeper,Scotland,Hull City,2016/17
Kasper Schmeichel,Goalkeeper,Denmark,Leicester City,2016/17
David de Gea,Goalkeeper,Spain,Manchester United,2016/17
Dimitrios Konstantopoulos,Goalkeeper,Greece,Middlesbrough,2016/17
Simon Mignolet,Goalkeeper,Belgium,Liverpool,2016/17
Willy Caballero,Goalkeeper,Argentina,Manchester City,2016/17
Kelvin Davis,Goalkeeper,England,Southampton,2016/17
Jack Butland,Goalkeeper,England,Stoke City,2016/17
Jordan Pickford,Goalkeeper,England,Sunderland,2016/17
Lukasz Fabianski,Goalkeeper,Poland,Swansea City,2016/17
Ben Foster,Goalkeeper,England,West Bromwich Albion,2016/17
Darren Randolph,Goalkeeper,Ireland,West Ham United,2016/17
Hugo Lloris,Goalkeeper,France,Tottenham Hotspur,2016/17
Heurelho Gomes,Goalkeeper,Brazil,Watford,2016/17
Jason Steele,Goalkeeper,England,Brighton & Hove Albion,2024/25
Tariq Lamptey,Defender,Ghana,Brighton & Hove Albion,2024/25
Igor Julio,Defender,Brazil,Brighton & Hove Albion,2024/25
Adam Webster,Defender,England,Brighton & Hove Albion,2024/25
Lewis Dunk,Defender,England,Brighton & Hove Albion,2024/25
Jan Paul van Hecke,Defender,Netherlands,Brighton & Hove Albion,2024/25
Pervis Estupiñán,Defender,Ecuador,Brighton & Hove Albion,2024/25
Joël Veltman,Defender,Netherlands,Brighton & Hove Albion,2024/25
James Milner,Midfielder,England,Brighton & Hove Albion,2024/25
Solly March,Midfielder,England,Brighton & Hove Albion,2024/25
Jakub Moder,Midfielder,Poland,Brighton & Hove Albion,2024/25
Kaoru Mitoma,Midfielder,Japan,Brighton & Hove Albion,2024/25
Yasin Ayari,Midfielder,Sweden,Brighton & Hove Albion,2024/25
João Pedro,Forward,Brazil,Brighton & Hove Albion,2024/25
Danny Welbeck,Forward,England,Brighton & Hove Albion,2024/25
Julio Enciso,Midfielder,Paraguay,Brighton & Hove Albion,2024/25
Simon Adingra,Forward,Cote D’Ivoire,Brighton & Hove Albion,2024/25
Evan Ferguson,Forward,Ireland,Brighton & Hove Albion,2024/25
Carlos Baleba,Midfielder,Cameroon,Brighton & Hove Albion,2024/25
Jack Hinshelwood,Midfielder,England,Brighton & Hove Albion,2024/25
Cameron Peupion,Midfielder,Australia,Brighton & Hove Albion,2024/25
Ed Turns,Defender,Wales,Brighton & Hove Albion,2024/25
Yankuba Minteh,Forward,Gambia,Brighton & Hove Albion,2024/25
Mats Wieffer,Midfielder,Netherlands,Brighton & Hove Albion,2024/25
Luca Barrington,Forward,England,Brighton & Hove Albion,2024/25
Brajan Gruda,Midfielder,Germany,Brighton & Hove Albion,2024/25
Imari Samuels,Defender,England,Brighton & Hove Albion,2024/25
Killian Cahill,Goalkeeper,Ireland,Brighton & Hove Albion,2024/25
Georginio Rutter,Forward,France,Brighton & Hove Albion,2024/25
Matt O'Riley,Midfielder,Denmark,Brighton & Hove Albion,2024/25
Kieran Tierney,Defender,Scotland,Arsenal,2024/25
Ben White,Defender,England,Arsenal,2024/25
Gabriel Magalhães,Defender,Brazil,Arsenal,2024/25
Jurriën Timber,Defender,Netherlands,Arsenal,2024/25
Jakub Kiwior,Defender,Poland,Arsenal,2024/25
Takehiro Tomiyasu,Defender,Japan,Arsenal,2024/25
Oleksandr Zinchenko,Defender,Ukraine,Arsenal,2024/25
Thomas Partey,Midfielder,Ghana,Arsenal,2024/25
Bukayo Saka,Forward,England,Arsenal,2024/25
Martin Ødegaard,Midfielder,Norway,Arsenal,2024/25
Jorginho,Midfielder,Italy,Arsenal,2024/25
Kai Havertz,Midfielder,Germany,Arsenal,2024/25
Declan Rice,Midfielder,England,Arsenal,2024/25
Gabriel Jesus,Forward,Brazil,Arsenal,2024/25
Gabriel Martinelli,Forward,Brazil,Arsenal,2024/25
Leandro Trossard,Forward,Belgium,Arsenal,2024/25
Joel Ward,Defender,England,Crystal Palace,2024/25
Marc Guéhi,Defender,England,Crystal Palace,2024/25
Tyrick Mitchell,Defender,England,Crystal Palace,2024/25
Chris Richards,Defender,United States,Crystal Palace,2024/25
Nathaniel Clyne,Defender,England,Crystal Palace,2024/25
Jefferson Lerma,Midfielder,Colombia,Crystal Palace,2024/25
Eberechi Eze,Midfielder,England,Crystal Palace,2024/25
Jeffrey Schlupp,Midfielder,Ghana,Crystal Palace,2024/25
Will Hughes,Midfielder,England,Crystal Palace,2024/25
Cheick Doucouré,Midfielder,Mali,Crystal Palace,2024/25
Matheus França,Forward,Brazil,Crystal Palace,2024/25
Jean-Philippe Mateta,Forward,France,Crystal Palace,2024/25
Dean Henderson,Goalkeeper,England,Crystal Palace,2024/25
Rob Holding,Defender,England,Crystal Palace,2024/25
Daniel Muñoz,Defender,Colombia,Crystal Palace,2024/25
Adam Wharton,Midfielder,England,Crystal Palace,2024/25
Daichi Kamada,Midfielder,Japan,Crystal Palace,2024/25
Chadi Riad,Defender,Morocco,Crystal Palace,2024/25
Ismaïla Sarr,Forward,Senegal,Crystal Palace,2024/25
Louie Moulden,Goalkeeper,England,Crystal Palace,2024/25
Maxence Lacroix,Defender,France,Crystal Palace,2024/25
Eddie Nketiah,Forward,England,Crystal Palace,2024/25
Matt Turner,Goalkeeper,United States,Crystal Palace,2024/25
Myles Lewis-Skelly,Midfielder,England,Arsenal,2024/25
Ethan Nwaneri,Midfielder,England,Arsenal,2024/25
Mika Biereth,Forward,Denmark,Arsenal,2024/25
David Raya,Goalkeeper,Spain,Arsenal,2024/25
Tommy Setford,Goalkeeper,England,Arsenal,2024/25
Riccardo Calafiori,Defender,Italy,Arsenal,2024/25
Mikel Merino,Midfielder,Spain,Arsenal,2024/25
Norberto Murara Neto,Goalkeeper,Brazil,Arsenal,2024/25
Raheem Sterling,Forward,England,Arsenal,2024/25
Ferdi Kadioglu,Midfielder,Turkey,Brighton & Hove Albion,2024/25
Robert Sánchez,Goalkeeper,Spain,Chelsea,2024/25
Lucas Bergström,Goalkeeper,Finland,Chelsea,2024/25
Axel Disasi,Defender,France,Chelsea,2024/25
Marc Cucurella,Defender,Spain,Chelsea,2024/25
Benoît Badiashile,Defender,France,Chelsea,2024/25
Ben Chilwell,Defender,England,Chelsea,2024/25
Reece James,Defender,England,Chelsea,2024/25
Levi Colwill,Defender,England,Chelsea,2024/25
Malo Gusto,Defender,France,Chelsea,2024/25
Wesley Fofana,Defender,France,Chelsea,2024/25
Enzo Fernández,Midfielder,Argentina,Chelsea,2024/25
Mykhailo Mudryk,Midfielder,Ukraine,Chelsea,2024/25
Carney Chukwuemeka,Midfielder,England,Chelsea,2024/25
Noni Madueke,Forward,England,Chelsea,2024/25
Nicolas Jackson,Forward,Senegal,Chelsea,2024/25
Christopher Nkunku,Forward,France,Chelsea,2024/25
Josh Acheampong,Defender,England,Chelsea,2024/25
Cole Palmer,Midfielder,England,Chelsea,2024/25
Moisés Caicedo,Midfielder,Ecuador,Chelsea,2024/25
Cesare Casadei,Midfielder,Italy,Chelsea,2024/25
Roméo Lavia,Midfielder,Belgium,Chelsea,2024/25
Deivid Washington,Forward,Brazil,Chelsea,2024/25
Tyrique George,Forward,England,Chelsea,2024/25
Tosin Adarabioyo,Defender,England,Chelsea,2024/25
Omari Kellyman,Forward,England,Chelsea,2024/25
David Datro Fofana,Forward,Cote D’Ivoire,Chelsea,2024/25
Ângelo,Forward,Brazil,Chelsea,2024/25
Alex Matos,Forward,England,Chelsea,2024/25
Marc Guiu,Forward,Spain,Chelsea,2024/25
Kiernan Dewsbury-Hall,Midfielder,England,Chelsea,2024/25
Renato Veiga,Midfielder,Portugal,Chelsea,2024/25
Filip Jørgensen,Goalkeeper,Denmark,Chelsea,2024/25
Pedro Neto,Forward,Portugal,Chelsea,2024/25
João Félix,Forward,Portugal,Chelsea,2024/25
Jadon Sancho,Forward,England,Chelsea,2024/25
Milos Kerkez,Defender,Hungary,Bournemouth,2024/25
Adam Smith,Defender,England,Bournemouth,2024/25
Trevoh Chalobah,Defender,England,Crystal Palace,2024/25
João Virgínia,Goalkeeper,Portugal,Everton,2024/25
Nathan Patterson,Defender,Scotland,Everton,2024/25
Michael Keane,Defender,England,Everton,2024/25
James Tarkowski,Defender,England,Everton,2024/25
Ashley Young,Defender,England,Everton,2024/25
Vitalii Mykolenko,Defender,Ukraine,Everton,2024/25
Séamus Coleman,Defender,Ireland,Everton,2024/25
Jarrad Branthwaite,Defender,England,Everton,2024/25
Abdoulaye Doucouré,Midfielder,Mali,Everton,2024/25
Idrissa Gueye,Midfielder,Senegal,Everton,2024/25
James Garner,Midfielder,England,Everton,2024/25
Youssef Chermiti,Forward,Portugal,Everton,2024/25
Dwight McNeil,Forward,England,Everton,2024/25
Dominic Calvert-Lewin,Forward,England,Everton,2024/25
Jack Harrison,Forward,England,Everton,2024/25
Beto,Forward,Portugal,Everton,2024/25
Tim Iroegbunam,Midfielder,England,Everton,2024/25
Iliman Ndiaye,Forward,Senegal,Everton,2024/25
Jesper Lindstrøm,Midfielder,Denmark,Everton,2024/25
Jake O'Brien,Defender,Ireland,Everton,2024/25
Roman Dixon,Defender,England,Everton,2024/25
Asmir Begovic,Goalkeeper,Bosnia & Herzegovina,Everton,2024/25
Orel Mangala,Midfielder,Belgium,Everton,2024/25
Armando Broja,Forward,Albania,Everton,2024/25
James Hill,Defender,England,Bournemouth,2024/25
Marcos Senesi,Defender,Argentina,Bournemouth,2024/25
Illia Zabarnyi,Defender,Ukraine,Bournemouth,2024/25
Lewis Cook,Midfielder,England,Bournemouth,2024/25
David Brooks,Midfielder,Wales,Bournemouth,2024/25
Ryan Christie,Midfielder,Scotland,Bournemouth,2024/25
Alex Scott,Midfielder,England,Bournemouth,2024/25
Marcus Tavernier,Midfielder,England,Bournemouth,2024/25
Philip Billing,Midfielder,Denmark,Bournemouth,2024/25
Dango Ouattara,Forward,Burkina Faso,Bournemouth,2024/25
Justin Kluivert,Forward,Netherlands,Bournemouth,2024/25
Antoine Semenyo,Forward,Ghana,Bournemouth,2024/25
Will Dennis,Goalkeeper,England,Bournemouth,2024/25
Mark Travers,Goalkeeper,Ireland,Bournemouth,2024/25
Tyler Adams,Midfielder,United States,Bournemouth,2024/25
Luis Sinisterra,Forward,Colombia,Bournemouth,2024/25
Enes Ünal,Forward,Turkey,Bournemouth,2024/25
Dean Huijsen,Defender,Spain,Bournemouth,2024/25
Julián Araujo,Defender,Mexico,Bournemouth,2024/25
Evanilson,Forward,Brazil,Bournemouth,2024/25
Kenny Tete,Defender,Netherlands,Fulham,2024/25
Salah-Eddine Oulad M'hand,Midfielder,Netherlands,Arsenal,2024/25
Calvin Bassey,Defender,Nigeria,Fulham,2024/25
Issa Diop,Defender,France,Fulham,2024/25
Antonee Robinson,Defender,United States,Fulham,2024/25
Harrison Reed,Midfielder,England,Fulham,2024/25
Harry Wilson,Midfielder,Wales,Fulham,2024/25
Tom Cairney,Midfielder,Scotland,Fulham,2024/25
Andreas Pereira,Midfielder,Brazil,Fulham,2024/25
Sasa Lukic,Midfielder,Serbia,Fulham,2024/25
Raúl Jiménez,Forward,Mexico,Fulham,2024/25
Rodrigo Muniz,Forward,Brazil,Fulham,2024/25
Carlos Vinícius,Forward,Brazil,Fulham,2024/25
Steven Benda,Goalkeeper,Germany,Fulham,2024/25
Timothy Castagne,Defender,Belgium,Fulham,2024/25
Josh King,Midfielder,England,Fulham,2024/25
Adama Traoré,Forward,Spain,Fulham,2024/25
Alex Iwobi,Forward,Nigeria,Fulham,2024/25
Ryan Sessegnon,Midfielder,England,Fulham,2024/25
Emile Smith Rowe,Midfielder,England,Fulham,2024/25
Jorge Cuenca,Defender,Spain,Fulham,2024/25
Robin Olsen,Goalkeeper,Sweden,Aston Villa,2024/25
Matty Cash,Defender,Poland,Aston Villa,2024/25
Alex Borto,Goalkeeper,United States,Fulham,2024/25
Diego Carlos,Defender,Brazil,Aston Villa,2024/25
Martial Godo,Forward,England,Fulham,2024/25
Sander Berge,Midfielder,Norway,Fulham,2024/25
Ezri Konsa,Defender,England,Aston Villa,2024/25
Joachim Andersen,Defender,Denmark,Fulham,2024/25
Tyrone Mings,Defender,England,Aston Villa,2024/25
Lucas Digne,Defender,France,Aston Villa,2024/25
Pau Torres,Defender,Spain,Aston Villa,2024/25
Kortney Hause,Defender,England,Aston Villa,2024/25
John McGinn,Midfielder,Scotland,Aston Villa,2024/25
Youri Tielemans,Midfielder,Belgium,Aston Villa,2024/25
Emiliano Buendía,Midfielder,Argentina,Aston Villa,2024/25
Jacob Ramsey,Midfielder,England,Aston Villa,2024/25
Boubacar Kamara,Midfielder,France,Aston Villa,2024/25
Ollie Watkins,Forward,England,Aston Villa,2024/25
Jhon Durán,Forward,Colombia,Aston Villa,2024/25
Leon Bailey,Midfielder,Jamaica,Aston Villa,2024/25
Joe Gauci,Goalkeeper,Australia,Aston Villa,2024/25
Morgan Rogers,Forward,England,Aston Villa,2024/25
Ian Maatsen,Defender,Netherlands,Aston Villa,2024/25
Ross Barkley,Midfielder,England,Aston Villa,2024/25
Jaden Philogene,Forward,England,Aston Villa,2024/25
Amadou Onana,Midfielder,Belgium,Aston Villa,2024/25
Sil Swinkels,Defender,Netherlands,Aston Villa,2024/25
Lamare Bogarde,Defender,Netherlands,Aston Villa,2024/25
Oliwier Zych,Goalkeeper,Poland,Aston Villa,2024/25
Kepa Arrizabalaga,Goalkeeper,Spain,Bournemouth,2024/25
Nathan Collins,Defender,Ireland,Brentford,2024/25
Aaron Hickey,Defender,Scotland,Brentford,2024/25
Rico Henry,Defender,England,Brentford,2024/25
Ethan Pinnock,Defender,Jamaica,Brentford,2024/25
Ben Mee,Defender,England,Brentford,2024/25
Kristoffer Ajer,Defender,Norway,Brentford,2024/25
Mads Roerslev,Defender,Denmark,Brentford,2024/25
Yehor Yarmoliuk,Midfielder,Ukraine,Brentford,2024/25
Christian Nørgaard,Midfielder,Denmark,Brentford,2024/25
Mathias Jensen,Midfielder,Denmark,Brentford,2024/25
Kevin Schade,Midfielder,Germany,Brentford,2024/25
Josh Dasilva,Midfielder,England,Brentford,2024/25
Yoane Wissa,Midfielder,DR Congo,Brentford,2024/25
Bryan Mbeumo,Midfielder,Cameroon,Brentford,2024/25
Mikkel Damsgaard,Midfielder,Denmark,Brentford,2024/25
Vitaly Janelt,Midfielder,Germany,Brentford,2024/25
Keane Lewis-Potter,Forward,England,Brentford,2024/25
Hákon Valdimarsson,Goalkeeper,Iceland,Brentford,2024/25
Kim Ji-Soo,Defender,South Korea,Brentford,2024/25
Ryan Trevitt,Midfielder,England,Brentford,2024/25
Yunus Konak,Midfielder,Turkey,Brentford,2024/25
Thiago,Forward,Brazil,Brentford,2024/25
Matthew Cox,Goalkeeper,England,Brentford,2024/25
Paris Maghoma,Midfielder,England,Brentford,2024/25
Iwan Morgan,Forward,Wales,Brentford,2024/25
Fábio Carvalho,Midfielder,Portugal,Brentford,2024/25
Sepp van den Berg,Defender,Netherlands,Brentford,2024/25
Gustavo Nunes,Forward,Brazil,Brentford,2024/25
Jayden Meghoma,Defender,England,Brentford,2024/25
Reiss Nelson,Forward,England,Fulham,2024/25
Cieran Slicker,Goalkeeper,Scotland,Ipswich Town,2024/25
Harry Clarke,Defender,England,Ipswich Town,2024/25
Leif Davis,Defender,England,Ipswich Town,2024/25
Luke Woolfenden,Defender,England,Ipswich Town,2024/25
Cameron Burgess,Defender,Australia,Ipswich Town,2024/25
Axel Tuanzebe,Defender,DR Congo,Ipswich Town,2024/25
Janoi Donacien,Defender,St. Lucia,Ipswich Town,2024/25
Sam Morsy,Midfielder,Egypt,Ipswich Town,2024/25
Jack Taylor,Midfielder,Ireland,Ipswich Town,2024/25
Massimo Luongo,Midfielder,Australia,Ipswich Town,2024/25
Wes Burns,Forward,Wales,Ipswich Town,2024/25
Conor Chaplin,Forward,England,Ipswich Town,2024/25
Ali Al-Hamadi,Forward,Iraq,Ipswich Town,2024/25
George Hirst,Forward,England,Ipswich Town,2024/25
Nathan Broadhead,Forward,Wales,Ipswich Town,2024/25
Omari Hutchinson,Forward,Jamaica,Ipswich Town,2024/25
Jacob Greaves,Defender,England,Ipswich Town,2024/25
Liam Delap,Forward,England,Ipswich Town,2024/25
Arijanet Muric,Goalkeeper,Kosovo,Ipswich Town,2024/25
Ben Johnson,Defender,England,Ipswich Town,2024/25
Conor Townsend,Defender,England,Ipswich Town,2024/25
Kalvin Phillips,Midfielder,England,Ipswich Town,2024/25
Sam Szmodics,Midfielder,Ireland,Ipswich Town,2024/25
Jens Cajuste,Midfielder,Sweden,Ipswich Town,2024/25
Jack Clarke,Forward,England,Ipswich Town,2024/25
Dara O'Shea,Defender,Ireland,Ipswich Town,2024/25
Chiedozie Ogbene,Forward,Ireland,Ipswich Town,2024/25
Nick Pope,Goalkeeper,England,Newcastle United,2024/25
Mark Gillespie,Goalkeeper,England,Newcastle United,2024/25
Kieran Trippier,Defender,England,Newcastle United,2024/25
Sven Botman,Defender,Netherlands,Newcastle United,2024/25
Fabian Schär,Defender,Switzerland,Newcastle United,2024/25
Jamaal Lascelles,Defender,England,Newcastle United,2024/25
Matt Targett,Defender,England,Newcastle United,2024/25
