name,position,team,opponent_team,price,condition,xTotPoints,total_points
André Onana,GK,Manchester United,West Ham United,5.0,1.0,6.58,1
Jordan Pickford,GK,Everton,Fulham,4.8,1.0,6.65,2
James Justin,DEF,Leicester City,Nottingham Forest,4.6,1.0,5.16,1
Trent Alexander-Arnold,DEF,Liverpool,Arsenal,7.1,1.0,5.03,1
Diogo Dalot Teixeira,DEF,Manchester United,West Ham United,5.1,1.0,6.01,1
Cole Palmer,MID,Chelsea,Newcastle United,10.9,1.0,9.24,10
Gabriel Martinelli Silva,MID,Arsenal,Liverpool,7.0,1.0,6.54,2
Dwight McNeil,MID,Everton,Fulham,5.8,1.0,7.97,2
Brennan Johnson,MID,Tottenham Hotspur,Crystal Palace,6.7,1.0,6.58,1
Chris Wood,FWD,Nottingham Forest,Leicester City,6.3,1.0,9.0,13
Rasmus Højlund,FWD,Manchester United,West Ham United,6.9,1.0,7.07,2
Nicolas Jackson,FWD,Chelsea,Newcastle United,7.9,1.0,7.46,9
Danny Welbeck,FWD,Brighton & Hove Albion,Wolverhampton Wanderers,5.9,0.75,6.86,7
Ollie Watkins,FWD,Aston Villa,Bournemouth,9.1,1.0,7.9,2
Raúl Jiménez,FWD,Fulham,Everton,5.7,1.0,6.67,2
