name,position,team,opponent_team,total_points,was_home,team_tot_points_last_5_matches,team_tot_points_last_5_h2h,tot_assists_last_5_h2h,tot_bonus_last_5_h2h,tot_bps_last_5_h2h,tot_clean_sheets_last_5_h2h,tot_goals_conceded_last_5_h2h,tot_goals_scored_last_5_h2h,tot_own_goals_last_5_h2h,tot_penalties_missed_last_5_h2h,tot_penalties_saved_last_5_h2h,tot_red_cards_last_5_h2h,tot_yellow_cards_last_5_h2h,tot_saves_last_5_h2h,tot_total_points_last_5_h2h,avg_ict_index_last_5_h2h,avg_influence_last_5_h2h,avg_creativity_last_5_h2h,avg_threat_last_5_h2h,avg_selected_last_5_h2h,avg_minutes_last_5_h2h,tot_assists_last_5,tot_bonus_last_5,tot_bps_last_5,tot_clean_sheets_last_5,tot_goals_conceded_last_5,tot_goals_scored_last_5,tot_own_goals_last_5,tot_penalties_missed_last_5,tot_penalties_saved_last_5,tot_red_cards_last_5,tot_yellow_cards_last_5,tot_saves_last_5,tot_total_points_last_5,avg_ict_index_last_5,avg_influence_last_5,avg_creativity_last_5,avg_threat_last_5,avg_selected_last_5,avg_minutes_last_5
Jack Hinshelwood,MID,Brighton & Hove Albion,Manchester United,2,True,15.0,15.0,0,0,13,0,1,0,0,0,0,0,0,0,2,0.0,1.0,3.0,1.0,2205.0,18.0,0,0,27,1,1,0,0,0,0,0,0,0,5,1.0,3.0,4.0,1.0,3790.0,36.0
Tyrell Malacia,DEF,Manchester United,Brighton & Hove Albion,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44568.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1908.0,0.0
Lewis Dunk,DEF,Brighton & Hove Albion,Manchester United,2,True,15.0,15.0,0,0,67,1,3,0,0,0,0,0,1,0,11,1.0,12.0,3.0,0.0,535357.0,72.0,0,0,57,1,3,0,0,0,0,0,1,0,10,1.0,9.0,2.0,3.0,565419.0,60.0
Anthony Martial,MID,Manchester United,Brighton & Hove Albion,1,False,0.0,0.0,0,0,9,0,2,0,0,0,0,0,0,0,2,0.0,1.0,2.0,1.0,45057.0,5.0,0,0,3,0,1,0,0,0,0,0,0,0,1,0.0,1.0,2.0,0.0,34424.0,0.0
Mats Wieffer,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17112.0,0.0,1,0,20,1,0,0,0,0,0,0,0,0,6,2.0,16.0,8.0,0.0,10602.0,45.0
Cameron Peupion,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1708.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2896.0,0.0
Pascal Groß,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,3,62,0,4,1,0,0,0,0,1,0,13,4.0,15.0,17.0,6.0,402807.0,52.0,0,0,44,0,5,0,0,0,0,0,0,0,6,5.0,10.0,32.0,3.0,281280.0,54.0
Benicio Baker-Boaitey,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,592.0,0.0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,2.0,1.0,629.0,5.0
Kacper Kozlowski,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,608.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,123.0,0.0
Bart Verbruggen,GK,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63551.0,0.0,0,1,38,0,3,0,0,0,0,0,1,11,6,2.0,15.0,0.0,0.0,98246.0,36.0
Carlos Baleba,MID,Brighton & Hove Albion,Manchester United,1,True,15.0,15.0,0,0,21,0,1,0,0,0,0,0,0,0,3,1.0,4.0,4.0,1.0,3453.0,32.0,0,0,25,0,1,0,0,0,0,0,0,0,5,1.0,4.0,3.0,1.0,4665.0,24.0
Diogo Dalot,DEF,Manchester United,Brighton & Hove Albion,1,False,0.0,0.0,0,3,90,1,7,1,0,0,0,0,1,0,19,4.0,21.0,11.0,5.0,531532.0,77.0,0,4,116,2,5,1,0,0,0,0,0,0,26,4.0,24.0,11.0,6.0,820429.0,90.0
Danny Welbeck,FWD,Brighton & Hove Albion,Manchester United,9,True,15.0,15.0,0,4,77,2,3,2,0,0,0,0,0,0,21,6.0,22.0,20.0,22.0,188955.0,72.0,2,6,119,1,4,3,0,0,0,0,1,0,32,8.0,32.0,18.0,32.0,162365.0,74.0
Yankuba Minteh,MID,Brighton & Hove Albion,Manchester United,2,True,15.0,15.0,0,0,4,0,1,0,0,0,0,0,0,0,2,7.0,9.0,29.0,29.0,132136.0,89.0,1,0,22,0,1,0,0,0,0,0,0,0,6,7.0,17.0,30.0,18.0,126065.0,67.0
Tariq Lamptey,DEF,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,2,0,31,0,2,0,0,0,0,0,1,0,8,1.0,7.0,5.0,1.0,336529.0,17.0,0,0,27,0,4,0,0,0,0,0,0,0,3,2.0,7.0,13.0,1.0,239500.0,29.0
João Pedro,FWD,Brighton & Hove Albion,Manchester United,8,True,15.0,15.0,0,4,74,0,5,2,0,0,0,0,1,0,17,6.0,22.0,16.0,24.0,1217985.0,48.0,1,2,74,1,5,1,0,0,0,0,0,0,17,6.0,19.0,16.0,23.0,923654.0,70.0
Alejandro Garnacho,MID,Manchester United,Brighton & Hove Albion,1,False,0.0,0.0,0,0,17,1,2,0,0,0,0,0,0,0,7,3.0,4.0,5.0,20.0,629848.0,37.0,1,0,30,1,3,0,0,0,0,0,0,0,12,5.0,8.0,16.0,27.0,1319179.0,63.0
Jan Paul van Hecke,DEF,Brighton & Hove Albion,Manchester United,1,True,15.0,15.0,0,0,20,0,2,0,0,0,0,0,2,0,2,1.0,10.0,0.0,1.0,134735.0,36.0,0,0,35,1,1,0,0,0,0,0,1,0,7,1.0,8.0,0.0,1.0,158393.0,36.0
Altay Bayindir,GK,Manchester United,Brighton & Hove Albion,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5906.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7629.0,0.0
Deniz Undav,FWD,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,7273.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1425.0,0.0
Jason Steele,GK,Brighton & Hove Albion,Manchester United,2,True,15.0,15.0,0,2,102,1,5,0,0,0,0,0,0,16,18,3.0,28.0,0.0,0.0,338458.0,90.0,0,1,58,1,3,0,0,0,0,0,0,5,10,1.0,11.0,0.0,0.0,152533.0,54.0
Harry Maguire,DEF,Manchester United,Brighton & Hove Albion,2,False,0.0,0.0,0,0,12,0,1,0,0,0,0,0,0,0,2,1.0,3.0,2.0,1.0,66285.0,16.0,0,0,34,1,1,0,0,0,0,0,1,0,7,1.0,7.0,3.0,1.0,118695.0,32.0
Carl Rushworth,GK,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5374.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2687.0,0.0
Andrew Moran,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,738.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,772.0,0.0
Hannibal Mejbri,MID,Manchester United,Brighton & Hove Albion,0,False,0.0,0.0,0,0,19,0,1,1,0,0,0,0,1,0,5,1.0,7.0,0.0,1.0,6566.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10552.0,0.0
Adam Webster,DEF,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,56,1,3,0,0,0,0,0,2,0,7,3.0,13.0,5.0,9.0,30810.0,54.0,0,0,46,0,5,0,0,0,0,0,0,0,5,2.0,15.0,1.0,5.0,26678.0,57.0
Kaoru Mitoma,MID,Brighton & Hove Albion,Manchester United,6,True,15.0,15.0,2,3,63,1,3,1,0,0,0,0,0,0,23,7.0,20.0,16.0,29.0,2460102.0,70.0,1,1,47,1,1,1,0,0,0,0,0,0,14,3.0,13.0,4.0,17.0,898281.0,35.0
Ibrahim Sangaré,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,948.0,0.0,0,0,17,0,2,0,0,0,0,0,0,0,3,1.0,5.0,3.0,1.0,37939.0,24.0
Victor Lindelöf,DEF,Manchester United,Brighton & Hove Albion,0,False,0.0,0.0,0,0,21,0,4,0,0,0,0,0,0,0,4,1.0,5.0,5.0,2.0,18740.0,45.0,1,0,12,0,0,0,0,0,0,0,0,0,4,1.0,3.0,3.0,2.0,21018.0,9.0
Valentín Barco,DEF,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,5,0,1,0,0,0,0,0,0,0,2,3.0,8.0,9.0,10.0,966542.0,40.0,0,0,14,0,2,0,0,0,0,0,0,0,3,2.0,6.0,7.0,5.0,814089.0,25.0
Kobbie Mainoo,MID,Manchester United,Brighton & Hove Albion,1,False,0.0,0.0,0,0,31,1,2,0,0,0,0,0,1,0,4,1.0,5.0,5.0,2.0,139342.0,33.0,0,2,96,2,4,1,0,0,0,0,1,0,18,4.0,20.0,12.0,8.0,283549.0,84.0
Amad Diallo,MID,Manchester United,Brighton & Hove Albion,6,False,0.0,0.0,0,0,29,1,1,1,0,0,0,0,1,0,9,2.0,9.0,9.0,5.0,69506.0,33.0,1,3,78,2,3,2,0,0,0,0,2,0,26,6.0,26.0,22.0,17.0,131161.0,75.0
Jakub Moder,MID,Brighton & Hove Albion,Manchester United,0,True,15.0,15.0,0,0,14,0,2,0,0,0,0,0,0,0,2,1.0,3.0,3.0,4.0,10693.0,18.0,0,0,18,0,2,0,0,0,0,0,0,0,3,1.0,4.0,3.0,4.0,16948.0,23.0
