name,position,team,opponent_team,total_points,was_home,team_tot_points_last_5_matches,team_tot_points_last_5_h2h,tot_assists_last_5_h2h,tot_bonus_last_5_h2h,tot_bps_last_5_h2h,tot_clean_sheets_last_5_h2h,tot_goals_conceded_last_5_h2h,tot_goals_scored_last_5_h2h,tot_own_goals_last_5_h2h,tot_penalties_missed_last_5_h2h,tot_penalties_saved_last_5_h2h,tot_red_cards_last_5_h2h,tot_yellow_cards_last_5_h2h,tot_saves_last_5_h2h,tot_total_points_last_5_h2h,avg_ict_index_last_5_h2h,avg_influence_last_5_h2h,avg_creativity_last_5_h2h,avg_threat_last_5_h2h,avg_selected_last_5_h2h,avg_minutes_last_5_h2h,tot_assists_last_5,tot_bonus_last_5,tot_bps_last_5,tot_clean_sheets_last_5,tot_goals_conceded_last_5,tot_goals_scored_last_5,tot_own_goals_last_5,tot_penalties_missed_last_5,tot_penalties_saved_last_5,tot_red_cards_last_5,tot_yellow_cards_last_5,tot_saves_last_5,tot_total_points_last_5,avg_ict_index_last_5,avg_influence_last_5,avg_creativity_last_5,avg_threat_last_5,avg_selected_last_5,avg_minutes_last_5
Andrew Omobamidele,DEF,Nottingham Forest,Southampton,0,False,11.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,194971.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5077.0,0.0
Ederson Moraes,GK,Manchester City,Ipswich Town,2,True,15.0,15.0,0,0,79,3,2,0,0,0,0,0,0,2,22,1.0,6.0,2.0,0.0,996468.0,90.0,0,1,51,1,2,0,0,0,0,0,0,8,13,1.0,12.0,0.0,0.0,756009.0,54.0
João Virgínia,GK,Everton,Tottenham Hotspur,0,False,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59184.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49578.0,0.0
Harrison Reed,MID,Fulham,Leicester City,0,True,12.0,12.0,1,0,37,2,3,0,0,0,0,0,2,0,11,4.0,11.0,18.0,7.0,67804.0,64.0,1,0,21,0,2,0,0,0,0,0,1,0,5,1.0,5.0,5.0,2.0,12751.0,15.0
James McAtee,MID,Manchester City,Ipswich Town,1,True,15.0,15.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,3991.0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,33087.0,5.0
Dejan Kulusevski,MID,Tottenham Hotspur,Everton,6,True,13.0,13.0,1,0,45,2,3,0,0,0,0,0,1,0,13,6.0,15.0,26.0,15.0,329774.0,72.0,1,3,70,2,2,2,0,0,0,0,0,0,26,9.0,25.0,24.0,36.0,223304.0,55.0
Tom Cairney,MID,Fulham,Leicester City,0,True,15.0,15.0,0,2,55,0,2,2,0,0,0,0,2,0,15,3.0,17.0,4.0,8.0,4330.0,27.0,0,0,12,0,4,0,0,0,0,0,3,0,2,2.0,5.0,10.0,2.0,3930.0,24.0
Dominic Solanke,FWD,Tottenham Hotspur,Everton,0,True,15.0,15.0,0,2,28,1,6,1,0,0,0,0,3,0,11,4.0,11.0,7.0,17.0,1153910.0,71.0,0,0,38,0,6,1,0,0,0,0,0,0,11,4.0,11.0,4.0,28.0,2201027.0,60.0
Wilson Odobert,MID,Tottenham Hotspur,Everton,3,True,15.0,15.0,0,0,22,1,3,0,0,0,0,0,0,0,7,3.0,7.0,15.0,9.0,3844.0,78.0,0,0,29,1,8,0,0,0,0,0,0,0,9,3.0,5.0,12.0,12.0,4655.0,67.0
Chris Richards,DEF,Crystal Palace,West Ham United,1,True,0.0,6.0,0,0,27,0,5,0,0,0,0,0,0,0,4,1.0,8.0,1.0,1.0,45244.0,52.0,1,2,83,2,5,0,0,0,0,0,1,0,20,3.0,18.0,5.0,7.0,94639.0,87.0
James Justin,DEF,Leicester City,Fulham,1,False,2.0,0.0,1,0,24,0,6,0,0,0,0,0,0,0,4,1.0,5.0,0.0,0.0,54282.0,36.0,0,0,25,0,3,0,0,0,0,0,0,0,3,1.0,8.0,2.0,1.0,38510.0,36.0
Giovani Lo Celso,MID,Tottenham Hotspur,Everton,0,True,15.0,15.0,0,0,6,0,1,0,0,0,0,0,0,0,1,0.0,2.0,0.0,0.0,10288.0,3.0,0,0,4,0,1,0,0,0,0,0,0,0,2,0.0,1.0,0.0,0.0,7900.0,1.0
Eberechi Eze,MID,Crystal Palace,West Ham United,2,True,0.0,3.0,1,3,100,0,7,2,0,0,0,0,0,0,24,9.0,25.0,33.0,28.0,1317826.0,70.0,1,3,130,2,5,3,0,0,0,0,0,0,33,11.0,37.0,28.0,42.0,1550395.0,88.0
Ilkay Gündogan,MID,Manchester City,Ipswich Town,1,True,15.0,15.0,0,2,66,2,2,1,0,0,0,0,1,0,15,4.0,11.0,23.0,11.0,157454.0,48.0,1,3,73,1,1,2,0,0,0,0,0,0,22,4.0,20.0,10.0,9.0,630752.0,37.0
Alejo Véliz,FWD,Tottenham Hotspur,Everton,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5056.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3887.0,0.0
Cameron Peupion,MID,Ipswich Town,Manchester City,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1914.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3944.0,0.0
Dominic Calvert-Lewin,FWD,Everton,Tottenham Hotspur,2,False,0.0,0.0,1,0,9,0,9,0,0,0,0,0,0,0,10,2.0,4.0,5.0,15.0,94479.0,56.0,1,2,55,1,7,1,0,0,0,0,1,0,18,5.0,14.0,7.0,25.0,132453.0,75.0
Omar Richards,DEF,Nottingham Forest,Southampton,0,False,13.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2418.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3320.0,0.0
Álex Moreno,DEF,Nottingham Forest,Southampton,0,False,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61450.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60788.0,0.0
Joe Lumley,GK,Southampton,Nottingham Forest,0,True,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28294.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26971.0,0.0
Dane Scarlett,FWD,Tottenham Hotspur,Everton,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,15921.0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,1.0,16574.0,3.0
Omari Hutchinson,MID,Ipswich Town,Manchester City,2,False,0.0,0.0,0,0,7,0,4,0,0,0,0,0,0,0,3,0.0,1.0,1.0,1.0,17886.0,37.0,0,0,16,0,6,0,0,0,0,0,1,0,3,1.0,2.0,0.0,4.0,21317.0,36.0
Will Hughes,MID,Crystal Palace,West Ham United,0,True,0.0,0.0,1,0,32,0,2,0,0,0,0,0,1,0,6,1.0,6.0,4.0,1.0,2199.0,32.0,0,0,19,1,2,0,0,0,0,0,0,0,6,1.0,6.0,4.0,2.0,2789.0,33.0
David Ozoh,MID,Crystal Palace,West Ham United,0,True,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,462.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,568.0,0.0
Christian Walton,GK,Ipswich Town,Manchester City,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,81015.0,0.0,0,0,9,0,2,0,0,0,0,0,0,3,2,1.0,6.0,0.0,0.0,60261.0,18.0
Guglielmo Vicario,GK,Tottenham Hotspur,Everton,6,True,15.0,15.0,0,5,117,2,3,0,0,0,0,0,0,16,24,4.0,37.0,0.0,0.0,575397.0,90.0,0,0,111,2,4,0,0,0,0,0,0,9,18,2.0,19.0,0.0,0.0,743610.0,90.0
Joe Aribo,MID,Southampton,Nottingham Forest,2,True,0.0,0.0,0,1,37,0,1,1,0,0,0,0,0,0,10,3.0,12.0,2.0,20.0,31329.0,32.0,0,0,34,0,5,0,0,0,0,0,0,0,6,2.0,6.0,7.0,3.0,19751.0,43.0
Hamza Choudhury,MID,Leicester City,Fulham,0,False,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12495.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13301.0,0.0
Djed Spence,DEF,Tottenham Hotspur,Everton,1,True,15.0,15.0,0,0,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,25460.0,3.0,0,0,8,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0.0,0.0,15290.0,4.0
Alex Mighten,MID,Nottingham Forest,Southampton,0,False,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2520.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2695.0,0.0
Lewis O'Brien,MID,Nottingham Forest,Southampton,0,False,15.0,15.0,0,0,9,1,0,0,0,0,0,0,0,0,3,0.0,3.0,0.0,0.0,2921.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,559.0,0.0
Khayon Edwards,FWD,Crystal Palace,West Ham United,2,True,0.0,0.0,0,3,34,0,4,1,0,0,0,0,0,0,15,4.0,9.0,5.0,22.0,216103.0,55.0,0,0,5,0,2,0,0,0,0,0,1,0,5,1.0,0.0,5.0,9.0,115404.0,34.0
Cieran Slicker,GK,Ipswich Town,Manchester City,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85579.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33872.0,0.0
Jan Bednarek,DEF,Southampton,Nottingham Forest,1,True,0.0,0.0,0,0,42,0,8,0,0,0,0,0,1,0,3,2.0,14.0,3.0,1.0,75835.0,59.0,0,0,64,0,11,0,0,0,0,0,2,0,4,2.0,17.0,5.0,1.0,75681.0,88.0
Jack Harrison,MID,Everton,Tottenham Hotspur,1,False,0.0,0.0,0,3,51,0,9,2,0,0,0,0,0,0,20,3.0,9.0,4.0,15.0,57313.0,60.0,0,0,26,0,5,0,0,0,0,0,0,0,5,3.0,7.0,9.0,12.0,14566.0,46.0
Raúl Jiménez,FWD,Fulham,Leicester City,1,True,15.0,15.0,1,0,18,0,3,0,0,0,0,0,0,0,8,2.0,7.0,3.0,6.0,218452.0,37.0,0,3,62,0,3,2,0,0,0,0,0,0,16,3.0,16.0,4.0,11.0,56828.0,28.0
Bryan Gil,MID,Tottenham Hotspur,Everton,0,True,15.0,15.0,0,0,4,0,1,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1296.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1031.0,0.0
Dwight McNeil,MID,Everton,Tottenham Hotspur,2,False,0.0,0.0,0,0,56,0,9,0,0,0,0,0,0,0,8,5.0,13.0,38.0,4.0,38744.0,71.0,1,0,80,1,10,0,0,0,0,0,0,0,14,5.0,11.0,33.0,3.0,52322.0,86.0
Andy Irving,MID,West Ham United,Crystal Palace,0,False,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2411.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2234.0,0.0
Nathaniel Clyne,DEF,Crystal Palace,West Ham United,0,True,0.0,0.0,0,0,18,0,2,0,0,0,0,0,0,0,1,0.0,3.0,0.0,0.0,13153.0,18.0,1,0,69,2,1,0,0,0,0,0,0,0,17,1.0,6.0,4.0,1.0,14114.0,51.0
Idrissa Gueye,MID,Everton,Tottenham Hotspur,2,False,0.0,0.0,0,0,45,0,11,0,0,0,0,0,2,0,6,2.0,10.0,5.0,3.0,5124.0,66.0,0,3,72,1,10,1,0,0,0,0,1,0,18,3.0,20.0,12.0,3.0,5824.0,88.0
Lukasz Fabianski,GK,West Ham United,Crystal Palace,0,False,12.0,12.0,0,0,24,0,9,0,0,0,0,0,0,5,1,1.0,7.0,0.0,0.0,388209.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,567387.0,0.0
Luke Woolfenden,DEF,Ipswich Town,Manchester City,0,False,0.0,0.0,0,0,-2,0,4,0,0,0,0,0,0,0,0,1.0,12.0,0.0,0.0,130603.0,90.0,0,0,5,0,6,0,0,0,0,0,1,0,0,2.0,19.0,0.0,1.0,119437.0,90.0
Freddie Ladapo,FWD,Ipswich Town,Manchester City,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64384.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,109140.0,0.0
Chadi Riad,DEF,Crystal Palace,West Ham United,1,True,0.0,0.0,0,0,3,0,2,0,0,0,0,0,0,0,1,2.0,18.0,1.0,0.0,13718.0,90.0,0,0,3,0,2,0,0,0,0,0,0,0,1,1.0,9.0,1.0,0.0,13112.0,45.0
Will Smallbone,MID,Southampton,Nottingham Forest,2,True,0.0,0.0,0,0,9,0,1,0,0,0,0,0,0,0,2,0.0,0.0,2.0,0.0,2025.0,17.0,0,0,22,0,2,0,0,0,0,0,0,0,4,1.0,1.0,3.0,6.0,2594.0,35.0
Kalvin Phillips,MID,Ipswich Town,Manchester City,0,False,0.0,0.0,0,0,23,0,5,0,0,0,0,0,0,0,4,1.0,7.0,1.0,0.0,54874.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6227.0,0.0
Stephy Mavididi,MID,Leicester City,Fulham,1,False,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,0.0,42999.0,19.0,0,0,7,0,0,0,0,0,0,0,0,0,2,1.0,4.0,7.0,0.0,44766.0,15.0
Josh King,MID,Fulham,Leicester City,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6690.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2308.0,0.0
Ramón Sosa,MID,Nottingham Forest,Southampton,0,False,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,504.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,504.0,0.0
Sékou Mara,FWD,Southampton,Nottingham Forest,0,True,0.0,0.0,1,0,17,0,1,0,0,0,0,0,0,0,6,1.0,6.0,4.0,3.0,8874.0,21.0,0,0,2,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,9154.0,6.0
Kurt Zouma,DEF,West Ham United,Crystal Palace,0,False,15.0,15.0,0,0,24,0,7,0,0,0,0,0,0,0,3,1.0,5.0,0.0,0.0,145895.0,40.0,0,0,36,0,9,0,0,0,0,0,0,0,3,1.0,13.0,0.0,0.0,119663.0,54.0
Mason Holgate,DEF,Everton,Tottenham Hotspur,0,False,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,0.0,61276.0,4.0,0,0,2,0,1,0,0,0,0,0,0,0,2,0.0,2.0,0.0,0.0,44032.0,5.0
Adam Armstrong,FWD,Southampton,Nottingham Forest,1,True,0.0,0.0,1,0,27,0,2,0,0,0,0,0,1,0,9,2.0,5.0,7.0,9.0,117682.0,46.0,0,0,34,0,4,1,0,0,0,0,1,0,9,1.0,2.0,3.0,9.0,112675.0,39.0
Luca de la Torre,MID,West Ham United,Crystal Palace,3,False,15.0,15.0,0,0,53,1,11,1,0,0,0,0,1,0,15,4.0,15.0,14.0,7.0,162001.0,86.0,0,0,59,1,9,1,0,0,0,0,2,0,14,4.0,17.0,18.0,9.0,167437.0,81.0
Rodrigo Bentancur,MID,Tottenham Hotspur,Everton,0,True,15.0,15.0,0,0,33,1,2,0,0,0,0,0,0,0,7,2.0,8.0,10.0,3.0,221398.0,49.0,0,1,63,1,3,1,0,0,0,0,2,0,12,4.0,15.0,10.0,13.0,142363.0,59.0
Kevin De Bruyne,MID,Manchester City,Ipswich Town,12,True,15.0,15.0,3,8,136,1,2,3,0,0,0,0,0,0,39,11.0,43.0,44.0,25.0,995064.0,54.0,3,2,130,3,2,1,0,0,0,0,0,0,29,11.0,31.0,54.0,24.0,1506347.0,82.0
Sasa Lukic,MID,Fulham,Leicester City,2,True,15.0,15.0,0,0,31,0,6,0,0,0,0,0,0,0,5,2.0,7.0,11.0,2.0,26280.0,64.0,0,0,41,1,2,0,0,0,0,0,0,0,7,2.0,7.0,8.0,2.0,25232.0,51.0
Sander Berge,MID,Fulham,Leicester City,0,True,15.0,15.0,0,0,10,0,3,0,0,0,0,0,0,0,3,1.0,4.0,3.0,1.0,10234.0,34.0,1,0,69,0,9,0,0,0,0,0,1,0,10,4.0,15.0,23.0,1.0,7913.0,72.0
Jorge Cuenca,DEF,Fulham,Leicester City,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5565.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5209.0,0.0
James Ward-Prowse,MID,West Ham United,Crystal Palace,0,False,15.0,15.0,2,1,72,0,9,0,0,0,0,0,1,0,14,3.0,19.0,12.0,1.0,527084.0,70.0,0,1,54,0,7,1,0,0,0,0,0,0,12,3.0,14.0,11.0,6.0,418662.0,48.0
Bernd Leno,GK,Fulham,Leicester City,3,True,15.0,15.0,0,4,98,1,7,0,0,0,1,0,1,20,24,3.0,32.0,0.0,0.0,390408.0,72.0,0,0,94,1,8,0,0,0,0,0,0,18,15,3.0,28.0,0.0,0.0,1051241.0,90.0
Issa Diop,DEF,Fulham,Leicester City,2,True,15.0,15.0,0,0,30,0,5,0,0,0,0,0,0,0,6,1.0,7.0,1.0,2.0,44758.0,53.0,0,0,40,1,6,0,0,0,0,1,0,0,7,2.0,15.0,0.0,0.0,35198.0,72.0
Adam Lallana,MID,Southampton,Nottingham Forest,0,True,0.0,0.0,0,0,11,1,1,0,0,0,0,0,1,0,4,1.0,1.0,8.0,4.0,6769.0,24.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,3.0,4.0,4089.0,11.0
Ryan Yates,MID,Nottingham Forest,Southampton,1,False,15.0,15.0,0,0,26,1,2,0,0,0,0,0,0,0,7,1.0,2.0,7.0,3.0,10275.0,41.0,2,2,89,0,3,1,0,0,0,0,0,0,21,4.0,18.0,9.0,17.0,9948.0,63.0
Charlie Taylor,DEF,Southampton,Nottingham Forest,1,True,0.0,0.0,0,0,28,0,3,0,0,0,0,0,0,0,4,1.0,5.0,6.0,2.0,292366.0,59.0,0,0,25,0,4,0,0,0,0,0,1,0,2,1.0,3.0,5.0,0.0,392939.0,36.0
Elliot Anderson,MID,Nottingham Forest,Southampton,3,False,15.0,15.0,0,0,26,1,1,0,0,0,0,0,0,0,6,1.0,4.0,3.0,3.0,115102.0,17.0,1,3,57,1,5,0,0,0,0,0,1,0,14,3.0,12.0,12.0,9.0,122846.0,53.0
Fraser Forster,GK,Tottenham Hotspur,Everton,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,250952.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,113685.0,0.0
Daniel Muñoz,DEF,Crystal Palace,West Ham United,1,True,0.0,0.0,0,0,21,0,4,0,0,0,0,0,0,0,2,4.0,20.0,15.0,5.0,278142.0,90.0,4,2,105,2,5,0,0,0,0,0,1,0,29,6.0,24.0,27.0,10.0,202865.0,90.0
James Maddison,MID,Tottenham Hotspur,Everton,6,True,15.0,15.0,3,0,69,2,3,0,0,1,0,0,1,0,16,8.0,25.0,29.0,28.0,878261.0,69.0,4,0,113,2,4,0,0,0,0,0,1,0,23,11.0,30.0,54.0,22.0,825112.0,84.0
Matz Sels,GK,Nottingham Forest,Southampton,6,False,15.0,15.0,0,0,21,1,0,0,0,0,0,0,0,1,6,0.0,5.0,0.0,0.0,118001.0,90.0,0,0,73,1,6,0,0,0,0,0,0,12,15,2.0,19.0,2.0,0.0,54343.0,90.0
Jenson Metcalfe,MID,Everton,Tottenham Hotspur,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,239.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,270.0,0.0
Liam Delap,FWD,Ipswich Town,Manchester City,2,False,0.0,0.0,0,0,-3,0,3,0,0,0,0,0,0,0,2,1.0,2.0,1.0,6.0,38623.0,82.0,0,0,5,0,5,0,0,0,0,0,0,0,4,1.0,2.0,4.0,3.0,25582.0,31.0
Kenny Tete,DEF,Fulham,Leicester City,2,True,15.0,15.0,1,0,83,2,6,0,0,0,0,0,1,0,18,3.0,19.0,10.0,5.0,44902.0,89.0,0,0,16,0,4,0,0,0,0,0,0,0,5,2.0,7.0,2.0,6.0,26206.0,54.0
Corey Jordan,DEF,Ipswich Town,Manchester City,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,803.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,924.0,0.0
Conor Chaplin,MID,Ipswich Town,Manchester City,1,False,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,23357.0,1.0,0,0,15,0,1,0,0,0,0,0,0,0,3,0.0,2.0,1.0,1.0,22702.0,32.0
Sam Szmodics,MID,Ipswich Town,Manchester City,6,False,0.0,0.0,0,0,21,0,3,1,0,0,0,0,1,0,6,4.0,35.0,0.0,7.0,14925.0,71.0,0,0,23,0,3,1,0,0,0,0,1,0,7,3.0,19.0,5.0,4.0,12732.0,44.0
Daichi Kamada,MID,Crystal Palace,West Ham United,1,True,0.0,0.0,0,0,7,0,2,0,0,0,0,0,0,0,1,3.0,10.0,24.0,0.0,50513.0,27.0,0,0,9,0,3,0,0,0,0,0,1,0,2,4.0,9.0,24.0,2.0,50562.0,48.0
George Earthy,MID,West Ham United,Crystal Palace,0,False,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3812.0,0.0,0,0,24,0,0,1,0,0,0,0,0,0,7,1.0,6.0,0.0,7.0,3706.0,5.0
Caleb Okoli,DEF,Leicester City,Fulham,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,19024.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14030.0,0.0
Oliver Shenton,MID,Nottingham Forest,Southampton,0,False,15.0,15.0,1,0,55,0,4,1,0,0,0,0,0,0,12,4.0,22.0,13.0,9.0,6731.0,60.0,1,0,42,0,5,0,0,0,0,0,0,0,10,3.0,13.0,17.0,2.0,6576.0,55.0
Oscar Bobb,MID,Manchester City,Ipswich Town,0,True,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10746.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,13732.0,2.0
Pierre-Emile Højbjerg,MID,Tottenham Hotspur,Everton,0,True,15.0,15.0,0,0,34,0,3,0,0,0,0,0,0,0,6,1.0,9.0,4.0,1.0,70078.0,44.0,0,0,23,0,1,0,0,0,0,0,0,0,4,1.0,4.0,3.0,1.0,17340.0,22.0
Timo Werner,MID,Tottenham Hotspur,Everton,0,True,15.0,15.0,0,0,14,0,2,0,0,0,0,0,0,0,4,1.0,2.0,3.0,5.0,144798.0,30.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,45990.0,2.0
Jean-Clair Todibo,DEF,West Ham United,Crystal Palace,1,False,15.0,15.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,0.0,43788.0,2.0,0,0,5,0,0,0,0,0,0,0,0,0,2,0.0,2.0,0.0,0.0,41512.0,4.0
Santiago Bueno,DEF,Nottingham Forest,Southampton,7,False,15.0,15.0,0,1,38,1,1,0,0,0,0,0,0,0,9,1.0,3.0,3.0,1.0,36531.0,36.0,0,1,60,1,4,0,0,0,0,0,0,0,12,2.0,14.0,4.0,3.0,26622.0,71.0
Andreas Pereira,MID,Fulham,Leicester City,2,True,15.0,15.0,0,0,42,1,3,0,0,0,0,0,0,0,8,4.0,7.0,30.0,4.0,1386328.0,59.0,0,0,51,1,5,0,0,0,0,0,1,0,8,5.0,7.0,42.0,4.0,200802.0,64.0
Calvin Bassey,DEF,Fulham,Leicester City,2,True,15.0,15.0,0,0,13,0,2,0,0,0,0,0,0,0,3,1.0,9.0,1.0,0.0,33336.0,56.0,0,0,66,1,8,0,0,0,0,0,2,0,9,2.0,13.0,1.0,2.0,39910.0,90.0
Matheus França,MID,Crystal Palace,West Ham United,0,True,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2729.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4414.0,0.0
Ben Davies,DEF,Tottenham Hotspur,Everton,0,True,15.0,15.0,1,0,19,0,1,0,0,0,0,0,0,0,6,1.0,6.0,1.0,1.0,72743.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,31837.0,0.0
Thomas Cannon,FWD,Leicester City,Fulham,0,False,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46295.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51566.0,0.0
Sam Morsy,MID,Ipswich Town,Manchester City,1,False,0.0,0.0,0,0,14,0,4,0,0,0,0,0,1,0,1,3.0,24.0,3.0,0.0,19566.0,90.0,0,0,28,0,6,0,0,0,0,0,1,0,3,3.0,20.0,9.0,1.0,18182.0,90.0
John Stones,DEF,Manchester City,Ipswich Town,1,True,15.0,15.0,0,0,23,0,1,0,0,0,0,0,0,0,4,1.0,6.0,1.0,0.0,547693.0,31.0,0,0,6,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,283984.0,8.0
Manor Solomon,MID,Tottenham Hotspur,Everton,0,True,15.0,15.0,0,0,4,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,12142.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7061.0,0.0
James Tarkowski,DEF,Everton,Tottenham Hotspur,0,False,0.0,0.0,0,0,49,0,13,0,0,0,0,0,0,0,4,3.0,15.0,9.0,10.0,393019.0,90.0,0,3,43,1,10,0,0,0,0,0,2,0,11,4.0,24.0,10.0,9.0,435202.0,90.0
Kamaldeen Sulemana,MID,Southampton,Nottingham Forest,0,True,0.0,0.0,0,0,4,0,1,0,0,0,0,0,0,0,1,1.0,3.0,1.0,4.0,915.0,14.0,0,2,49,0,5,2,0,0,0,0,0,0,16,0.0,1.0,0.0,0.0,973.0,26.0
