name,web_name,position,team,element,kickoff_time,opponent_team,total_points,value,was_home,team_last_5_points_h2h,team_last_5_points_vs_all,tot_assists_last_5_h2h,tot_assists_last_5,tot_bonus_last_5_h2h,tot_bonus_last_5,tot_bps_last_5_h2h,tot_bps_last_5,tot_clean_sheets_last_5_h2h,tot_clean_sheets_last_5,tot_goals_conceded_last_5_h2h,tot_goals_conceded_last_5,tot_goals_scored_last_5_h2h,tot_goals_scored_last_5,tot_own_goals_last_5_h2h,tot_own_goals_last_5,tot_penalties_missed_last_5_h2h,tot_penalties_missed_last_5,tot_penalties_saved_last_5_h2h,tot_penalties_saved_last_5,tot_red_cards_last_5_h2h,tot_red_cards_last_5,tot_yellow_cards_last_5_h2h,tot_yellow_cards_last_5,tot_saves_last_5_h2h,tot_saves_last_5,tot_total_points_last_5_h2h,tot_total_points_last_5,tot_team_points_last_5_h2h,tot_team_points_last_5,avg_ict_index_last_5_h2h,avg_ict_index_last_5,avg_influence_last_5_h2h,avg_influence_last_5,avg_creativity_last_5_h2h,avg_creativity_last_5,avg_threat_last_5_h2h,avg_threat_last_5,avg_selected_last_5_h2h,avg_selected_last_5,avg_minutes_last_5_h2h,avg_minutes_last_5
Alex Scott,Scott,MID,Bournemouth,77,2024-08-17T14:00:00Z,Newcastle United,1.0,50,True,5,5,0,0,0,0,10,33,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,5,2,1.0,2.0,7.0,10.0,2.0,9.0,1.0,1.0,2134.0,2703.0,17.0,39.0
Carlos Miguel dos Santos Pereira,C.Miguel,GK,Nottingham Forest,427,2024-08-17T14:00:00Z,Southampton,0.0,45,False,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33324.0,33324.0,0.0,0.0
Tomiyasu Takehiro,Tomiyasu,DEF,Arsenal,22,2024-08-17T14:00:00Z,Aston Villa,0.0,50,False,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8462.0,8462.0,0.0,0.0
Malcolm Ebiowei,Ebiowei,MID,Crystal Palace,197,2024-08-18T13:00:00Z,West Ham United,0.0,45,True,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9450.0,2156.0,0.0,0.0
Ben Brereton Díaz,Brereton Díaz,MID,Southampton,584,2024-08-17T14:00:00Z,Nottingham Forest,1.0,55,True,0,0,0,0,0,0,-2,-4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,3.0,3.0,3.0,3.0,14.0,14.0,16.0,16.0,66244.0,66244.0,70.0,70.0
Pau Torres,Pau,DEF,Aston Villa,52,2024-08-17T16:30:00Z,Arsenal,1.0,45,True,13,13,0,0,0,0,60,60,2,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,7,5,2.0,2.0,18.0,14.0,1.0,1.0,1.0,1.0,336475.0,249841.0,85.0,69.0
Joel Ward,Ward,DEF,Crystal Palace,215,2024-08-18T13:00:00Z,West Ham United,3.0,45,True,12,3,0,0,0,0,36,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,10,1.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,29674.0,19022.0,45.0,9.0
Will Lankshear,Lankshear,FWD,Tottenham Hotspur,609,2024-08-19T19:00:00Z,Everton,0.0,45,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17747.0,17747.0,0.0,0.0
Hwang Hee-chan,Hee Chan,MID,Wolverhampton Wanderers,550,2024-08-17T14:00:00Z,Chelsea,1.5,65,True,12,0,0,0,0,0,7,49,0,0,3,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,14,9,0,2.0,3.0,3.0,9.0,5.0,8.0,11.0,14.0,312249.0,148115.0,42.0,77.0
Mikey Moore,Moore,MID,Tottenham Hotspur,610,2024-08-19T19:00:00Z,Everton,0.0,45,True,5,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8413.0,3427.0,0.0,1.0
Hákon Valdimarsson,Valdimarsson,GK,Brentford,109,2024-08-18T13:00:00Z,Liverpool,0.0,40,False,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186266.0,149340.0,0.0,0.0
Alex Paulsen,Paulsen,GK,Bournemouth,75,2024-08-17T14:00:00Z,Newcastle United,0.0,40,True,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5098.0,5098.0,0.0,0.0
