name,position,element,team,opponent_team,price,condition,xTotPoints
Robert Sánchez,GK,185,Chelsea,Bournemouth,4.8,1.0,8.0
Jordan Pickford,GK,235,Everton,Aston Villa,5.0,1.0,5.7
Milos Kerkez,DEF,70,Bournemouth,Chelsea,4.8,1.0,4.81
Illia Zabarnyi,DEF,85,Bournemouth,Chelsea,4.4,1.0,4.84
Lewis Hall,DEF,399,Newcastle United,Wolverhampton Wanderers,4.9,1.0,6.58
Dean Huijsen,DEF,580,Bournemouth,Chelsea,4.4,1.0,6.72
Phil Foden,MID,348,Manchester City,Brentford,9.2,1.0,6.74
Mohamed Salah,MID,328,Liverpool,Nottingham Forest,13.7,1.0,11.19
Stephy Mavididi,MID,298,Leicester City,Crystal Palace,5.1,1.0,6.38
Bruno Guimarães Rodriguez Moura,MID,394,Newcastle United,Wolverhampton Wanderers,6.1,1.0,5.99
Bryan Mbeumo,MID,99,Brentford,Manchester City,7.8,1.0,6.35
Alexander Isak,FWD,401,Newcastle United,Wolverhampton Wanderers,9.3,0.75,9.26
Cody Gakpo,FWD,321,Liverpool,Nottingham Forest,7.4,1.0,6.41
Jean-Philippe Mateta,FWD,207,Crystal Palace,Leicester City,7.2,1.0,6.74
Raúl Jiménez,FWD,252,Fulham,West Ham United,5.7,1.0,5.49
