name,position,element,team,opponent_team,price,condition,xTotPoints
Tomiyasu Takehiro,DEF,22,Arsenal,Tottenham Hotspur,4.8,0.0,-0.0
Pau Torres,DEF,52,Aston Villa,Everton,4.3,0.0,0.98
Joel Ward,DEF,215,Crystal Palace,Leicester City,4.3,1.0,-0.0
Milos Kerkez,DEF,70,Bournemouth,Chelsea,4.8,1.0,4.81
Conor Coady,DEF,288,Leicester City,Crystal Palace,4.0,1.0,0.8
Adam Webster,DEF,147,Brighton & Hove Albion,Ipswich Town,4.3,1.0,0.14
Alex Murphy,DEF,390,Newcastle United,Wolverhampton Wanderers,4.0,1.0,-0.0
Craig Dawson,DEF,542,Wolverhampton Wanderers,Newcastle United,4.3,1.0,0.78
Marcos Senesi,DEF,79,Bournemouth,Chelsea,4.7,0.0,-0.07
Jannik Vestergaard,DEF,307,Leicester City,Crystal Palace,4.0,0.75,0.11
Luke Thomas,DEF,305,Leicester City,Crystal Palace,3.9,1.0,0.63
Adam Smith,DEF,81,Bournemouth,Chelsea,4.4,0.0,0.36
Taylor Harwood-Bellis,DEF,461,Southampton,Manchester United,4.1,1.0,1.38
Lisandro Martínez,DEF,380,Manchester United,Southampton,4.4,1.0,3.39
Joško Gvardiol,DEF,350,Manchester City,Brentford,6.0,1.0,2.92
Joachim Andersen,DEF,191,Fulham,West Ham United,4.2,1.0,0.24
Roman Dixon,DEF,627,Everton,Aston Villa,4.0,1.0,-0.0
Trevoh Chalobah,DEF,159,Crystal Palace,Leicester City,4.4,1.0,3.84
Ryan Manning,DEF,467,Southampton,Manchester United,4.3,1.0,0.23
Vitalii Mykolenko,DEF,231,Everton,Aston Villa,4.3,1.0,3.61
Nélson Cabral Semedo,DEF,559,Wolverhampton Wanderers,Newcastle United,4.5,1.0,3.08
Benoît Badiashile,DEF,153,Chelsea,Bournemouth,4.3,0.0,-0.0
Jack Stephens,DEF,472,Southampton,Manchester United,4.0,0.0,-0.01
Rico Henry,DEF,92,Brentford,Manchester City,4.3,1.0,-0.0
Rob Holding,DEF,202,Crystal Palace,Leicester City,4.2,1.0,-0.0
Ryan Sessegnon,DEF,579,Fulham,West Ham United,4.2,1.0,0.06
Jonny Evans,DEF,371,Manchester United,Southampton,4.4,0.25,-0.0
Timothy Castagne,DEF,244,Fulham,West Ham United,4.2,1.0,2.28
Tariq Lamptey,DEF,131,Brighton & Hove Albion,Ipswich Town,4.4,0.75,1.13
Séamus Coleman,DEF,221,Everton,Aston Villa,4.3,1.0,0.12
Fabian Schär,DEF,415,Newcastle United,Wolverhampton Wanderers,5.4,1.0,4.51
James Hill,DEF,68,Bournemouth,Chelsea,3.9,1.0,0.66
Nathan Patterson,DEF,234,Everton,Aston Villa,4.4,1.0,0.25
Kieran Tierney,DEF,21,Arsenal,Tottenham Hotspur,4.3,1.0,-0.0
Sugawara Yukinari,DEF,474,Southampton,Manchester United,4.3,1.0,1.17
Jake O'Brien,DEF,582,Everton,Aston Villa,4.6,1.0,-0.0
Kosta Nedeljković,DEF,50,Aston Villa,Everton,3.9,1.0,0.1
Sepp van den Berg,DEF,338,Brentford,Manchester City,4.1,1.0,1.49
Jarrad Branthwaite,DEF,219,Everton,Aston Villa,4.8,1.0,4.06
Ferdi Kadioglu,DEF,628,Brighton & Hove Albion,Ipswich Town,4.5,0.0,-0.0
Kyle Walker,DEF,363,Manchester City,Brentford,5.1,1.0,0.6
