name,position,element,team,opponent_team,price,condition,xTotPoints,total_points
David Raya Martin,GK,15,Arsenal,Brighton & Hove Albion,5.5,1.0,8.19,2
Alisson Ramses Becker,GK,310,Liverpool,Manchester United,5.5,1.0,5.26,8
Noussair Mazraoui,DEF,594,Manchester United,Liverpool,4.5,1.0,4.55,1
Wout Faes,DEF,291,Leicester City,Aston Villa,4.1,1.0,4.58,1
Emil Krafth,DEF,405,Newcastle United,Tottenham Hotspur,4.5,1.0,4.87,2
Noni Madueke,MID,177,Chelsea,Crystal Palace,6.5,1.0,8.17,2
Mohamed Salah,MID,328,Liverpool,Manchester United,12.6,1.0,11.76,17
Marcus Tavernier,MID,83,Bournemouth,Everton,5.5,1.0,6.04,2
Anthony Gordon,MID,398,Newcastle United,Tottenham Hotspur,7.5,1.0,7.76,2
Bryan Mbeumo,MID,99,Brentford,Southampton,7.0,1.0,7.21,14
Bernardo Veiga de Carvalho e Silva,MID,342,Manchester City,West Ham United,6.6,1.0,7.29,7
Son Heung-min,MID,503,Tottenham Hotspur,Newcastle United,10.0,1.0,8.69,3
Alexander Isak,FWD,401,Newcastle United,Tottenham Hotspur,8.5,1.0,8.79,9
Yoane Wissa,FWD,110,Brentford,Southampton,6.1,1.0,8.81,8
Danny Welbeck,FWD,148,Brighton & Hove Albion,Arsenal,5.6,1.0,4.99,2
