name,position,team,opponent_team,price,condition,xTotPoints,total_points
André Onana,GK,Manchester United,Arsenal,5.2,1.0,4.18,2
Bernd Leno,GK,Fulham,Brighton & Hove Albion,5.0,1.0,5.52,2
Craig Dawson,DEF,Wolverhampton Wanderers,Everton,4.4,1.0,3.52,-4
Pervis Estupiñán,DEF,Brighton & Hove Albion,Fulham,5.0,1.0,4.52,1
James Tarkowski,DEF,Everton,Wolverhampton Wanderers,4.8,1.0,4.8,6
João Victor Gomes da Silva,MID,Wolverhampton Wanderers,Everton,4.9,1.0,5.71,2
Harry Wilson,MID,Fulham,Brighton & Hove Albion,5.2,1.0,7.18,2
Bruno Borges Fernandes,MID,Manchester United,Arsenal,8.5,1.0,7.57,2
Mohamed Salah,MID,Liverpool,Newcastle United,13.2,1.0,14.77,18
Bukayo Saka,MID,Arsenal,Manchester United,10.4,1.0,9.53,3
Enzo Fernández,MID,Chelsea,Southampton,4.8,1.0,5.51,5
Marcus Rashford,MID,Manchester United,Arsenal,6.9,1.0,10.74,1
Alexander Isak,FWD,Newcastle United,Liverpool,8.5,0.75,8.24,11
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,Tottenham Hotspur,6.0,1.0,6.92,2
Matheus Santos Carneiro Da Cunha,FWD,Wolverhampton Wanderers,Everton,7.1,1.0,9.55,2
