name,team,predicted_total_points,price,position
David Raya,Arsenal,8.28,5.5,GK
Alisson Becker,Liverpool,5.44,5.5,GK
Antonee Robinson,Fulham,9.07,4.6,DEF
Cristian Romero,Tottenham Hotspur,11.58,5.1,DEF
Ola Aina,Nottingham Forest,8.81,4.4,DEF
Maximilian Kilman,West Ham United,10.19,4.5,DEF
Heung-Min Son,Tottenham Hotspur,11.37,7.5,MID
Morgan Gibbs-White,Nottingham Forest,10.85,6.5,MID
Thomas Partey,Arsenal,11.01,5.0,MID
Noni Madueke,Chelsea,16.23,6.5,MID
Cole Palmer,Chelsea,14.8,10.5,MID
Danny Welbeck,Brighton & Hove Albion,10.04,5.6,FWD
Chris Wood,Nottingham Forest,8.08,6.1,FWD
Erling Haaland,Manchester City,10.79,15.1,FWD
Nicolas Jackson,Chelsea,7.0,7.6,FWD
