name,position,element,team,opponent_team,price,condition,xTotPoints
Bart Verbruggen,GK,146,Brighton & Hove Albion,Manchester United,4.5,1.0,4.41
Martin Dúbravka,GK,396,Newcastle United,Bournemouth,4.3,1.0,5.16
Milos Kerkez,DEF,70,Bournemouth,Newcastle United,4.8,1.0,4.31
Illia Zabarnyi,DEF,85,Bournemouth,Newcastle United,4.4,1.0,4.41
Dean Huijsen,DEF,580,Bournemouth,Newcastle United,4.4,1.0,6.46
Phil Foden,MID,348,Manchester City,Ipswich Town,9.2,1.0,7.85
Mohamed Salah,MID,328,Liverpool,Brentford,13.7,1.0,11.05
Anthony Gordon,MID,398,Newcastle United,Bournemouth,7.7,1.0,9.25
Alexis Mac Allister,MID,329,Liverpool,Brentford,6.2,1.0,6.13
Morgan Rogers,MID,54,Aston Villa,Arsenal,5.5,1.0,6.22
Amad Diallo,MID,364,Manchester United,Brighton & Hove Albion,5.6,1.0,6.89
Alexander Isak,FWD,401,Newcastle United,Bournemouth,9.4,1.0,9.72
Cody Gakpo,FWD,321,Liverpool,Brentford,7.4,1.0,6.71
João Pedro Junqueira de Jesus,FWD,129,Brighton & Hove Albion,Manchester United,5.6,1.0,5.5
Matheus Santos Carneiro Da Cunha,FWD,541,Wolverhampton Wanderers,Chelsea,7.0,0.75,5.87
