name,position,element,team,opponent_team,price,condition,xTotPoints
Jarrad Branthwaite,DEF,219,Everton,Tottenham Hotspur,4.8,1.0,2.0
Ferdi Kadioglu,DEF,628,Brighton & Hove Albion,Manchester United,4.5,0.0,-0.0
Kyle Walker,DEF,363,Manchester City,Ipswich Town,5.1,1.0,0.2
Ricardo Barbosa Pereira,DEF,302,Leicester City,Fulham,4.1,0.0,-0.0
Rúben Gato Alves Dias,DEF,361,Manchester City,Ipswich Town,5.4,0.25,-0.0
Ben Chilwell,DEF,160,Chelsea,Wolverhampton Wanderers,4.6,1.0,-0.0
Tyrick Mitchell,DEF,210,Crystal Palace,West Ham United,4.8,1.0,3.0
Armel Bella-Kotchap,DEF,456,Southampton,Nottingham Forest,3.9,1.0,-0.0
Lamare Bogarde,DEF,598,Aston Villa,Arsenal,4.0,1.0,-0.0
Noussair Mazraoui,DEF,594,Manchester United,Brighton & Hove Albion,4.4,1.0,1.32
Ezri Konsa Ngoyo,DEF,44,Aston Villa,Arsenal,4.4,1.0,2.79
Virgil van Dijk,DEF,339,Liverpool,Brentford,6.4,1.0,2.63
Juan Larios López,DEF,464,Southampton,Nottingham Forest,4.0,0.0,-0.0
Ethan Pinnock,DEF,104,Brentford,Liverpool,4.4,0.0,-0.0
William Saliba,DEF,18,Arsenal,Aston Villa,6.3,0.75,3.01
Chris Richards,DEF,194,Crystal Palace,West Ham United,4.4,1.0,1.99
Rayan Aït-Nouri,DEF,533,Wolverhampton Wanderers,Chelsea,4.8,1.0,3.67
James Justin,DEF,295,Leicester City,Fulham,4.2,1.0,1.0
Michael Keane,DEF,228,Everton,Tottenham Hotspur,3.9,1.0,-0.0
Diego Carlos Santos Silva,DEF,35,Aston Villa,Arsenal,4.5,0.0,0.24
Trent Alexander-Arnold,DEF,311,Liverpool,Brentford,7.2,1.0,4.17
Riccardo Calafiori,DEF,578,Arsenal,Aston Villa,5.8,0.75,1.07
Jan Bednarek,DEF,455,Southampton,Nottingham Forest,4.0,1.0,2.11
Wesley Fofana,DEF,189,Chelsea,Wolverhampton Wanderers,4.4,0.0,-0.0
Lucas Digne,DEF,36,Aston Villa,Arsenal,4.6,1.0,2.34
Matthijs de Ligt,DEF,593,Manchester United,Brighton & Hove Albion,4.9,1.0,0.81
Kim Ji-soo,DEF,96,Brentford,Liverpool,3.9,1.0,0.18
Nathaniel Clyne,DEF,196,Crystal Palace,West Ham United,4.3,1.0,0.08
Tyrell Malacia,DEF,379,Manchester United,Brighton & Hove Albion,4.4,1.0,0.09
Lewis Dunk,DEF,120,Brighton & Hove Albion,Manchester United,4.3,1.0,2.24
Ibrahima Konaté,DEF,326,Liverpool,Brentford,5.1,1.0,0.55
Chadi Riad Dnanou,DEF,195,Crystal Palace,West Ham United,4.3,1.0,-0.0
Levi Colwill,DEF,162,Chelsea,Wolverhampton Wanderers,4.6,0.75,1.3
Joe Gomez,DEF,322,Liverpool,Brentford,4.7,0.0,0.53
Yerson Mosquera,DEF,558,Wolverhampton Wanderers,Chelsea,3.9,0.0,-0.31
Sil Swinkels,DEF,640,Aston Villa,Arsenal,4.0,1.0,-0.0
Konstantinos Tsimikas,DEF,337,Liverpool,Brentford,4.6,1.0,1.98
Gabriel dos Santos Magalhães,DEF,3,Arsenal,Aston Villa,6.4,1.0,3.06
Manuel Akanji,DEF,340,Manchester City,Ipswich Town,5.3,1.0,2.21
Matt Doherty,DEF,543,Wolverhampton Wanderers,Chelsea,4.3,1.0,3.24
Conor Bradley,DEF,313,Liverpool,Brentford,4.7,1.0,0.34
Jarell Quansah,DEF,333,Liverpool,Brentford,3.9,1.0,0.44
Andrew Robertson,DEF,335,Liverpool,Brentford,5.9,1.0,2.43
Oleksandr Zinchenko,DEF,25,Arsenal,Aston Villa,4.8,1.0,0.6
Diogo Dalot Teixeira,DEF,369,Manchester United,Brighton & Hove Albion,5.0,1.0,0.54
Nathan Aké,DEF,341,Manchester City,Ipswich Town,5.3,1.0,1.6
Jamaal Lascelles,DEF,407,Newcastle United,Bournemouth,4.5,0.0,-0.0
Axel Disasi,DEF,167,Chelsea,Wolverhampton Wanderers,4.2,1.0,0.91
Victor Kristiansen,DEF,296,Leicester City,Fulham,4.5,1.0,0.33
Kyle Walker-Peters,DEF,476,Southampton,Nottingham Forest,4.3,1.0,1.25
Antonee Robinson,DEF,255,Fulham,Leicester City,5.1,1.0,3.58
Illia Zabarnyi,DEF,85,Bournemouth,Newcastle United,4.4,1.0,4.41
Sven Botman,DEF,393,Newcastle United,Bournemouth,4.4,1.0,1.12
Ben Mee,DEF,100,Brentford,Liverpool,4.2,1.0,0.49
Wout Faes,DEF,291,Leicester City,Fulham,4.0,1.0,0.78
Leny Yoro,DEF,572,Manchester United,Brighton & Hove Albion,4.3,1.0,0.99
Ian Maatsen,DEF,45,Aston Villa,Arsenal,4.5,1.0,0.85
Mads Roerslev Rasmussen,DEF,105,Brentford,Liverpool,4.3,1.0,3.67
Jurriën Timber,DEF,6,Arsenal,Aston Villa,5.6,1.0,2.53
Ayden Heaven,DEF,658,Arsenal,Aston Villa,4.0,1.0,-0.0
Marc Cucurella Saseta,DEF,163,Chelsea,Wolverhampton Wanderers,5.2,1.0,0.95
Toti António Gomes,DEF,567,Wolverhampton Wanderers,Chelsea,4.3,0.5,2.74
Dan Burn,DEF,395,Newcastle United,Bournemouth,4.4,1.0,2.35
Pervis Estupiñán,DEF,122,Brighton & Hove Albion,Manchester United,5.0,1.0,3.78
Luke Shaw,DEF,387,Manchester United,Brighton & Hove Albion,4.9,0.25,-0.0
Aaron Hickey,DEF,93,Brentford,Liverpool,4.3,0.0,-0.0
Maxence Lacroix,DEF,650,Crystal Palace,West Ham United,4.5,1.0,2.91
Caleb Okoli,DEF,301,Leicester City,Fulham,4.0,1.0,0.28
Reece James,DEF,172,Chelsea,Wolverhampton Wanderers,4.8,1.0,1.23
Santiago Bueno,DEF,564,Wolverhampton Wanderers,Chelsea,4.3,1.0,1.93
Kenny Tete,DEF,257,Fulham,Leicester City,4.4,0.0,-0.0
Kortney Hause,DEF,40,Aston Villa,Arsenal,3.9,1.0,-0.0
Bastien Meupiyou,DEF,637,Wolverhampton Wanderers,Chelsea,3.9,1.0,-0.0
Tino Livramento,DEF,409,Newcastle United,Bournemouth,4.5,1.0,1.04
Daniel Muñoz,DEF,211,Crystal Palace,West Ham United,4.8,1.0,2.91
Charlie Taylor,DEF,475,Southampton,Nottingham Forest,3.9,1.0,-0.09
Matty Cash,DEF,32,Aston Villa,Arsenal,4.4,1.0,1.8
Issa Diop,DEF,245,Fulham,Leicester City,4.4,1.0,1.55
Igor Julio dos Santos de Paulo,DEF,128,Brighton & Hove Albion,Manchester United,4.4,0.0,0.4
Pedro Cardoso de Lima,DEF,561,Wolverhampton Wanderers,Chelsea,3.9,1.0,0.0
Nathan Collins,DEF,88,Brentford,Liverpool,4.5,1.0,2.14
Marc Guéhi,DEF,200,Crystal Palace,West Ham United,4.5,1.0,3.96
Kieran Trippier,DEF,418,Newcastle United,Bournemouth,5.6,1.0,1.66
John Stones,DEF,362,Manchester City,Ipswich Town,5.3,0.25,0.11
Lewis Hall,DEF,399,Newcastle United,Bournemouth,5.0,1.0,6.03
Calvin Bassey,DEF,241,Fulham,Leicester City,4.5,1.0,1.96
Tosin Adarabioyo,DEF,187,Chelsea,Wolverhampton Wanderers,4.2,1.0,1.85
Matt Targett,DEF,416,Newcastle United,Bournemouth,4.0,1.0,0.07
Jan Paul van Hecke,DEF,144,Brighton & Hove Albion,Manchester United,4.5,1.0,3.19
Jorge Cuenca Barreno,DEF,586,Fulham,Leicester City,4.4,1.0,-0.0
Rico Lewis,DEF,355,Manchester City,Ipswich Town,4.5,1.0,1.8
Julián Araujo Zúñiga,DEF,592,Bournemouth,Newcastle United,4.3,0.0,-0.0
James Tarkowski,DEF,236,Everton,Tottenham Hotspur,4.8,1.0,2.03
Joël Veltman,DEF,145,Brighton & Hove Albion,Manchester United,4.4,1.0,2.2
Tyrone Mings,DEF,49,Aston Villa,Arsenal,4.4,1.0,1.58
Malo Gusto,DEF,171,Chelsea,Wolverhampton Wanderers,4.9,1.0,1.41
Lloyd Kelly,DEF,404,Newcastle United,Bournemouth,4.2,1.0,0.32
Dean Huijsen,DEF,580,Bournemouth,Newcastle United,4.4,1.0,6.46
Nathan Wood-Gordon,DEF,477,Southampton,Nottingham Forest,4.0,1.0,1.81
Benjamin White,DEF,24,Arsenal,Aston Villa,6.1,0.0,-0.0
Harry Maguire,DEF,377,Manchester United,Brighton & Hove Albion,4.9,1.0,0.72
Victor Lindelöf,DEF,376,Manchester United,Brighton & Hove Albion,4.3,0.25,-0.0
Maldini Kacurri,DEF,657,Arsenal,Aston Villa,4.0,1.0,-0.0
Emil Krafth,DEF,405,Newcastle United,Bournemouth,4.3,1.0,-0.0
Jakub Kiwior,DEF,8,Arsenal,Aston Villa,4.8,1.0,-0.0
Kristoffer Ajer,DEF,86,Brentford,Liverpool,4.4,0.0,0.1
Ashley Young,DEF,238,Everton,Tottenham Hotspur,4.7,1.0,1.2
James Bree,DEF,457,Southampton,Nottingham Forest,3.9,1.0,0.96
Alex Scott,MID,77,Bournemouth,Newcastle United,4.7,0.0,0.0
Ben Brereton Díaz,MID,584,Southampton,Nottingham Forest,4.8,1.0,0.0
Hwang Hee-chan,MID,550,Wolverhampton Wanderers,Chelsea,6.1,1.0,2.17
João Victor Gomes da Silva,MID,553,Wolverhampton Wanderers,Chelsea,4.9,1.0,1.98
Cole Palmer,MID,182,Chelsea,Wolverhampton Wanderers,11.4,0.75,8.24
Mitoma Kaoru,MID,136,Brighton & Hove Albion,Manchester United,6.3,1.0,4.64
Boubakary Soumaré,MID,285,Leicester City,Fulham,4.4,1.0,1.37
Jeffrey Schlupp,MID,214,Crystal Palace,West Ham United,4.6,1.0,0.05
Thomas Partey,MID,20,Arsenal,Aston Villa,5.0,1.0,2.15
Harry Wilson,MID,259,Fulham,Leicester City,5.2,1.0,4.18
Kasey McAteer,MID,299,Leicester City,Fulham,4.7,1.0,0.6
Curtis Jones,MID,324,Liverpool,Brentford,5.3,1.0,2.81
Gustavo Nunes Fernandes Gomes,MID,634,Brentford,Liverpool,4.9,0.0,0.0
Yunus Emre Konak,MID,97,Brentford,Liverpool,4.5,1.0,0.0
Abdoulaye Doucouré,MID,217,Everton,Tottenham Hotspur,5.1,1.0,2.0
Gonçalo Manuel Ganchinho Guedes,MID,548,Wolverhampton Wanderers,Chelsea,5.3,1.0,2.44
Brajan Gruda,MID,595,Brighton & Hove Albion,Manchester United,5.4,1.0,1.02
Rodrigo 'Rodri' Hernandez,MID,360,Manchester City,Ipswich Town,6.2,0.0,0.0
Justin Devenny,MID,645,Crystal Palace,West Ham United,4.5,1.0,0.46
Jordan Ayew,MID,192,Leicester City,Fulham,5.2,1.0,2.04
Kiernan Dewsbury-Hall,MID,166,Chelsea,Wolverhampton Wanderers,5.5,0.0,0.0
Maxwel Cornet,MID,515,Southampton,Nottingham Forest,4.7,1.0,0.0
Jefferson Lerma Solís,MID,206,Crystal Palace,West Ham United,4.8,0.75,1.98
Bruno Borges Fernandes,MID,366,Manchester United,Brighton & Hove Albion,8.4,1.0,1.78
Oliver Skipp,MID,501,Leicester City,Fulham,4.7,1.0,0.41
Moisés Caicedo Corozo,MID,157,Chelsea,Wolverhampton Wanderers,4.9,1.0,1.89
Carlos Henrique Casimiro,MID,368,Manchester United,Brighton & Hove Albion,4.7,1.0,0.74
Jacob Murphy,MID,402,Newcastle United,Bournemouth,5.1,1.0,3.98
Sean Longstaff,MID,410,Newcastle United,Bournemouth,4.6,1.0,0.41
Ryan Christie,MID,63,Bournemouth,Newcastle United,4.9,1.0,2.79
Noni Madueke,MID,177,Chelsea,Wolverhampton Wanderers,6.1,1.0,1.09
Tommy Doyle,MID,544,Wolverhampton Wanderers,Chelsea,4.8,1.0,0.73
Lesley Ugochukwu,MID,188,Southampton,Nottingham Forest,4.4,1.0,1.12
Christian Eriksen,MID,370,Manchester United,Brighton & Hove Albion,5.3,1.0,1.96
Jean-Ricner Bellegarde,MID,535,Wolverhampton Wanderers,Chelsea,4.9,1.0,0.64
Mateo Kovačić,MID,354,Manchester City,Ipswich Town,5.4,1.0,2.34
Phil Foden,MID,348,Manchester City,Ipswich Town,9.2,1.0,7.85
Mason Mount,MID,382,Manchester United,Brighton & Hove Albion,6.3,0.25,0.0
Gabriel Martinelli Silva,MID,9,Arsenal,Aston Villa,6.7,1.0,3.55
Yasin Ayari,MID,600,Brighton & Hove Albion,Manchester United,5.0,1.0,1.29
Mikel Merino,MID,633,Arsenal,Aston Villa,6.0,1.0,2.16
Facundo Buonanotte,MID,117,Leicester City,Fulham,4.8,1.0,1.26
Ethan Brierley,MID,87,Brentford,Liverpool,4.4,1.0,0.0
Ismaïla Sarr,MID,585,Crystal Palace,West Ham United,5.8,1.0,2.89
Josh Dasilva,MID,90,Brentford,Liverpool,4.8,0.0,0.0
Jadon Sancho,MID,386,Chelsea,Wolverhampton Wanderers,6.2,1.0,2.02
Mohamed Salah,MID,328,Liverpool,Brentford,13.7,1.0,11.05
Federico Chiesa,MID,636,Liverpool,Brentford,6.8,1.0,0.0
Leandro Trossard,MID,23,Arsenal,Aston Villa,6.8,1.0,5.29
Miguel Almirón Rejala,MID,391,Newcastle United,Bournemouth,5.4,1.0,0.39
James Garner,MID,223,Everton,Tottenham Hotspur,4.9,0.75,0.0
Marcus Tavernier,MID,83,Bournemouth,Newcastle United,5.4,0.0,0.0
Omari Kellyman,MID,173,Chelsea,Wolverhampton Wanderers,4.4,0.0,0.0
Martial Godo,MID,605,Fulham,Leicester City,4.4,1.0,0.06
Harrison Reed,MID,254,Fulham,Leicester City,4.7,1.0,0.0
Will Alves,MID,606,Leicester City,Fulham,4.5,1.0,0.08
Carlos Baleba,MID,115,Brighton & Hove Albion,Manchester United,5.0,1.0,2.03
Ryan Fraser,MID,397,Southampton,Nottingham Forest,4.8,1.0,0.0
Mathias Jensen,MID,95,Brentford,Liverpool,5.3,1.0,1.23
Dango Ouattara,MID,74,Bournemouth,Newcastle United,5.0,1.0,2.51
Yehor Yarmoliuk,MID,111,Brentford,Liverpool,4.4,1.0,0.3
Tyler Dibling,MID,608,Southampton,Nottingham Forest,4.5,0.75,2.14
Orel Mangala,MID,651,Everton,Tottenham Hotspur,5.0,1.0,1.07
Bobby De Cordova-Reid,MID,290,Leicester City,Fulham,5.2,1.0,0.49
Manuel Ugarte,MID,652,Manchester United,Brighton & Hove Albion,4.9,1.0,0.18
Matheus Luiz Nunes,MID,356,Manchester City,Ipswich Town,4.9,1.0,0.41
Cameron Peupion,MID,140,Brighton & Hove Albion,Manchester United,4.4,1.0,0.0
Mats Wieffer,MID,149,Brighton & Hove Albion,Manchester United,4.7,0.5,0.9
Harvey Elliott,MID,319,Liverpool,Brentford,5.2,1.0,0.67
Garang Kuol,MID,406,Newcastle United,Bournemouth,4.4,1.0,0.0
Nico O'Reilly,MID,607,Manchester City,Ipswich Town,4.9,1.0,0.0
Kaden Rodney,MID,647,Crystal Palace,West Ham United,4.5,1.0,0.01
Rodrigo Martins Gomes,MID,563,Wolverhampton Wanderers,Chelsea,5.2,1.0,2.12
Bilal El Khannouss,MID,635,Leicester City,Fulham,4.8,1.0,1.23
Toby Collyer,MID,613,Manchester United,Brighton & Hove Albion,4.5,1.0,0.35
Asher Agbinone,MID,646,Crystal Palace,West Ham United,4.5,1.0,0.02
Kadan Young,MID,656,Aston Villa,Arsenal,4.5,1.0,0.0
Martin Ødegaard,MID,13,Arsenal,Aston Villa,8.3,1.0,3.72
Cesare Casadei,MID,158,Chelsea,Wolverhampton Wanderers,4.4,1.0,0.0
Mario Lemina,MID,557,Wolverhampton Wanderers,Chelsea,4.9,1.0,0.35
Adam Wharton,MID,216,Crystal Palace,West Ham United,4.7,0.0,0.05
Luis Sinisterra,MID,80,Bournemouth,Newcastle United,4.8,0.0,0.0
Stephy Mavididi,MID,298,Leicester City,Fulham,5.1,1.0,2.55
Anthony Gordon,MID,398,Newcastle United,Bournemouth,7.7,1.0,9.25
Josh King,MID,604,Fulham,Leicester City,4.5,1.0,0.95
Matt O'Riley,MID,629,Brighton & Hove Albion,Manchester United,5.5,1.0,2.03
Jack Harrison,MID,224,Everton,Tottenham Hotspur,5.2,1.0,1.14
Luke Cundle,MID,540,Wolverhampton Wanderers,Chelsea,4.5,1.0,0.0
Bukayo Saka,MID,17,Arsenal,Aston Villa,10.2,0.0,0.08
Hamza Choudhury,MID,287,Leicester City,Fulham,4.3,1.0,0.46
Joe Aribo,MID,452,Southampton,Nottingham Forest,4.9,1.0,1.1
Jack Hinshelwood,MID,126,Brighton & Hove Albion,Manchester United,4.9,0.5,0.0
Antoine Semenyo,MID,78,Bournemouth,Newcastle United,5.6,1.0,5.54
Dwight McNeil,MID,230,Everton,Tottenham Hotspur,5.1,0.0,0.0
Franco Umeh-Chibueze,MID,644,Crystal Palace,West Ham United,4.4,1.0,0.02
Saša Lukić,MID,249,Fulham,Leicester City,4.8,1.0,2.06
Kevin De Bruyne,MID,345,Manchester City,Ipswich Town,9.4,1.0,1.25
Antony Matheus dos Santos,MID,365,Manchester United,Brighton & Hove Albion,5.7,1.0,0.54
Jorge Luiz Frello Filho,MID,7,Arsenal,Aston Villa,4.7,1.0,0.52
Idrissa Gueye,MID,222,Everton,Tottenham Hotspur,4.8,1.0,1.27
Christian Nørgaard,MID,101,Brentford,Liverpool,4.8,1.0,2.32
Declan Rice,MID,16,Arsenal,Aston Villa,6.2,1.0,2.34
Salah-Eddine Oulad M'hand,MID,638,Arsenal,Aston Villa,4.5,1.0,0.0
Vitaly Janelt,MID,94,Brentford,Liverpool,4.9,1.0,1.97
Adama Traoré,MID,239,Fulham,Leicester City,4.7,1.0,1.26
Alexis Mac Allister,MID,329,Liverpool,Brentford,6.2,1.0,6.13
Endo Wataru,MID,320,Liverpool,Brentford,4.6,1.0,0.55
Keane Lewis-Potter,MID,98,Brentford,Liverpool,5.0,1.0,2.61
Michael Golding,MID,292,Leicester City,Fulham,4.4,1.0,0.0
João Félix Sequeira,MID,621,Chelsea,Wolverhampton Wanderers,6.0,1.0,0.71
Emile Smith Rowe,MID,19,Fulham,Leicester City,5.2,1.0,0.65
Enso González,MID,547,Wolverhampton Wanderers,Chelsea,4.4,0.0,0.0
Christopher Nkunku,MID,181,Chelsea,Wolverhampton Wanderers,5.8,1.0,0.64
Ryan Gravenberch,MID,323,Liverpool,Brentford,5.0,1.0,2.07
Joe Willock,MID,420,Newcastle United,Bournemouth,4.7,1.0,1.2
Lewis Cook,MID,64,Bournemouth,Newcastle United,5.0,1.0,2.34
Alex Iwobi,MID,247,Fulham,Leicester City,5.9,1.0,5.24
Ethan Nwaneri,MID,12,Arsenal,Aston Villa,4.5,0.0,1.1
Ilkay Gündogan,MID,625,Manchester City,Ipswich Town,6.4,1.0,0.91
Tom Cairney,MID,243,Fulham,Leicester City,4.8,1.0,1.42
Jacob Ramsey,MID,53,Aston Villa,Arsenal,5.4,1.0,1.15
Emiliano Buendía Stati,MID,31,Aston Villa,Arsenal,5.1,1.0,0.48
James McAtee,MID,357,Manchester City,Ipswich Town,4.6,1.0,0.48
Youri Tielemans,MID,57,Aston Villa,Arsenal,5.5,1.0,2.18
Yankuba Minteh,MID,135,Brighton & Hove Albion,Manchester United,5.0,1.0,0.72
Ismeal Kabia,MID,659,Arsenal,Aston Villa,4.5,1.0,0.0
Kevin Schade,MID,106,Brentford,Liverpool,5.1,1.0,2.08
Samuel Amo-Ameyaw,MID,451,Southampton,Nottingham Forest,4.4,1.0,0.0
Justin Kluivert,MID,71,Bournemouth,Newcastle United,5.5,1.0,2.09
Flynn Downes,MID,518,Southampton,Nottingham Forest,4.7,1.0,0.5
Alejandro Garnacho,MID,372,Manchester United,Brighton & Hove Albion,6.0,1.0,1.51
Jack Grealish,MID,349,Manchester City,Ipswich Town,6.4,1.0,0.37
Simon Adingra,MID,113,Brighton & Hove Albion,Manchester United,5.2,1.0,1.69
Harrison Armstrong,MID,603,Everton,Tottenham Hotspur,4.5,1.0,0.1
Carney Chukwuemeka,MID,161,Chelsea,Wolverhampton Wanderers,4.8,1.0,0.0
Pedro Lomba Neto,MID,560,Chelsea,Wolverhampton Wanderers,6.2,1.0,1.37
Harry Winks,MID,309,Leicester City,Fulham,4.4,1.0,1.68
Julio Enciso,MID,121,Brighton & Hove Albion,Manchester United,5.4,1.0,0.91
Boubacar Traoré,MID,534,Wolverhampton Wanderers,Chelsea,4.8,0.75,0.0
Mikkel Damsgaard,MID,89,Brentford,Liverpool,5.0,1.0,2.0
Luis Díaz,MID,327,Liverpool,Brentford,7.5,1.0,4.02
James Milner,MID,134,Brighton & Hove Albion,Manchester United,5.0,0.0,0.0
Ryan Trevitt,MID,602,Brentford,Liverpool,4.4,1.0,0.0
Enzo Fernández,MID,168,Chelsea,Wolverhampton Wanderers,4.9,0.75,1.7
Fábio Freitas Gouveia Carvalho,MID,314,Brentford,Liverpool,4.6,1.0,0.0
Jérémy Doku,MID,346,Manchester City,Ipswich Town,6.2,1.0,1.05
Cheick Doucouré,MID,193,Crystal Palace,West Ham United,4.9,1.0,1.21
Wilfred Ndidi,MID,300,Leicester City,Fulham,4.9,0.0,0.0
Daichi Kamada,MID,205,Crystal Palace,West Ham United,5.1,1.0,1.09
Georginio Rutter,MID,618,Brighton & Hove Albion,Manchester United,5.1,1.0,1.55
Pablo Sarabia,MID,565,Wolverhampton Wanderers,Chelsea,5.0,1.0,0.49
Diogo Teixeira da Silva,MID,317,Liverpool,Brentford,7.2,0.75,5.12
Tyler Adams,MID,60,Bournemouth,Newcastle United,4.9,1.0,0.8
Marcus Rashford,MID,385,Manchester United,Brighton & Hove Albion,6.6,1.0,0.0
Bruno Guimarães Rodriguez Moura,MID,394,Newcastle United,Bournemouth,6.1,1.0,4.08
Bryan Mbeumo,MID,99,Brentford,Liverpool,7.8,1.0,3.35
Adam Lallana,MID,463,Southampton,Nottingham Forest,5.0,1.0,0.49
Sandro Tonali,MID,417,Newcastle United,Bournemouth,5.5,1.0,2.97
Joelinton Cássio Apolinário de Lira,MID,403,Newcastle United,Bournemouth,6.0,1.0,5.27
John McGinn,MID,48,Aston Villa,Arsenal,5.2,0.5,1.73
Oscar Bobb,MID,343,Manchester City,Ipswich Town,4.7,0.25,0.0
Jesper Lindstrøm,MID,577,Everton,Tottenham Hotspur,5.0,1.0,0.98
Bernardo Veiga de Carvalho e Silva,MID,342,Manchester City,Ipswich Town,6.3,1.0,2.61
David Brooks,MID,62,Bournemouth,Newcastle United,4.9,1.0,1.66
Solly March,MID,132,Brighton & Hove Albion,Manchester United,6.5,1.0,0.36
Tyler Morton,MID,331,Liverpool,Brentford,4.4,1.0,0.0
Matheus França de Oliveira,MID,208,Crystal Palace,West Ham United,4.4,0.0,0.03
Andreas Hoelgebaum Pereira,MID,240,Fulham,Leicester City,5.0,1.0,1.57
Amadou Onana,MID,233,Aston Villa,Arsenal,4.8,0.75,1.42
Morgan Rogers,MID,54,Aston Villa,Arsenal,5.5,1.0,6.22
Reiss Nelson,MID,10,Fulham,Leicester City,5.0,0.0,0.0
Kamaldeen Sulemana,MID,462,Southampton,Nottingham Forest,5.0,1.0,0.99
Amad Diallo,MID,364,Manchester United,Brighton & Hove Albion,5.6,1.0,6.89
Mateus Gonçalo Espanha Fernandes,MID,623,Southampton,Nottingham Forest,5.0,1.0,1.1
Carlos Roberto Forbs Borges,MID,655,Wolverhampton Wanderers,Chelsea,5.5,1.0,0.48
André Trindade da Costa Neto,MID,642,Wolverhampton Wanderers,Chelsea,5.0,1.0,2.01
Lewis Miley,MID,411,Newcastle United,Bournemouth,5.0,1.0,0.6
Abdul Fatawu,MID,570,Leicester City,Fulham,5.2,0.0,0.0
Dominik Szoboszlai,MID,336,Liverpool,Brentford,6.3,1.0,2.2
Tim Iroegbunam,MID,226,Everton,Tottenham Hotspur,4.3,0.0,0.0
Roméo Lavia,MID,174,Chelsea,Wolverhampton Wanderers,4.5,0.75,0.02
Leon Bailey,MID,28,Aston Villa,Arsenal,6.2,1.0,2.21
Harvey Barnes,MID,392,Newcastle United,Bournemouth,6.0,0.0,0.71
Will Smallbone,MID,471,Southampton,Nottingham Forest,5.0,1.0,0.11
Mykhailo Mudryk,MID,179,Chelsea,Wolverhampton Wanderers,6.2,0.0,0.0
Renato Palma Veiga,MID,184,Chelsea,Wolverhampton Wanderers,4.4,1.0,0.0
Eberechi Eze,MID,199,Crystal Palace,West Ham United,6.7,1.0,2.85
Boubacar Kamara,MID,42,Aston Villa,Arsenal,5.0,1.0,2.27
