name,position,element,team,opponent_team,price,condition,xTotPoints
Tomiyasu Takehiro,DEF,22,Arsenal,Aston Villa,4.8,0.0,-0.0
Pau Torres,DEF,52,Aston Villa,Arsenal,4.2,0.0,0.93
Joel Ward,DEF,215,Crystal Palace,West Ham United,4.3,1.0,-0.0
Milos Kerkez,DEF,70,Bournemouth,Newcastle United,4.8,1.0,4.31
Conor Coady,DEF,288,Leicester City,Fulham,4.0,1.0,0.61
Adam Webster,DEF,147,Brighton & Hove Albion,Manchester United,4.3,1.0,2.4
Alex Murphy,DEF,390,Newcastle United,Bournemouth,4.0,1.0,-0.0
Craig Dawson,DEF,542,Wolverhampton Wanderers,Chelsea,4.3,1.0,0.63
Marcos Senesi,DEF,79,Bournemouth,Newcastle United,4.6,0.0,-0.04
Jannik Vestergaard,DEF,307,Leicester City,Fulham,3.9,1.0,0.84
Luke Thomas,DEF,305,Leicester City,Fulham,3.9,1.0,0.37
Adam Smith,DEF,81,Bournemouth,Newcastle United,4.4,0.0,0.02
Taylor Harwood-Bellis,DEF,461,Southampton,Nottingham Forest,4.1,1.0,1.34
Lisandro Martínez,DEF,380,Manchester United,Brighton & Hove Albion,4.4,1.0,1.2
Joško Gvardiol,DEF,350,Manchester City,Ipswich Town,6.0,1.0,2.0
Joachim Andersen,DEF,191,Fulham,Leicester City,4.2,1.0,0.78
Roman Dixon,DEF,627,Everton,Tottenham Hotspur,4.0,1.0,-0.0
Ryan Manning,DEF,467,Southampton,Nottingham Forest,4.3,1.0,0.23
Vitalii Mykolenko,DEF,231,Everton,Tottenham Hotspur,4.3,1.0,2.22
Nélson Cabral Semedo,DEF,559,Wolverhampton Wanderers,Chelsea,4.5,1.0,2.03
Benoît Badiashile,DEF,153,Chelsea,Wolverhampton Wanderers,4.3,0.0,-0.0
Jack Stephens,DEF,472,Southampton,Nottingham Forest,4.0,0.0,-0.0
Rico Henry,DEF,92,Brentford,Liverpool,4.3,1.0,0.33
Rob Holding,DEF,202,Crystal Palace,West Ham United,4.2,1.0,-0.0
Ryan Sessegnon,DEF,579,Fulham,Leicester City,4.2,1.0,0.15
Jonny Evans,DEF,371,Manchester United,Brighton & Hove Albion,4.4,0.25,-0.0
Timothy Castagne,DEF,244,Fulham,Leicester City,4.2,1.0,1.96
Tariq Lamptey,DEF,131,Brighton & Hove Albion,Manchester United,4.4,1.0,2.19
Séamus Coleman,DEF,221,Everton,Tottenham Hotspur,4.3,0.0,0.19
Fabian Schär,DEF,415,Newcastle United,Bournemouth,5.4,1.0,2.53
James Hill,DEF,68,Bournemouth,Newcastle United,3.9,0.25,1.73
Nathan Patterson,DEF,234,Everton,Tottenham Hotspur,4.4,1.0,0.25
Kieran Tierney,DEF,21,Arsenal,Aston Villa,4.3,1.0,0.5
Sugawara Yukinari,DEF,474,Southampton,Nottingham Forest,4.3,1.0,1.13
Jake O'Brien,DEF,582,Everton,Tottenham Hotspur,4.5,1.0,0.16
Kosta Nedeljković,DEF,50,Aston Villa,Arsenal,3.9,1.0,0.4
Sepp van den Berg,DEF,338,Brentford,Liverpool,4.1,1.0,1.88
