name,position,team,opponent_team,price,condition,xTotPoints,total_points
David Raya Martin,GK,Arsenal,Manchester City,5.5,1.0,5.33,4
Matz Sels,GK,Nottingham Forest,Brighton & Hove Albion,4.5,1.0,5.43,1
Ola Aina,DEF,Nottingham Forest,Brighton & Hove Albion,4.5,1.0,5.78,0
Virgil van Dijk,DEF,Liverpool,Bournemouth,6.0,1.0,6.86,6
Trent Alexander-Arnold,DEF,Liverpool,Bournemouth,7.1,1.0,7.34,11
Gabriel dos Santos Magalhães,DEF,Arsenal,Manchester City,6.0,1.0,6.55,7
Cristian Romero,DEF,Tottenham Hotspur,Brentford,5.1,1.0,5.36,2
Noni Madueke,MID,Chelsea,West Ham United,6.6,1.0,6.95,3
Callum Hudson-Odoi,MID,Nottingham Forest,Brighton & Hove Albion,5.4,1.0,6.49,4
Luis Díaz,MID,Liverpool,Bournemouth,7.8,1.0,9.14,16
Bryan Mbeumo,MID,Brentford,Tottenham Hotspur,7.1,1.0,7.94,8
Nicolas Jackson,FWD,Chelsea,West Ham United,7.6,1.0,6.02,16
Erling Haaland,FWD,Manchester City,Arsenal,15.3,1.0,14.42,9
Danny Welbeck,FWD,Brighton & Hove Albion,Nottingham Forest,5.8,1.0,5.43,6
João Pedro Junqueira de Jesus,FWD,Brighton & Hove Albion,Nottingham Forest,5.7,0.75,6.09,1
