name,position,team,opponent_team,price,condition,xTotPoints
José Malheiro de Sá,GK,Wolverhampton Wanderers,Chelsea,4.3,1.0,4.11
Martin Dúbravka,GK,Newcastle United,Bournemouth,4.3,1.0,5.74
Milos Kerkez,DEF,Bournemouth,Newcastle United,4.8,1.0,4.95
Marc Guéhi,DEF,Crystal Palace,West Ham United,4.5,1.0,4.69
Dean Huijsen,DEF,Bournemouth,Newcastle United,4.4,1.0,6.28
Phil Foden,MID,Manchester City,Ipswich Town,9.2,1.0,8.11
Mohamed Salah,MID,Liverpool,Brentford,13.7,1.0,10.76
Anthony Gordon,MID,Newcastle United,Bournemouth,7.7,1.0,8.77
Antoine Semenyo,MID,Bournemouth,Newcastle United,5.6,1.0,6.56
Alex Iwobi,MID,Fulham,Leicester City,5.9,1.0,6.04
Morgan Rogers,MID,Aston Villa,Arsenal,5.5,1.0,6.22
Amad Diallo,MID,Manchester United,Brighton & Hove Albion,5.6,1.0,6.34
Alexander Isak,FWD,Newcastle United,Bournemouth,9.4,1.0,9.88
Cody Gakpo,FWD,Liverpool,Brentford,7.4,1.0,8.04
Matheus Santos Carneiro Da Cunha,FWD,Wolverhampton Wanderers,Chelsea,7.0,0.75,5.76
