name,position,team,opponent_team,price,condition,xTotPoints
Alex Scott,MID,Bournemouth,Newcastle United,4.7,0.0,0.0
Tomiyasu Takehiro,DEF,Arsenal,Aston Villa,4.8,0.0,0.0
Ben Brereton Díaz,MID,Southampton,Nottingham Forest,4.8,1.0,0.0
Pau Torres,DEF,Aston Villa,Arsenal,4.2,0.0,0.94
Joel Ward,DEF,Crystal Palace,West Ham United,4.3,1.0,0.04
Hwang Hee-chan,MID,Wolverhampton Wanderers,Chelsea,6.1,1.0,2.71
Hákon Valdimarsson,GK,Brentford,Liverpool,3.9,1.0,0.24
João Victor Gomes da Silva,MID,Wolverhampton Wanderers,Chelsea,4.9,1.0,2.25
Cole Palmer,MID,Chelsea,Wolverhampton Wanderers,11.4,0.75,7.51
Mitoma Kaoru,MID,Brighton & Hove Albion,Manchester United,6.3,1.0,3.05
Boubakary Soumaré,MID,Leicester City,Fulham,4.4,1.0,1.38
Jeffrey Schlupp,MID,Crystal Palace,West Ham United,4.6,1.0,0.05
Milos Kerkez,DEF,Bournemouth,Newcastle United,4.8,1.0,4.95
Jason Steele,GK,Brighton & Hove Albion,Manchester United,4.1,1.0,0.0
Conor Coady,DEF,Leicester City,Fulham,4.0,1.0,0.61
Armando Broja,FWD,Everton,Tottenham Hotspur,5.4,0.0,0.04
Adam Webster,DEF,Brighton & Hove Albion,Manchester United,4.3,1.0,2.2
Thomas Partey,MID,Arsenal,Aston Villa,5.0,1.0,1.77
Harry Wilson,MID,Fulham,Leicester City,5.2,1.0,4.51
Kasey McAteer,MID,Leicester City,Fulham,4.7,1.0,0.54
Curtis Jones,MID,Liverpool,Brentford,5.3,1.0,3.23
Gustavo Nunes Fernandes Gomes,MID,Brentford,Liverpool,4.9,0.0,0.0
Yunus Emre Konak,MID,Brentford,Liverpool,4.5,1.0,0.06
Alex Murphy,DEF,Newcastle United,Bournemouth,4.0,1.0,0.0
Abdoulaye Doucouré,MID,Everton,Tottenham Hotspur,5.1,1.0,2.03
José Malheiro de Sá,GK,Wolverhampton Wanderers,Chelsea,4.3,1.0,4.11
Alexander Isak,FWD,Newcastle United,Bournemouth,9.4,1.0,9.88
Gonçalo Manuel Ganchinho Guedes,MID,Wolverhampton Wanderers,Chelsea,5.3,1.0,2.48
Brajan Gruda,MID,Brighton & Hove Albion,Manchester United,5.4,1.0,0.69
Rodrigo 'Rodri' Hernandez,MID,Manchester City,Ipswich Town,6.2,0.0,0.0
Justin Devenny,MID,Crystal Palace,West Ham United,4.5,1.0,0.47
Craig Dawson,DEF,Wolverhampton Wanderers,Chelsea,4.3,1.0,0.56
